"state","class","program","scRNA_pts","WC_EFS_n","WC_EFS_det","WC_EFS_coxHR","WC_EFS_coxP","WC_EFS_KMsplit","WC_EFS_logrankP","WC_OS_coxHR","WC_OS_coxP","WC_OS_logrankP","CBF_EFS_n","CBF_EFS_coxHR","CBF_EFS_coxP","CBF_EFS_logrankP","CBF_OS_coxHR","CBF_OS_coxP","CBF_OS_logrankP","WC_EFS_coxFDR","CBF_EFS_coxFDR","WC_EFS_logrankFDR","CBF_EFS_logrankFDR","dir_WC_EFS"
"LS_10","leukemic","Cell-cycle",9,1310,18.9,1.21,5.14e-09,"Absent/Low/High",6e-04,1.19,4.61e-07,3e-04,313,1.13,0.0771,0.126,1.16,0.105,0.168,2.52e-07,0.375,0.00735,0.618,"poor"
"LS_33","leukemic","GMP",6,1310,62.2,0.757,6.97e-08,"Absent/Low/High",5e-04,0.725,4.07e-06,0,313,0.87,0.133,0.321,0.795,0.111,0.21,1.71e-06,0.436,0.00735,0.839,"favorable"
"LS_45","leukemic","GMP",2,1310,71.6,0.813,5.15e-07,"tertile",0,0.796,1.53e-05,2e-04,313,0.76,0.00344,0.0182,0.756,0.0407,0.0496,8.41e-06,0.0492,0,0.297,"favorable"
"LS_41","leukemic","unresolved",1,1310,82.3,1.15,8.86e-06,"tertile",0.0011,1.16,5.97e-05,5e-04,313,1.01,0.927,0.987,0.936,0.61,0.656,0.000109,0.947,0.0106,0.992,"poor"
"LS_20","leukemic","Cell-cycle",8,1310,52.7,1.14,0.000121,"Absent/Low/High",0.0016,1.16,0.000167,0.0037,313,1.29,0.000549,0.0028,1.27,0.0112,0.0126,0.00118,0.0269,0.0112,0.0686,"poor"
"LS_28","leukemic","unresolved",2,1310,72.9,0.862,0.000168,"tertile",0.003,0.758,2.58e-07,0,313,0.955,0.592,0.859,0.838,0.184,0.329,0.00138,0.811,0.0184,0.93,"favorable"
"LS_46","leukemic","GMP",1,1310,57,0.864,0.000763,"Absent/Low/High",0.0041,0.92,0.101,0.0374,313,0.906,0.281,0.499,0.932,0.591,0.705,0.00534,0.5,0.0223,0.863,"favorable"
"LS_38","leukemic","HSC/MPP",1,1310,48.6,1.11,0.00136,"Absent/Low/High",0.0013,1.09,0.0307,0.0104,313,1.11,0.208,0.325,1.02,0.867,0.391,0.0083,0.436,0.0106,0.839,"poor"
"LS_11","leukemic","Macrophage",6,1310,94.1,0.889,0.00257,"tertile",0.0201,0.862,0.0031,0.0359,313,0.961,0.662,0.52,1.03,0.84,0.69,0.014,0.854,0.0704,0.863,"favorable"
"LS_17","leukemic","unresolved",4,1310,49.6,0.897,0.00726,"Absent/Low/High",0.0119,0.92,0.0957,0.0207,313,0.889,0.214,0.499,1.18,0.125,0.0918,0.0356,0.436,0.0486,0.863,"favorable"
