state,class,program,cyto_assoc,TARGET_det%,dir,WC_coxHR,WC_coxP,WC_coxFDR,KM_split,WC_KM_logrankP,WC_KM_FDR,concordance,CBF_coxP,CBF_KM_logrankP
LS_45,leukemic,GMP,RUNX1/RUNX1T1(67%),71.6,favorable,0.813,5.15e-07,8.41e-06,tertile,0.0,0.0,BOTH,0.00344,0.0182
LS_27,leukemic,GMP,CBFB/MYH11(39%),29.5,poor,1.08,0.0238,0.0897,Absent/Low/High,0.0002,0.0049,BOTH,0.213,0.132
LS_33,leukemic,GMP,PML/RARA(50%),62.2,favorable,0.757,6.97e-08,1.71e-06,Absent/Low/High,0.0005,0.00735,BOTH,0.133,0.321
LS_10,leukemic,Cell-cycle,CN(22%),18.9,poor,1.21,5.14e-09,2.52e-07,Absent/Low/High,0.0006,0.00735,BOTH,0.0771,0.126
LS_41,leukemic,unresolved,MLLr(77%),82.3,poor,1.15,8.86e-06,0.000109,tertile,0.0011,0.0106,BOTH,0.927,0.987
LS_38,leukemic,HSC/MPP,NUP98/NSD1(97%),48.6,poor,1.11,0.00136,0.0083,Absent/Low/High,0.0013,0.0106,BOTH,0.208,0.325
LS_20,leukemic,Cell-cycle,CBFB/MYH11(19%),52.7,poor,1.14,0.000121,0.00118,Absent/Low/High,0.0016,0.0112,BOTH,0.000549,0.0028
LS_28,leukemic,unresolved,RUNX1/RUNX1T1(81%),72.9,favorable,0.862,0.000168,0.00138,tertile,0.003,0.0184,BOTH,0.592,0.859
LS_46,leukemic,GMP,NUP98/NSD1(83%),57.0,favorable,0.864,0.000763,0.00534,Absent/Low/High,0.0041,0.0223,BOTH,0.281,0.499
LS_18,leukemic,cDC,CBFB/MYH11(44%),55.0,poor,1.07,0.0481,0.118,Absent/Low/High,0.0091,0.0446,KM-only,0.839,0.626
LS_25,leukemic,unresolved,t(2;3)(p15;q26.2)(43%),28.9,poor,1.05,0.175,0.286,Absent/Low/High,0.011,0.0486,KM-only,0.00402,0.108
LS_17,leukemic,unresolved,RUNX1/RUNX1T1(49%),49.6,favorable,0.897,0.00726,0.0356,Absent/Low/High,0.0119,0.0486,BOTH,0.214,0.499
LS_24,leukemic,unresolved,Tri(15)(62%),75.6,poor,1.03,0.369,0.488,tertile,0.0161,0.0607,KM-only,0.127,0.5
LS_11,leukemic,Macrophage,CN(21%),94.1,favorable,0.889,0.00257,0.014,tertile,0.0201,0.0704,BOTH,0.662,0.52
LS_49,leukemic,GMP,PML/RARA(33%),60.7,favorable,0.921,0.0375,0.105,Absent/Low/High,0.0466,0.148,ns,0.0549,0.198
LS_19,leukemic,pDC,CN(80%),58.8,poor,1.1,0.011,0.0492,Absent/Low/High,0.0483,0.148,Cox-only,0.904,0.776
LS_30,leukemic,T/NK,CN(19%),68.0,favorable,0.954,0.215,0.32,tertile,0.0652,0.188,ns,0.145,0.139
LS_3,leukemic,Cell-cycle,CN(26%),81.7,favorable,0.998,0.957,0.981,tertile,0.0807,0.22,ns,0.154,0.654
LS_6,leukemic,unresolved,CN(70%),86.5,poor,1.05,0.193,0.305,tertile,0.118,0.304,ns,0.462,0.551
LS_16,leukemic,Monocyte,CBFB/MYH11(68%),21.8,poor,1.03,0.306,0.416,Absent/Low/High,0.139,0.342,ns,0.123,0.106
LS_42,leukemic,unresolved,MYB/GATA1(44%),83.3,favorable,0.952,0.211,0.32,tertile,0.15,0.351,ns,0.98,0.613
LS_35,leukemic,Neutrophil,t(7;14)(q21;q32)(83%),91.2,poor,1.08,0.0384,0.105,tertile,0.169,0.356,ns,0.582,0.648
LS_43,leukemic,unresolved,Tri(8)(98%),93.1,favorable,0.922,0.0351,0.105,tertile,0.181,0.356,ns,0.071,0.74
LS_12,leukemic,GMP,PML/RARA(50%),21.5,poor,1.07,0.0407,0.105,Absent/Low/High,0.182,0.356,ns,0.286,0.199
LS_48,leukemic,unresolved,MLLr(85%),57.1,poor,1.08,0.0374,0.105,Absent/Low/High,0.193,0.356,ns,0.423,0.674
LS_1,leukemic,Erythroid,BCR/ABL(16%),88.8,poor,1.04,0.279,0.391,tertile,0.195,0.356,ns,0.684,0.919
LS_47,leukemic,Macrophage,CN(28%),44.1,poor,1.06,0.0893,0.208,Absent/Low/High,0.198,0.356,ns,0.203,0.213
LS_21,leukemic,Macrophage,MLLr(52%),88.1,poor,1.08,0.0275,0.0963,tertile,0.204,0.356,Cox-only,0.74,0.393
LS_7,leukemic,Monocyte,MLLr(59%),42.1,poor,1.0,0.961,0.981,Absent/Low/High,0.224,0.365,ns,0.174,0.545
LS_31,leukemic,unresolved,CBFB/MYH11(75%),36.8,poor,1.06,0.117,0.239,Absent/Low/High,0.23,0.365,ns,0.587,0.258
LS_13,leukemic,Erythroid,MYB/GATA1(94%),92.1,poor,1.06,0.102,0.216,tertile,0.231,0.365,ns,0.821,0.687
LS_26,leukemic,GMP,MLLr(38%),85.2,poor,1.06,0.147,0.269,tertile,0.256,0.392,ns,0.228,0.873
LS_34,leukemic,unresolved,RUNX1/RUNX1T1(74%),85.2,poor,1.05,0.146,0.269,tertile,0.29,0.43,ns,0.00124,0.0006
LS_29,leukemic,Monocyte,NUP98/NSD1(29%),78.0,favorable,0.946,0.149,0.269,tertile,0.304,0.438,ns,0.241,0.722
LS_15,leukemic,T/NK,BCR/ABL(66%),65.6,poor,1.05,0.153,0.269,Absent/Low/High,0.322,0.45,ns,0.0604,0.642
LS_40,leukemic,B/plasma,CBFB/MYH11(55%),92.2,poor,1.06,0.101,0.216,tertile,0.332,0.452,ns,0.893,0.57
LS_4,leukemic,GMP,PML/RARA(31%),41.7,favorable,0.948,0.171,0.286,Absent/Low/High,0.347,0.459,ns,0.596,0.502
LS_14,leukemic,Megakaryocyte,CN(30%),92.2,favorable,0.971,0.445,0.574,tertile,0.363,0.467,ns,0.707,0.733
LS_5,leukemic,HSC/MPP,MLLr(38%),81.4,favorable,0.992,0.841,0.937,tertile,0.372,0.467,ns,0.5,0.606
LS_23,leukemic,T/NK,t(7;14)(q21;q32)(93%),49.8,poor,1.08,0.0202,0.0826,Absent/Low/High,0.486,0.584,Cox-only,0.388,0.59
LS_9,leukemic,unresolved,MLLr(33%),27.8,favorable,1.0,0.99,0.99,Absent/Low/High,0.489,0.584,ns,0.136,0.374
LS_8,leukemic,B/plasma,RUNX1/RUNX1T1(56%),73.1,favorable,0.957,0.243,0.35,tertile,0.589,0.687,ns,0.92,0.791
LS_2,leukemic,unresolved,CBFB/MYH11(94%),75.6,favorable,0.989,0.772,0.901,tertile,0.604,0.689,ns,0.164,0.117
LS_32,leukemic,GMP,Tri(8)/MLLr(47%),39.0,poor,1.0,0.898,0.957,Absent/Low/High,0.696,0.757,ns,0.622,0.112
LS_44,leukemic,Macrophage,RUNX1/RUNX1T1(89%),44.0,favorable,0.993,0.862,0.938,Absent/Low/High,0.704,0.757,ns,0.0832,0.199
LS_39,leukemic,Cell-cycle,CN(18%),84.2,poor,1.01,0.72,0.886,tertile,0.724,0.757,ns,0.0841,0.664
LS_22,leukemic,GMP,Tri(15)(57%),82.6,poor,1.01,0.819,0.934,tertile,0.726,0.757,ns,0.178,0.241
LS_36,leukemic,unresolved,CBFB/MYH11(72%),79.1,poor,1.01,0.741,0.886,tertile,0.79,0.807,ns,0.0109,0.0922
LS_37,leukemic,B/plasma,del7q(74%),79.1,favorable,0.987,0.731,0.886,tertile,0.822,0.822,ns,0.905,0.992
NORM_B,normal,B,-,91.7,favorable,0.936,0.109,0.356,tertile,0.0027,0.0189,KM-only,0.476,0.562
NORM_DC,normal,DC,-,73.7,poor,1.1,0.00431,0.0301,tertile,0.0064,0.0224,BOTH,0.132,0.111
NORM_MyeloidPro,normal,MyeloidPro,-,60.3,favorable,0.994,0.883,0.883,Absent/Low/High,0.0194,0.0453,KM-only,0.422,0.0427
NORM_Monocyte,normal,Monocyte,-,96.6,poor,1.02,0.542,0.759,tertile,0.409,0.58,ns,0.929,0.0401
NORM_T_NK,normal,T_NK,-,95.3,favorable,0.991,0.809,0.883,tertile,0.458,0.58,ns,0.222,0.7
NORM_Erythroid,normal,Erythroid,-,98.9,poor,1.05,0.152,0.356,tertile,0.507,0.58,ns,0.927,0.905
NORM_HSPC,normal,HSPC,-,43.6,poor,1.04,0.333,0.583,Absent/Low/High,0.58,0.58,ns,0.281,0.46
