gene,group,pct,mean_expr,n
CD96,normal HSC,0.6,0.005,166
CD96,other leukemic,28.3,0.407,8000
CD96,LS3 (ns),33.0,0.391,2386
CD96,LS39 (ns),41.8,0.486,788
CD96,LS10 (poor),52.4,0.585,1583
CLEC12A,normal HSC,1.2,0.015,166
CLEC12A,other leukemic,32.2,0.461,8000
CLEC12A,LS3 (ns),40.2,0.475,2386
CLEC12A,LS39 (ns),48.4,0.553,788
CLEC12A,LS10 (poor),46.1,0.453,1583
CD68,normal HSC,3.0,0.033,166
CD68,other leukemic,35.9,0.598,8000
CD68,LS3 (ns),37.5,0.504,2386
CD68,LS39 (ns),37.2,0.394,788
CD68,LS10 (poor),38.3,0.416,1583
SUCNR1,normal HSC,0.0,0.0,166
SUCNR1,other leukemic,16.8,0.229,8000
SUCNR1,LS3 (ns),26.0,0.292,2386
SUCNR1,LS39 (ns),24.1,0.238,788
SUCNR1,LS10 (poor),35.6,0.371,1583
