names,logfoldchanges,pvals_adj
RRM2,2.1839585,1.552660465528518e-252
E2F8,1.8856874,6.268283171473261e-47
E2F2,1.7848691,4.407397076675311e-31
ESCO2,1.7731501,8.157125849778575e-59
MKI67,1.7217016,1.643722549766135e-134
CDCA5,1.625334,3.219564541262318e-130
SPC25,1.6182451,5.713815513805242e-59
E2F7,1.5198079,1.4172383295909854e-08
AURKB,1.467229,4.133693971897937e-93
MYBL2,1.465562,1.357878086509241e-112
PKMYT1,1.440992,6.874678189952838e-131
FBXO5,1.3655638,2.2231483808503335e-30
SPC24,1.3321365,1.2846523576415795e-36
H2AFX,1.3284277,1.380885279102657e-132
FOXM1,1.3263141,3.869568582901375e-85
FAM111B,1.3093857,9.776596949431244e-20
ST18,1.2702918,3.080384982680263e-07
APOBEC3B,1.2628288,3.120170143430729e-24
SKA3,1.2591692,1.780467452894029e-58
ATAD2,1.252599,1.3211530874598828e-99
TK1,1.2477475,1.758730369825387e-124
CDCA4,1.247167,3.547195036464957e-54
KIFC1,1.2107702,1.1140528426595618e-74
IER3,1.2036942,0.005341048044130739
IQGAP3,1.1967012,6.553016948091838e-19
DMC1,1.1910788,0.01191879747014291
PTPRM,1.1860448,0.028285987025990153
MASTL,1.1800009,7.874205566794455e-23
PRTFDC1,1.1772876,0.01906924114006629
NUSAP1,1.166404,2.707005292270041e-81
AC239868.1,1.1663294,0.00013185565172914795
ZNF367,1.1625293,6.687477731211948e-33
FAM111A,1.1583349,1.1680229679133454e-87
TOP2A,1.1290852,2.2264124348667145e-72
SHD,1.1121323,0.030140594223745407
MELK,1.1111512,2.5334310382883554e-17
ASF1B,1.1073362,2.7690551221697987e-74
KIF11,1.1023945,1.2005377533292611e-57
TUBB,1.1017382,1.0546154494042134e-235
PDE4B,1.0992378,1.593722915027541e-10
CLIP3,1.0989989,0.0001606218669530602
NCAPG2,1.0920117,1.4788762897858062e-37
ANLN,1.0902977,8.828285901360071e-44
NR4A1,1.0884883,0.0036571931614366635
RAD54L,1.0804319,9.166927754109323e-32
CDKN1A,1.0661508,1.4985255344906195e-23
TYMS,1.0619109,1.6564861653455884e-163
VPREB1,1.0614439,0.014954990582937436
CDCA3,1.0555536,8.85945356921939e-46
EXO1,1.0542201,2.197973804677014e-18
RARRES2,1.0535066,0.042462254963339614
PPP1R16B,1.047598,0.031815333677524406
PHGDH,1.0444051,1.513739962291592e-20
FANCI,1.0398529,5.923592068109805e-60
SPRY1,1.0325489,9.881355901539347e-05
COBLL1,1.0324153,4.2637459676085296e-06
MN1,1.0321363,0.0022404573853244906
PCLAF,1.0306783,3.0598972539066085e-131
CENPM,1.0303733,3.083618437301236e-79
PCNA,1.029066,5.445117963787646e-84
BIRC5,1.0254618,4.387541829845071e-60
IGLL1,1.024432,4.473444796691509e-27
DONSON,1.0225586,8.532359513353955e-23
CCNE2,1.0209725,8.3690444636876e-14
STIL,1.014954,3.19669130760029e-19
KIF15,1.0130173,1.0739101043584698e-35
TICRR,1.0117574,3.538656649549291e-18
MZF1-AS1,1.0088382,0.047865601281984596
SKA1,1.0068395,8.32469974239336e-08
SLFN13,0.99895996,7.702743787943446e-14
RRM1,0.9896459,6.378924123913127e-67
SLC20A1,0.9880562,3.476739515821495e-42
KIF24,0.9875885,6.086696171414261e-05
TRBV20-1,0.98626,6.98303962225621e-13
AL365295.1,0.98513544,0.018852240406846084
NDC80,0.9793508,4.927678140575335e-31
RASGEF1B,0.9748117,0.00030624675536570665
C21orf58,0.9715232,2.480023543168192e-44
CKAP2L,0.97146153,1.2516001270512588e-32
DIAPH3,0.97062075,5.641561512563784e-35
CDT1,0.96676505,1.9623133990496154e-79
CRACR2B,0.9660073,2.470619702765732e-07
EHD2,0.9651606,0.004703732473965189
CENPN,0.95920724,4.454304417168491e-42
MXD3,0.9582971,1.376667716862146e-33
MFAP4,0.95786667,5.705795906071656e-08
RAD51AP1,0.9535178,2.650292241013208e-44
CDKN2D,0.9509713,8.014033136167706e-30
HAUS8,0.94916064,4.886658141835195e-09
