names,scores,logfoldchanges,pvals,pvals_adj
HIST1H4C,36.01161,2.3902302,5.505930187676675e-284,1.5056516691220638e-279
HIST1H1B,34.797813,2.7891188,2.6248128863256995e-265,3.5889066594731293e-261
RRM2,34.21023,2.1839585,1.7033501779366468e-256,1.552660465528518e-252
TUBB,33.050255,1.1017382,1.5426248071443187e-239,1.0546154494042134e-235
TUBA1B,30.302547,0.7885625,1.0610866480845021e-201,5.803295095703759e-198
HIST1H1C,29.97933,2.0740042,1.8253023549593204e-197,8.319119699786262e-194
TYMS,27.551548,1.0619109,4.240255670818079e-167,1.6564861653455884e-163
HIST1H3B,27.193771,2.356251,7.695401110156842e-163,2.6304804844793625e-159
HIST1H3D,26.75684,2.3080807,1.0280199663996057e-157,3.123581555684846e-154
HIST1H1E,25.362095,1.6584569,6.60974353022436e-142,1.8075004657751534e-138
MKI67,24.99687,1.7217016,6.611916933894348e-138,1.643722549766135e-134
H2AFX,24.815763,1.3284277,6.059615062251109e-136,1.380885279102657e-132
PCLAF,24.687565,1.0306783,1.4546428838143023e-134,3.0598972539066085e-131
PKMYT1,24.651808,1.440992,3.5195456249301447e-134,6.874678189952838e-131
CDCA5,24.586397,1.625334,1.766015801906486e-133,3.219564541262318e-130
STMN1,24.307562,0.77433634,1.6306932217978076e-130,2.787058552705178e-127
HIST1H1D,24.10385,1.7226287,2.2778424380823372e-128,3.6641105477529177e-125
TK1,24.036423,1.2477475,1.1576518195296192e-127,1.758730369825387e-124
MYBL2,22.869106,1.465562,9.434536547822562e-116,1.357878086509241e-112
ATAD2,21.522127,1.252599,9.662496068601498e-103,1.3211530874598828e-99
HMGN2,21.286915,0.6401101,1.5008998138898447e-100,1.954457443363414e-97
AURKB,20.812635,1.467229,3.3255784166515982e-96,4.133693971897937e-93
FAM111A,20.199827,1.1583349,9.823933395014607e-91,1.1680229679133454e-87
FOXM1,19.909063,1.3263141,3.3960961745642145e-88,3.869568582901375e-85
HMGB1,19.823994,0.50761503,1.8484406675755053e-87,2.0218983398207907e-84
PCNA,19.772104,1.029066,5.1771033079236005e-87,5.445117963787646e-84
HMGB2,19.755514,0.884643,7.192022424686111e-87,7.284186860202459e-84
NUSAP1,19.452572,1.166404,2.771745344239053e-84,2.707005292270041e-81
HIST1H2AG,19.402441,1.520549,7.359151196440673e-84,6.939425814409195e-81
CDT1,19.228125,0.96676505,2.1527609877674416e-82,1.9623133990496154e-79
CENPM,19.202963,1.0303733,3.4956546316221134e-82,3.083618437301236e-79
KIFC1,18.648296,1.2107702,1.3036528547175446e-77,1.1140528426595618e-74
ASF1B,18.597898,1.1073362,3.3415789889418324e-77,2.7690551221697987e-74
HIST1H2AL,18.452393,1.8468724,4.988738980406011e-76,4.012413416417141e-73
TOP2A,18.35799,1.1290852,2.8495734374436853e-75,2.2264124348667145e-72
H1FX,17.954721,0.8760739,4.4078636438436075e-72,3.3482622001263136e-69
RRM1,17.659296,0.9896459,8.630885415957936e-70,6.378924123913127e-67
IDH2,16.84411,0.6479315,1.1589935174557319e-63,8.340483349564327e-61
