"LS","HR","p","det","fdr","dir","lineage_program","stem_z","n_patients","top_cyto"
"LS_20",1.291,0.000548586292618593,44.1,0.026880728338311,"poor","Cell-cycle",-0.037348818,8,"CBFB/MYH11(19%)"
"LS_34",1.259,0.00124308556433532,92,0.0304555963262153,"poor","unresolved",-0.2716692,3,"RUNX1/RUNX1T1(74%)"
"LS_45",0.76,0.00343609089953378,87.2,0.0491941275802685,"favorable","GMP",-0.6102107,2,"RUNX1/RUNX1T1(67%)"
"LS_25",1.205,0.00401584714940967,22.4,0.0491941275802685,"poor","unresolved",0.82053727,3,"t(2;3)(p15;q26.2)(43%)"
"LS_36",1.224,0.010877288734843,82.4,0.106597429601462,"poor","unresolved",0.40902978,4,"CBFB/MYH11(72%)"
"LS_49",0.831,0.0548877416963755,62.6,0.374644537325413,"favorable","GMP",-1.14591,8,"PML/RARA(33%)"
"LS_15",0.836,0.0604288077767997,76.7,0.374644537325413,"favorable","T/NK",0.033698373,2,"BCR/ABL(66%)"
"LS_43",1.164,0.0710304627215746,96.5,0.374644537325413,"poor","unresolved",0.6286727,1,"Tri(8)(98%)"
"LS_10",1.132,0.0770861138674479,10.5,0.374644537325413,"poor","Cell-cycle",0.23825729,9,"CN(22%)"
"LS_44",1.15,0.0832060800089884,45,0.374644537325413,"poor","Macrophage",-1.3080021,2,"RUNX1/RUNX1T1(89%)"
"LS_39",0.856,0.0841038757261132,88.8,0.374644537325413,"favorable","Cell-cycle",0.7369078,5,"CN(18%)"
"LS_16",1.114,0.123033714665516,37.1,0.436025084586505,"poor","Monocyte",-1.3345684,6,"CBFB/MYH11(68%)"
"LS_24",1.133,0.127194013987517,62.3,0.436025084586505,"poor","unresolved",0.65211433,4,"Tri(15)(62%)"
"LS_33",0.87,0.133418192887155,78.9,0.436025084586505,"favorable","GMP",-0.028869223,6,"PML/RARA(50%)"
"LS_9",1.12,0.135804049152956,37.4,0.436025084586505,"poor","unresolved",-0.07763256,5,"MLLr(33%)"
"LS_30",0.869,0.144843310157852,71.2,0.436025084586505,"favorable","T/NK",0.30273643,7,"CN(19%)"
"LS_3",0.879,0.154122084504229,90.7,0.436025084586505,"favorable","Cell-cycle",0.08830475,5,"CN(26%)"
"LS_2",1.114,0.163954918561587,86.3,0.436025084586505,"poor","unresolved",0.24626105,3,"CBFB/MYH11(94%)"
"LS_7",0.872,0.174262087306968,40.3,0.436025084586505,"favorable","Monocyte",-0.97214144,3,"MLLr(59%)"
"LS_22",0.883,0.177983585965369,86.6,0.436025084586505,"favorable","GMP",-0.16761728,4,"Tri(15)(57%)"
"LS_47",0.865,0.202834696821698,43.5,0.436025084586505,"favorable","Macrophage",0.7881615,6,"CN(28%)"
"LS_38",1.108,0.20813493089481,33.2,0.436025084586505,"poor","HSC/MPP",0.6312328,1,"NUP98/NSD1(97%)"
"LS_27",1.099,0.213146234007206,22.4,0.436025084586505,"poor","GMP",-0.053242575,8,"CBFB/MYH11(39%)"
