"subtype","n","LS","mean_pct","pval","fdr","neglog10fdr"
"FLT3-ITD",200,"LS_1",4.55090205864768,0.0956858157639017,0.288529536764996,0.539809721511906
"FLT3-ITD",200,"LS_2",0.978500625286703,0.99999826279111,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_3",3.16384523225176,0.830359277781412,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_4",0.630287420531362,0.381757369063459,0.799976586920121,0.0969227234082954
"FLT3-ITD",200,"LS_5",2.13510018141561,0.93097437901058,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_6",4.8749643484413,2.19054583279939e-19,1.43115661076227e-17,16.8443128390087
"FLT3-ITD",200,"LS_7",0.798300075498318,0.0110751598119272,0.0586684141388574,1.23159565100391
"FLT3-ITD",200,"LS_8",3.6917502958358,0.00317014020855385,0.0230128696620946,1.63802922223944
"FLT3-ITD",200,"LS_9",0.739685286880223,0.961317029276172,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_10",0.276870161807125,0.0203024251572465,0.097055495873666,1.012979867179
"FLT3-ITD",200,"LS_11",2.32409516164999,0.0196579495723248,0.0963239529043916,1.01626570331487
"FLT3-ITD",200,"LS_12",0.354069692908261,0.994723432574949,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_13",1.1524356475727,0.944713023376481,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_14",2.66804654099133,0.0384444652715235,0.153777861086094,0.813106184041859
"FLT3-ITD",200,"LS_15",1.0779762643637,0.933403601971544,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_16",0.327500561028157,0.824826058941425,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_17",0.704097981094513,0.999997278779673,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_18",1.28189181538203,0.00589852496840521,0.0385370297935807,1.41412176124173
"FLT3-ITD",200,"LS_19",1.94410354283913,8.7870008802488e-05,0.000855905687203783,3.06757408787374
"FLT3-ITD",200,"LS_20",1.99489412576294,0.354756717225151,0.769804780353577,0.113619396339981
"FLT3-ITD",200,"LS_21",6.97854912040205,0.868269463274086,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_22",3.02019384615566,0.117441745317001,0.338508560031356,0.470430344623214
"FLT3-ITD",200,"LS_23",0.612910246814658,0.0726875488086326,0.25812273523787,0.588173741471237
"FLT3-ITD",200,"LS_24",3.53820591707903,1.56512019340084e-05,0.000248565473950292,3.60455919554231
"FLT3-ITD",200,"LS_25",0.534398671184184,0.0153483204691436,0.0771351490244142,1.11274767708747
"FLT3-ITD",200,"LS_26",2.3406837282267,0.0809708866839979,0.268988030340061,0.570267045175735
"FLT3-ITD",200,"LS_27",1.10555163700731,0.00201185789462626,0.0151663133594902,1.81911997506108
"FLT3-ITD",200,"LS_28",2.10489982556063,0.0009478623345753,0.00743124070307036,2.12893867136544
"FLT3-ITD",200,"LS_29",1.67563871292219,0.999979101952598,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_30",2.85025662232999,0.885985367448721,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_31",0.860236935155144,0.808310322256612,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_32",0.860701994710595,0.0246539036655595,0.112375932987202,0.949326689567847
"FLT3-ITD",200,"LS_33",2.72596795310226,4.09733257825456e-05,0.000470690029439443,3.32726500119477
"FLT3-ITD",200,"LS_34",0.863328729453544,0.763039648339594,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_35",1.11546126953991,0.999967671921081,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_36",2.91301040375513,9.17041807718339e-05,0.000855905687203783,3.06757408787374
"FLT3-ITD",200,"LS_37",1.10389501829578,0.982217043398004,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_38",0.867930634807821,0.000666625716503595,0.00568081045368281,2.24558970118092
"FLT3-ITD",200,"LS_39",1.51617362509905,0.866361958789465,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_40",2.5532100420635,0.151738786730818,0.431026118829569,0.365496412159766
"FLT3-ITD",200,"LS_41",1.46305426606917,0.0100875175940946,0.0564900985269299,1.24802766779041
"FLT3-ITD",200,"LS_42",1.63233966650906,0.392311043750549,0.800968380990704,0.0963846277763093
"FLT3-ITD",200,"LS_43",3.46220053950558,1.88597407302461e-06,3.36046289375294e-05,4.47360089571844
"FLT3-ITD",200,"LS_44",0.286106691090678,0.846084085469589,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_45",1.8717155583965,0.999999989059467,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_46",0.863528998341675,0.78788446555559,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_47",1.0065553053446,0.943968438358575,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_48",1.00785602342677,0.910765847015109,0.999999989059467,4.75141310398859e-09
"FLT3-ITD",200,"LS_49",2.02770265983685,0.969155167469774,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_1",5.68428558324793,3.88861954770366e-05,0.000470690029439443,3.32726500119477
"NPM1-mut",113,"LS_2",1.01562012172814,0.990833878810882,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_3",2.57778621496145,0.995549862977524,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_4",0.676043887482785,0.0279502138284987,0.121738709119683,0.914571307685448
"NPM1-mut",113,"LS_5",2.11183636234554,0.634384135470838,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_6",4.37154421632415,1.16211114673657e-08,3.2539112108624e-07,6.48759430178595
"NPM1-mut",113,"LS_7",0.808695556812972,0.62774118780468,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_8",2.7083786991192,0.835781651366825,0.999999989059467,4.75141310398859e-09
