"LS","Description","p.adjust","term"
"LS_33","GOBP_NEUTROPHIL_MEDIATED_KILLING_OF_BACTERIUM",0.0146749643923578,"neutrophil mediated killing of bacterium"
"LS_33","GOBP_NEUTROPHIL_MEDIATED_CYTOTOXICITY",0.0162906371632972,"neutrophil mediated cytotoxicity"
"LS_33","GOBP_HUMORAL_IMMUNE_RESPONSE",0.0289655344225989,"humoral immune response"
"LS_33","GOBP_PHAGOCYTOSIS",0.0485483213873916,"phagocytosis"
"LS_33","GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN",0.0552906232672608,"response to molecule of bacterial origin"
"LS_33","GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_SYMBIONT",0.0552906232672608,"biological process involved in interaction with symbiont"
"LS_33","GOBP_NEUTROPHIL_MEDIATED_IMMUNITY",0.0552906232672608,"neutrophil mediated immunity"
"LS_33","GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE",0.0552906232672608,"antimicrobial humoral response"
"LS_33","GOBP_LEUKOCYTE_ACTIVATION_INVOLVED_IN_INFLAMMATORY_RESPONSE",0.0843322999068657,"leukocyte activation involved in inflammatory response"
"LS_33","GOBP_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY",0.0843322999068657,"myeloid leukocyte mediated immunity"
"LS_33","GOBP_POSITIVE_REGULATION_OF_PLATELET_AGGREGATION",0.0861217331551113,"positive regulation of platelet aggregation"
"LS_33","GOBP_GLIAL_CELL_ACTIVATION",0.0861217331551113,"glial cell activation"
"LS_33","GOBP_REGULATION_OF_ANGIOTENSIN_LEVELS_IN_BLOOD",0.0861217331551113,"regulation of angiotensin levels in blood"
"LS_33","GOBP_DEFENSE_RESPONSE_TO_BACTERIUM",0.0960947843379419,"defense response to bacterium"
"LS_33","GOBP_RESPONSE_TO_YEAST",0.0974396444206095,"response to yeast"
"LS_33","GOBP_RESPONSE_TO_CORTICOSTEROID",0.0974396444206095,"response to corticosteroid"
"LS_33","GOBP_MYELOID_LEUKOCYTE_ACTIVATION",0.0974396444206095,"myeloid leukocyte activation"
"LS_33","GOBP_CELLULAR_EXTRAVASATION",0.0974396444206095,"cellular extravasation"
"LS_33","GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY",0.0974396444206095,"extracellular matrix disassembly"
"LS_33","GOBP_NEGATIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA",0.0974396444206095,"negative regulation of release of cytochrome c from mitochondria"
