"LS","HR","ci_lo","ci_hi","p","fdr","dir","n_cells","jaccard","AML_frac","healthyBM_frac","top_cyto","n_patients","top_pt_frac","lineage_program","stem_z","prognosis"
"LS_10",1.214,1.138,1.296,5.14076448927836e-09,2.5189745997464e-07,"poor",1583,0.58,1,0.02,"CN(22%)",9,0.07,"proliferative",0.23825729,"poor"
"LS_33",0.757,0.684,0.837,6.96523293426941e-08,1.70648206889601e-06,"favorable",991,0.35,1,0,"PML/RARA(50%)",6,0.31,"GMP",-0.028869223,"favorable"
"LS_45",0.813,0.75,0.882,5.15034013296507e-07,8.41222221717628e-06,"favorable",377,0.6,1,0,"RUNX1/RUNX1T1(67%)",2,0.67,"GMP",-0.6102107,"favorable"
"LS_41",1.147,1.079,1.218,8.85819929057816e-06,0.000108512941309582,"poor",615,0.69,1,0,"MLLr(77%)",1,0.77,"unresolved",-0.07061274,"poor"
"LS_20",1.138,1.065,1.215,0.000120837664812499,0.00118420911516249,"poor",1251,0.8,1,0.02,"CBFB/MYH11(19%)",8,0.1,"proliferative",-0.037348818,"poor"
"LS_28",0.862,0.798,0.931,0.000168417537762816,0.00137540989172966,"favorable",1041,0.85,1,0,"RUNX1/RUNX1T1(81%)",2,0.8,"unresolved",0.08084918,"favorable"
"LS_46",0.864,0.793,0.941,0.000762782824925928,0.00533947977448149,"favorable",369,0.54,1,0.04,"NUP98/NSD1(83%)",1,0.83,"GMP",0.42196244,"favorable"
"LS_38",1.114,1.043,1.19,0.00135519086851019,0.00830054406962491,"poor",798,0.79,1,0,"NUP98/NSD1(97%)",1,0.97,"HSC/MPP",0.6312328,"poor"
"LS_11",0.889,0.824,0.96,0.00257110933019097,0.0139982619088175,"favorable",1583,0.7,1,0.01,"CN(21%)",6,0.16,"Macrophage",0.62838227,"favorable"
"LS_17",0.897,0.829,0.971,0.00725576126261464,0.0355532301868117,"favorable",1392,0.44,1,0,"RUNX1/RUNX1T1(49%)",4,0.47,"unresolved",0.2648616,"favorable"
"LS_19",1.096,1.021,1.175,0.011043331101162,0.0491930203597217,"poor",1291,0.46,1,0,"CN(80%)",3,0.47,"pDC",0.19634369,"poor"
"LS_23",1.083,1.012,1.158,0.0202299886435206,0.0826057869610423,"poor",1148,0.93,1,0,"t(7;14)(q21;q32)(93%)",1,0.93,"T/NK",-0.20325062,"poor"
