SampleID,lineage,frac
0_HealthyBM1,Monocyte,0.3543173117822203
0_HealthyBM1,T,0.19502339430029775
0_HealthyBM1,NK,0.15525308379413016
0_HealthyBM1,AML,0.08315610378562314
0_HealthyBM1,B,0.04806465333900468
0_HealthyBM1,Erythrocytes,0.04742662696724798
0_HealthyBM1,Myeloid_Pro,0.042960442364951085
0_HealthyBM1,0_HSPC,0.04062101233517652
0_HealthyBM1,AML-Ery,0.02403232666950234
0_HealthyBM1,PlasmaB,0.008507018290089324
0_HealthyBM1,AML-Mono,0.0004253509145044662
0_HealthyBM1,AML-B,0.0002126754572522331
0_HealthyBM2,T,0.3314029074577473
0_HealthyBM2,Monocyte,0.27620848599456327
0_HealthyBM2,B,0.19702162864909586
0_HealthyBM2,Erythrocytes,0.052357877319465784
0_HealthyBM2,0_HSPC,0.03108379624157901
0_HealthyBM2,NK,0.030492849544971043
0_HealthyBM2,Myeloid_Pro,0.029429145491076704
0_HealthyBM2,AML,0.027892684079895994
0_HealthyBM2,PlasmaB,0.01631012882637986
0_HealthyBM2,AML-Ery,0.006618603002009219
0_HealthyBM2,AML-Mono,0.0011818933932159319
AML1355,AML,0.9206021251475797
AML1355,AML-T,0.01859504132231405
AML1355,PlasmaB,0.016824085005903187
AML1355,AML-Ery,0.009445100354191263
AML1355,AML-B,0.008264462809917356
AML1355,T,0.007674144037780401
AML1355,B,0.006493506493506494
AML1355,Erythrocytes,0.0029515938606847697
AML1355,NK,0.002656434474616293
AML1355,AML-NK,0.002066115702479339
AML1355,0_HSPC,0.0017709563164108619
AML1355,AML-Mono,0.0008854781582054309
AML1355,Monocyte,0.0008854781582054309
AML1355,Myeloid_Pro,0.0008854781582054309
AML3082,AML,0.7241485118134398
AML3082,AML-Mono,0.18103712795335994
AML3082,AML-T,0.038662166308683646
AML3082,AML-B,0.020251610923596196
AML3082,Myeloid_Pro,0.007977907333537895
AML3082,Monocyte,0.007671064743786438
AML3082,AML-NK,0.007057379564283523
AML3082,Erythrocytes,0.005216324025774778
AML3082,B,0.0021478981282602025
AML3082,NK,0.0021478981282602025
AML3082,T,0.0021478981282602025
AML3082,AML-Ery,0.0009205277692543725
AML3082,0_HSPC,0.0003068425897514575
AML3082,PlasmaB,0.0003068425897514575
AML3121,AML,0.9824438202247191
AML3121,AML-Mono,0.004213483146067416
AML3121,NK,0.0028089887640449437
AML3121,AML-T,0.0024578651685393258
AML3121,AML-NK,0.0017556179775280898
AML3121,B,0.0017556179775280898
AML3121,AML-Ery,0.001053370786516854
AML3121,Monocyte,0.001053370786516854
AML3121,T,0.001053370786516854
AML3121,Erythrocytes,0.0007022471910112359
AML3121,Myeloid_Pro,0.00035112359550561797
AML3121,PlasmaB,0.00035112359550561797
AML3210,AML,0.9721244131455399
AML3210,AML-B,0.01056338028169014
AML3210,AML-T,0.005575117370892019
AML3210,Myeloid_Pro,0.0038145539906103286
AML3210,AML-NK,0.0029342723004694834
AML3210,Monocyte,0.0011737089201877935
AML3210,B,0.0008802816901408451
AML3210,PlasmaB,0.0008802816901408451
AML3210,T,0.0008802816901408451
AML3210,AML-Ery,0.0005868544600938967
AML3210,0_HSPC,0.00029342723004694836
AML3210,AML-Mono,0.00029342723004694836
AML335,AML,0.8751572327044025
AML335,AML-Mono,0.08553459119496855
AML335,Monocyte,0.01289308176100629
AML335,AML-T,0.007547169811320755
AML335,AML-B,0.006289308176100629
AML335,Myeloid_Pro,0.005974842767295598
AML335,AML-NK,0.002830188679245283
AML335,PlasmaB,0.0018867924528301887
AML335,AML-Ery,0.0006289308176100629
AML335,B,0.0006289308176100629
AML335,T,0.0006289308176100629
AML3371,AML,0.975
AML3371,AML-T,0.014375
AML3371,AML-Ery,0.005625
AML3371,Monocyte,0.00125
AML3371,AML-Mono,0.0009375
AML3371,Erythrocytes,0.0009375
AML3371,AML-NK,0.000625
AML3371,PlasmaB,0.000625
AML3371,T,0.000625
AML3492,AML,0.9797475785148224
AML3492,AML-Mono,0.005576753742295274
AML3492,AML-T,0.004696213677722336
AML3492,AML-B,0.0044027003228646906
AML3492,AML-Ery,0.0014675667742882301
AML3492,Myeloid_Pro,0.0014675667742882301
AML3492,AML-NK,0.0008805400645729381
AML3492,T,0.0008805400645729381
AML3492,Erythrocytes,0.000587026709715292
AML3492,Monocyte,0.000293513354857646
AML4000,AML,0.9281288723667905
AML4000,AML-Mono,0.025712515489467163
AML4000,AML-T,0.01703841387856258
AML4000,AML-NK,0.008983890954151178
AML4000,AML-B,0.005266418835192069
AML4000,PlasmaB,0.004337050805452293
AML4000,B,0.0030978934324659233
AML4000,Myeloid_Pro,0.0027881040892193307
AML4000,Monocyte,0.0021685254027261464
AML4000,T,0.0018587360594795538
AML4000,AML-Ery,0.0006195786864931846
AML4010,AML,0.9338565022421524
AML4010,AML-T,0.03699551569506727
AML4010,T,0.007847533632286996
AML4010,AML-B,0.004484304932735426
AML4010,AML-Ery,0.004484304932735426
AML4010,Erythrocytes,0.004484304932735426
AML4010,0_HSPC,0.0033632286995515697
AML4010,AML-NK,0.0033632286995515697
AML4010,AML-Mono,0.0011210762331838565
AML4035,AML,0.7579178425838821
AML4035,AML-B,0.09595484477892756
AML4035,AML-T,0.03606146127312637
AML4035,Monocyte,0.02916274694261524
AML4035,AML-Mono,0.027908435246158672
AML4035,AML-NK,0.017873941674506115
AML4035,B,0.013483850736908122
AML4035,NK,0.008153026026967701
AML4035,T,0.007525870178739417
AML4035,AML-Ery,0.004076513013483851
AML4035,Myeloid_Pro,0.0009407337723424271
AML4035,PlasmaB,0.0006271558482282847
AML4035,0_HSPC,0.00031357792411414236
AML4048,AML,0.8642384105960265
AML4048,B,0.11589403973509933
AML4048,AML-Mono,0.013245033112582781
AML4048,AML-T,0.0033112582781456954
AML4048,PlasmaB,0.0033112582781456954
AML4062,Monocyte,0.3406451612903226
AML4062,T,0.25333333333333335
AML4062,AML,0.14967741935483872
AML4062,AML-Ery,0.07827956989247312
AML4062,B,0.06408602150537634
AML4062,Myeloid_Pro,0.05075268817204301
AML4062,NK,0.03225806451612903
AML4062,Erythrocytes,0.012473118279569893
AML4062,PlasmaB,0.00903225806451613
AML4062,0_HSPC,0.007311827956989247
AML4062,AML-T,0.0017204301075268817
AML4062,AML-B,0.00043010752688172043
AML4068,AML,0.8880931065353626
AML4068,AML-Mono,0.04506117576842734
AML4068,AML-T,0.04416592062071024
AML4068,AML-B,0.005371530886302597
AML4068,AML-NK,0.005371530886302597
AML4068,Monocyte,0.003879438973440764
AML4068,T,0.0026857654431512983
AML4068,Myeloid_Pro,0.0014920919128618322
AML4068,PlasmaB,0.0014920919128618322
AML4068,B,0.0008952551477170994
AML4068,NK,0.0008952551477170994
AML4068,Erythrocytes,0.000596836765144733
AML4090,AML,0.8618853742561854
AML4090,AML-T,0.08581271531475101
AML4090,AML-Mono,0.02192295646727216
AML4090,T,0.009082367679298466
AML4090,AML-NK,0.004384591293454432
AML4090,Monocyte,0.004384591293454432
AML4090,AML-B,0.003758221108675227
AML4090,Myeloid_Pro,0.003758221108675227
AML4090,AML-Ery,0.0018791105543376136
AML4090,Erythrocytes,0.0015659254619480112
AML4090,NK,0.0009395552771688068
AML4090,PlasmaB,0.0006263701847792045
AML4102,AML,0.8636514798802793
AML4102,AML-T,0.05886265380778184
AML4102,T,0.03026272031925507
AML4102,AML-Ery,0.010309278350515464
AML4102,AML-Mono,0.009644163618224144
AML4102,AML-B,0.006651147322913203
AML4102,B,0.005653475224476222
AML4102,PlasmaB,0.004323245759893582
AML4102,Monocyte,0.0039906883937479215
AML4102,NK,0.0033255736614566014
AML4102,AML-NK,0.0019953441968739607
AML4102,Erythrocytes,0.0013302294645826404
AML4116,AML,0.5497382198952879
AML4116,AML-Ery,0.20732984293193718
AML4116,AML-T,0.13542757417102966
AML4116,T,0.03699825479930192
AML4116,Monocyte,0.020593368237347295
AML4116,AML-B,0.0118673647469459
AML4116,AML-Mono,0.01012216404886562
AML4116,PlasmaB,0.007329842931937173
AML4116,Myeloid_Pro,0.006980802792321117
AML4116,AML-NK,0.005235602094240838
AML4116,Erythrocytes,0.0034904013961605585
AML4116,B,0.002792321116928447
AML4116,NK,0.0017452006980802793
AML4116,0_HSPC,0.00034904013961605586
AML4127,AML-Ery,0.6142730757888528
AML4127,AML,0.2326747272191094
AML4127,AML-T,0.12474196402241226
AML4127,AML-Mono,0.008846947803007963
AML4127,AML-B,0.005013270421704512
AML4127,T,0.0044234739015039815
AML4127,AML-NK,0.003538779121203185
AML4127,PlasmaB,0.0026540843409023885
AML4127,B,0.0020642878207018578
AML4127,Monocyte,0.0011795930404010617
AML4127,NK,0.0005897965202005308
AML4192,AML,0.9099454214675561
AML4192,AML-T,0.05003032140691328
AML4192,T,0.013947847180109158
AML4192,AML-B,0.007580351728320194
AML4192,Monocyte,0.006064281382656155
AML4192,AML-Mono,0.004244996967859308
AML4192,B,0.004244996967859308
AML4192,AML-Ery,0.0015160703456640388
AML4192,PlasmaB,0.0015160703456640388
AML4192,0_HSPC,0.00030321406913280777
AML4192,AML-NK,0.00030321406913280777
AML4192,NK,0.00030321406913280777
AML4226,AML,0.7930711610486891
AML4226,AML-Mono,0.09300873907615481
AML4226,Monocyte,0.033395755305867664
AML4226,AML-T,0.019975031210986267
AML4226,AML-Ery,0.019038701622971287
AML4226,T,0.012484394506866416
AML4226,Erythrocytes,0.007802746566791511
AML4226,Myeloid_Pro,0.006242197253433208
AML4226,PlasmaB,0.0046816479400749065
AML4226,AML-B,0.003745318352059925
AML4226,AML-NK,0.003745318352059925
AML4226,B,0.001560549313358302
AML4226,NK,0.0012484394506866417
AML4232,AML,0.4202287778446719
AML4232,T,0.26580373269114993
AML4232,AML-Ery,0.07916917519566526
AML4232,Monocyte,0.062311860325105356
AML4232,B,0.060505719446116796
AML4232,AML-Mono,0.051475015051173995
AML4232,Erythrocytes,0.018061408789885613
AML4232,0_HSPC,0.015352197471402769
AML4232,Myeloid_Pro,0.009030704394942806
AML4232,AML-NK,0.007224563515954244
AML4232,NK,0.004214328717639976
AML4232,AML-T,0.0039133052378085495
AML4232,PlasmaB,0.0027092113184828417
AML4239,AML,0.7504373177842566
AML4239,AML-Mono,0.17667638483965015
AML4239,AML-T,0.032361516034985424
AML4239,Monocyte,0.014285714285714285
AML4239,T,0.007580174927113703
AML4239,Myeloid_Pro,0.00641399416909621
AML4239,AML-B,0.0055393586005830905
AML4239,AML-NK,0.0023323615160349854
AML4239,B,0.0020408163265306124
AML4239,AML-Ery,0.0008746355685131195
