LS,CD34,HLF,AVP,CRHBP,HOXA9,MEIS1,MLLT3,PROM1,MECOM,GATA2,MPO,ELANE,AZU1,PRTN3,CTSG,CEBPE,LYST,CFD,LYZ,CD14,CSF1R,FCN1,VCAN,S100A8,S100A9,CD68,C1QA,C1QB,C1QC,MRC1,SIGLEC1,TREM1,CD1C,FCER1A,CLEC10A,CD207,CD1E,IRF8,IRF7,LILRA4,GZMB,IL3RA,PPBP,PF4,ITGA2B,GP9,GP1BA,VWF,TUBB1,PF4V1,GATA1,KLF1,GYPA,ALAS2,TFRC,AHSP,FUT4,CEACAM8,MMP8,CD177,LTF,LCN2,CAMP,MMP9,CD19,MS4A1,CD79A,CD79B,IGHM,JCHAIN,BLNK,CD3D,CD3E,IL7R,NKG7,GNLY,CD2,GZMH,MKI67,TOP2A,CDK1,UBE2C,CENPA,BIRC5,PCNA,NUSAP1,BUB1B
LS_1,0.1900582,0.82814586,-0.092272386,0.29871237,-0.88180214,-0.56377995,-0.5159776,-0.70490855,-0.26236573,-0.38640025,-0.20567435,-0.5027246,-0.7607643,-0.5035592,-0.63025993,-0.67167795,-1.3138909,-1.0013546,-0.48243657,-0.23512089,-0.6570701,-0.26821345,-0.2663864,-0.13298437,-0.023222446,-0.9036691,-0.42720735,-0.18767463,-0.23866221,-0.23248127,-0.35567707,-0.45151198,-0.101727195,-0.21199764,-0.20836942,-0.14285709,-0.14187054,-0.52874714,-1.0965205,0.1020609,1.9774052,-1.0174273,-0.34161147,-0.21167572,-0.1433541,-0.44154742,-0.21383703,-0.015179304,-0.13691571,-0.17613405,-0.07522041,-0.16421252,-0.06493285,3.2556717,-1.1287173,1.584785,-1.154856,-0.1886834,-0.057782296,-0.17788857,-0.060743198,-0.24847072,-0.35107788,-0.13340239,-0.23689143,0.0013244955,-0.2683558,-1.0656922,-0.40404952,-0.12894121,-0.2354033,0.06271799,0.48414937,1.4271296,-0.8997751,-0.25399765,-0.048841916,0.24559768,-0.19602473,-0.1614116,-0.19548231,-0.14606734,-0.16251539,-0.25923368,-0.46747532,-0.19211262,-0.17128345
LS_10,0.36680296,-0.10050608,0.6133266,-0.05252841,-0.05725828,-0.22993685,0.12892562,0.17249614,-0.13250408,-0.13934156,0.42429072,-0.2152335,-0.060842015,-0.1411403,0.26861933,-0.20650773,-0.2311266,-0.29100698,-0.3299962,-0.27907878,-0.26972649,-0.22770803,-0.3284158,-0.25120217,-0.26627415,-0.47374064,-0.35602915,0.002595361,-0.33402586,-0.18604654,-0.3500528,-0.30973494,-0.16674931,-0.21270841,-0.24554235,-0.14285709,-0.19203433,0.2522502,-0.38892066,1.0500447,0.90931636,-0.45477942,-0.24807438,-0.17283395,-0.1818759,0.1110352,-0.26709178,-0.021900497,-0.21169537,-0.17613405,-0.22905953,-0.062075082,-0.22005531,-0.3894853,0.5746442,-0.42060864,0.37818107,-0.22185716,-0.105966054,-0.040696137,-0.059858356,-0.24847072,-0.37622154,-0.06074775,0.054673947,-0.08064726,0.39205444,-0.40886456,0.040950604,0.24295174,0.14846244,0.2079289,0.46067768,0.6027471,0.2401938,-0.06340731,0.3034021,0.6088337,3.1927006,2.8724413,2.9165137,2.6226044,1.1628485,3.0168047,4.4487185,3.206978,3.242039
LS_11,-0.4335129,0.117202595,-0.83593243,-0.058741376,-0.43210918,1.297554,-0.04611627,0.3037597,-0.06864715,-0.3200311,-0.017677188,0.22818902,0.15791023,-0.006531429,-0.4275821,-0.56062317,1.1643431,-0.48716235,-0.2979315,-0.22855775,-0.03718255,-0.26115045,-0.20590359,-0.37427166,-0.37408447,-0.86322963,-0.17624366,0.03629475,0.46544454,-0.14883135,0.9713845,-0.122128755,-0.18161872,-0.25960255,-0.23321207,-0.14285709,-0.17167325,0.023228806,-0.9663803,-0.20882444,-0.34962055,-0.6737739,-0.37043282,-0.21167572,-0.24972446,-0.46635735,-0.38495827,-0.19397628,-0.24056295,-0.17613405,-0.25234523,-0.31330985,-0.24766614,-0.020067137,2.1668477,0.10872461,2.7439253,-0.22185716,-0.1620341,-0.17788857,-0.18406197,-0.24847072,-0.28844053,-0.17195705,-0.18516839,-0.092416316,-0.7677361,-1.1035273,-0.50519013,-0.2292208,-0.2525079,-0.41428554,-0.28353193,-0.49711752,-1.0818455,-0.31701744,-0.40893683,-0.19590324,-0.20318905,-0.24337809,-0.1891561,-0.26454797,-0.18935218,-0.32126716,-0.7123814,-0.2558796,-0.06822453
LS_12,-0.92292637,-0.2012229,0.12922516,-0.38204718,-0.20474303,-0.5876406,-0.86718553,-0.95446885,-0.37683976,-0.47700116,1.2102271,2.498197,1.9770526,1.9788575,2.672355,1.5463486,0.895536,1.689228,0.4805911,-0.30022192,-0.22374147,-0.15089029,-0.40818647,-0.30743006,-0.34964657,-0.23048578,-0.3761938,0.015696589,-0.11111214,-0.25241667,0.55039483,-0.34755245,-0.18161872,-0.323967,-0.27662897,-0.14285709,-0.19203433,-0.04441158,-0.8908028,-0.35758683,-0.43122125,-0.85340077,-0.34035838,-0.18968108,-0.32284567,0.46713534,-0.3465317,-0.28556168,-0.24056295,-0.17613405,-0.32779258,-0.17931664,-0.24766614,-0.6424098,-0.9662533,-0.62908995,0.07889695,-0.22185716,-0.1620341,-0.17788857,-0.1364444,-0.24847072,-0.19343334,-0.13174231,-0.42514023,-0.2178135,-0.45669198,-0.5223129,-0.5588511,-0.31868705,-0.24651237,0.36082122,-0.36883518,-0.6454846,0.29926234,0.283014,-0.2656506,-0.22133717,-0.33047873,-0.31979683,-0.3199492,-0.29614434,-0.22188425,-0.31904173,-0.41883132,-0.37968668,-0.39343134
LS_13,-1.1384627,1.7833683,-0.83593243,-0.44603834,-1.1822599,-0.9304148,1.9029641,-1.257791,3.8084629,3.5537126,-1.5524896,-0.9954117,-1.2716694,-0.9446069,-0.90487796,-0.7009429,-1.7082629,-1.7802498,-0.72436255,-0.30490112,-0.8618379,-0.35592398,-0.36997303,-0.41152263,-0.44709688,0.976959,-0.42720735,-0.30911198,-0.33402586,-0.25692633,-0.49778277,-0.55080634,-0.18161872,1.4892178,-0.28530622,-0.14285709,-0.19203433,-0.9025532,2.2212696,-0.35758683,-0.15505832,-1.5208889,-0.31149855,-0.21167572,5.4564004,2.3617148,4.3055744,-0.35364264,0.3493763,-0.17613405,5.456111,5.698673,6.1547127,-0.0915977,1.8388592,-0.37203717,-1.1032472,-0.22185716,-0.1620341,-0.17788857,-0.15936212,0.26698884,-0.41389915,-0.27005997,-0.51458335,-0.0609307,-0.81220263,-1.0484489,-0.56392735,-0.31868705,-0.36456212,-0.53053,-0.42213133,-0.83192563,-1.3263054,-0.35643664,-0.3450658,-0.25866795,-0.18300593,-0.23385246,0.08359636,-0.1218131,-0.1675602,-0.21735577,0.8336617,-0.13821675,-0.24600345
LS_14,-0.41832852,-0.035727374,0.6308765,-0.13966963,0.6753653,1.4966209,0.17092228,-0.67624015,0.23810047,2.3036885,-1.3482311,-0.8403371,-0.9492951,-0.7822754,-0.6469179,-0.42672807,-1.3563232,-1.2122688,-0.75913304,-0.29498973,-0.76023144,-0.33034673,-0.35960454,-0.38640997,-0.41063076,-0.48775566,-0.18659332,-0.2380181,-0.2830789,-0.25692633,-0.3412657,-0.44913104,-0.18161872,2.2084498,-0.26298195,-0.14285709,-0.19203433,-0.83850163,0.2744746,-0.35758683,0.8393735,-0.07816973,6.347757,6.758846,3.240195,4.979831,4.943292,1.1358403,6.8097873,6.671173,2.6615663,1.2723122,-0.060382314,2.1866188,1.1036719,0.3078366,-0.7546199,-0.19127099,-0.12496954,-0.17788857,-0.17032653,6.685227,-0.34302947,-0.10555876,-0.42567375,-0.19182396,-0.5249245,-0.70414186,-0.46930188,-0.26583147,-0.33906057,-0.38092726,-0.28767747,-0.28998604,-1.1350676,-0.27893627,-0.1713413,-0.06190669,-0.27506348,-0.27237073,-0.25126263,-0.10657037,-0.17718579,-0.27211067,-0.2922549,-0.24456201,-0.36556146
LS_15,1.5250478,-0.4458974,-0.44293195,-0.27650166,-0.69234884,-0.6579341,-0.5489749,1.0987828,-0.023852916,-0.039610025,-0.92970645,-0.6766628,-0.90770525,-0.8078812,-0.5374627,-0.42574874,-0.12359394,-1.2962948,-0.92988545,-0.28594652,-0.42224747,-0.30995947,-0.40839764,-0.37089247,-0.41076413,-0.61773974,-0.42720735,-0.17635955,-0.22019185,-0.24948946,-0.4472269,-0.46442068,-0.17385131,-0.32428253,-0.2822274,-0.14285709,-0.19203433,0.65361273,-0.32808617,-0.24906556,0.004045204,1.0625138,-0.21546832,-0.21167572,-0.29405776,-0.40314642,-0.3144576,0.6529558,-0.1644101,-0.17613405,-0.310055,-0.28247336,-0.2277612,0.11747952,2.9695992,-0.008793292,-0.17730622,-0.19883633,-0.09993499,-0.123459466,-0.11089532,-0.24847072,-0.41389915,-0.21328862,-0.22826691,-0.16338506,1.4414688,0.33722842,-0.20319416,-0.28459683,-0.15850021,4.214205,4.5914454,2.4478996,1.4067158,-0.29521504,0.97981477,-0.19068484,-0.24256514,-0.1939804,-0.23662749,-0.18859978,-0.23549494,-0.28104028,0.52407485,-0.0050082854,0.12650365
LS_16,-1.1276354,-0.4458974,-0.83593243,-0.41023427,-1.05922,-1.0306199,-1.0072548,-1.245684,-0.5053224,-0.9356581,-0.9644683,-0.46762994,-0.606654,-0.60756856,-0.85076547,0.43070576,0.6957352,0.8367571,2.2522388,3.8077216,0.15058771,2.1990166,3.7147331,3.7631996,3.8772833,2.889506,3.2341785,-0.30911198,-0.127487,-0.18646143,0.6510368,4.952937,-0.08839357,-0.30984178,0.008242342,-0.14285709,-0.14465055,0.4771823,-0.20210332,0.16437896,-0.33875084,-1.4580345,0.2619852,0.030334305,-0.37252712,-0.5549589,-0.35481822,-0.3998349,-0.1652396,-0.17613405,-0.32591334,-0.3705261,-0.24766614,-0.2810468,-1.6181018,-0.35209122,-1.1084483,0.5758618,-0.047865156,-0.05546138,0.41368443,0.44789594,2.69607,-0.1313233,-0.5183079,-0.2178135,-1.0149268,-0.9440381,-0.561412,-0.19639169,-0.35403138,-0.514429,-0.42522553,-0.60180634,-0.37887603,-0.32331225,-0.39572388,-0.20532577,-0.32521433,-0.3076176,-0.32626596,-0.2901573,-0.22092192,-0.33487576,-0.7904628,-0.38115555,-0.45661068
LS_17,1.2974687,-0.28841645,-0.27847803,0.14558257,-0.106628865,-0.65243584,0.6252076,0.12237826,-0.29441342,0.2708731,0.6837114,-0.54499185,-0.5913988,-0.69347525,-0.34562394,-0.4770195,-0.7907787,-0.592524,-0.79633254,-0.30262643,-0.5447852,-0.30792361,-0.3917678,-0.39539093,-0.4325144,-0.54655975,-0.42720735,-0.082521886,-0.22178036,-0.2298607,-0.31910396,-0.42914918,-0.18161872,-0.30351028,-0.26698056,-0.14285709,-0.1809383,-0.7377457,1.5402672,-0.28417665,-0.40440625,-0.62806475,-0.1707968,-0.21167572,-0.18801966,-0.32949263,-0.36337462,-0.25142267,-0.15980396,-0.17613405,-0.32394472,-0.21346013,-0.24766614,-0.48412585,0.012197994,-0.5031684,0.060694855,-0.22185716,-0.1620341,0.0021831025,-0.18406197,0.04160009,-0.3471607,-0.15453254,2.0310118,-0.2178135,3.537134,1.5470417,-0.20506568,-0.28564093,-0.24938795,-0.30910525,-0.34459028,-0.6626459,-0.7146385,-0.35601678,-0.4224232,-0.5567877,-0.32516947,-0.30560777,-0.29148287,-0.28891063,-0.2361758,-0.33576226,-0.2802758,-0.30137986,-0.2684253
LS_18,-0.9042946,-0.4458974,-0.454729,-0.3988239,-0.019040436,-0.7640806,-0.7169218,-1.1227186,-0.4742689,-0.9300851,-0.79100496,-0.8554137,-0.9374544,-0.84882826,-0.7268253,-0.6798948,0.8359005,0.013526992,1.3893913,0.6041384,2.68858,0.13262518,1.2238588,0.7150595,1.0353794,1.7108507,1.844209,-0.022449499,0.06306419,2.575367,1.3125156,1.3070081,6.8400197,0.9652888,4.8755555,6.8571405,6.7900996,2.4176943,1.0783525,3.0531175,-0.20766173,0.37527603,-0.14431103,0.027941884,-0.30644396,-0.5548006,-0.23900862,-0.36896226,-0.156124,-0.17613405,-0.32587498,-0.33316535,-0.24766614,-0.6424098,-0.74621207,-0.56511045,-1.0005386,-0.22185716,-0.1620341,-0.17788857,-0.18406197,-0.24847072,0.36813247,-0.15111934,-0.47006208,0.14893502,-0.50792545,0.24368314,-0.4968954,-0.12911513,1.3159016,-0.41953322,-0.3199931,-0.25355268,0.6973318,-0.2473301,0.5714331,-0.5567877,-0.24370795,-0.29494503,-0.31695157,-0.29300275,-0.22317989,-0.2822367,-0.41175988,-0.30407664,-0.3759331
