Cell_Type_Sample,ASCL2_(+),ATF3_(+),ATF4_(+),BACH1_(+),BACH2_(+),BATF3_(+),BCL6_(+),BHLHE41_(+),BRCA1_(+),CBFB_(+),CEBPG_(+),CTCF_(+),CUX2_(+),E2F1_(+),E2F2_(+),E2F4_(+),E2F6_(+),EBF1_(+),EGR2_(+),EOMES_(+),ERG_(+),ESRRG_(+),ETS1_(+),ETV4_(+),FOSB_(+),FOXO4_(+),GATA1_(+),GATA2_(+),GATA5_(+),GRHPR_(+),HMX3_(+),HOXA10_(+),HOXA11_(+),HOXA13_(+),HOXA2_(+),HOXA5_(+),HOXA7_(+),HOXA9_(+),HOXB5_(+),HOXB6_(+),HOXB9_(+),HOXC10_(+),IKZF2_(+),IRF4_(+),IRF5_(+),IRF8_(+),JUNB_(+),KLF10_(+),KLF2_(+),KLF9_(+),LBX1_(+),LEF1_(+),LHX6_(+),LHX9_(+),MAFB_(+),MAFF_(+),MAFG_(+),MAF_(+),MAZ_(+),MTF1_(+),MXI1_(+),MYC_(+),MYF6_(+),NFE2L2_(+),NFIB_(+),NR1H3_(+),OLIG2_(+),PAX5_(+),PLAGL2_(+),POLE3_(+),POU2AF1_(+),PPARGC1A_(+),PPARG_(+),RORC_(+),RUNX1_(+),RXRA_(+),SALL2_(+),SHOX2_(+),SMAD3_(+),SOX5_(+),SPIC_(+),SREBF1_(+),STAT1_(+),STAT4_(+),STAT5B_(+),TAL1_(+),TBX19_(+),TBX21_(+),TCF4_(+),TCF7L2_(+),TCF7_(+),TEAD4_(+),TFCP2L1_(+),TP73_(+),UNCX_(+),XBP1_(+),ZNF354B_(+),ZNF467_(+),ZNF831_(+)
AML335-M5a-FLT3/ITD,0.6210459933254361,-0.30956419468883006,-0.16563055495082527,0.15161863940609047,-0.14177145043783368,-0.22356984704019986,-0.24442814693918616,-0.3046332521584622,0.15209236409698446,0.08702328234591332,-0.31218628155099576,-0.09246077708742834,-0.13520221877951907,0.3532192483138389,-0.13009121282982383,0.1745267705954611,-0.18642673879712282,-0.24523181878678518,-0.5202024134744649,-0.01735080283830969,-0.11774388236098128,-0.21612315233135818,-0.27926985215101596,-0.24762677117472545,-0.2444807857444509,-0.4617123412668686,-0.426419910076124,0.012042816757315486,-0.6516673275607567,0.5600188484001302,-0.11975902115680588,1.248551176667317,-0.09174295982645475,-0.28723877231584866,-0.20163555023324686,0.016540019997670016,0.009357673110967914,0.784409318756438,0.1283200537485938,0.6910930855543606,-0.3163778508605114,-0.22007947972392988,-0.3542553503307804,0.011968738949453578,0.9847792686474361,0.8270950364504772,-0.31605851099144355,0.6061853749901821,-0.15770082993974174,-0.3939762280690765,0.1979915959229999,-0.28021910888309254,0.41985331875828197,0.07429278259670054,0.04768750760599041,-0.6679164794543495,0.38651456029293,-0.3168698516620274,0.3029462349940123,0.1940571175136415,-0.3256460411051687,0.22328326370481646,-0.003760349562267254,-0.46567986218121554,-0.06025079596830664,0.09555724481665986,-0.34656412774371315,-0.10524587248647477,-0.12007202910621119,-0.06336585289379545,-0.009284304627320685,0.15366065129708448,-0.2442956932703015,-0.2909786441391977,0.11322078429324205,0.1483353270870422,-0.12240720724800788,-0.0439768315385421,0.29406156056107263,-0.12947341061953177,0.5257889567365622,-0.028464980682932236,0.08393391977302482,-0.32450249155538996,-0.3571297784942255,-0.3615204477058962,-0.10637084681065662,-0.08148321461325232,0.29364162056504295,-0.17185860637883932,-0.31648009831740076,-0.46099016490642336,-0.2940206593193197,-0.11748864420648754,0.3948267574038602,0.30287176906189756,-0.16481306131720652,0.27588728040863814,-0.17493692520045545
AML647-M4-del7q,-0.4762908855858213,0.004138708117317506,-0.2183323455387568,-0.008590120860404416,0.006962514942975079,0.016867713191553207,-0.3407656777679512,-0.197299923617348,0.5508471037927124,0.41682913616536854,-0.2501776655436105,-0.05491860975954231,0.03195743083971121,0.24174485263855255,0.24711657109860205,0.34994454963758437,-0.15337156455919118,-0.0016500864186028206,0.5869938551810825,-0.28993511923974896,-0.1657080692223436,0.5279697324898246,-0.2147060960122539,0.15313279498268104,0.04583477249952822,0.24425499334778705,0.5460716699604753,0.26480622186133695,1.473286961068853,-0.4326369534445386,-0.34778421332308324,0.1483201858909933,-0.4241932876937796,0.12391176214316482,0.023511248060416687,-0.2991549685174567,0.2751064530146561,-0.07225976381576378,-0.33058078728614765,-0.5517071878146822,-0.1298305805154374,-0.046243514506209636,0.3602953105856629,-0.36200467377057854,-0.37237565350902413,-0.15971001089037104,-0.15024801957917544,0.9632536023579918,-0.348948443090727,-0.1557585323278717,-0.36190130848584956,-0.1460875854560884,0.25565864832540247,-0.44663331448338806,-0.3945390416959252,-0.06608965885361524,-0.09928523842941361,1.3138820671320752,-0.47674838704480765,-0.4948239833232892,-0.004813761584451466,0.41730199290876224,-0.234139257521197,-0.4060659975284158,-0.012028823349099523,0.18196961057455,-0.05083033556856581,-0.18381412915275108,-0.07204491347107168,0.7122574470027132,-0.0753318309302723,-0.40314997919721385,-0.5753020834250935,0.05586980526864268,0.1799200211374813,-0.2379176595442965,0.08167557848993148,-0.18208403228721864,0.41925744385839137,0.08141136999674148,-0.13675122237207157,0.109468331785491,-0.040836315585743174,-0.44391362989375377,-0.10516374578131721,0.36961439317447825,-0.14870995548905055,-0.23814779202351316,-0.003727044688698241,-0.10698000904922597,-0.20986294658453064,-0.31228861025793564,-0.4290607460237961,-0.15110718948495258,-0.28258033856357045,0.18988368959289087,-0.12899281918796682,-0.27929367264341065,-0.45613570529952685
AML882-MPAL-t(7;14)(q21;q32),0.9186857248459321,-0.7911590921990606,-0.5094613260898077,-0.008669462981052704,-0.27890192020473376,-0.19394760570115804,0.3209420434232818,0.08655229391835598,0.41674788543582764,0.5934390452221997,-0.16492715243286607,0.11599137012683577,-0.22106244635666006,0.1407782061836748,-0.08844095932401878,-0.32045913932890024,-0.08164758721109097,0.08123776136460024,-0.48900790294139984,-0.09410439857009285,0.08914943706725373,-0.20223487552366493,-0.2700823894363899,-0.16426375279341135,-0.6139999546687092,-0.6952095220162476,-0.3553934471184243,-0.34840336393742094,-0.022423573196312187,-0.5849267813934885,-0.17060641057504616,-0.36946493583098067,-0.23686348783876424,-0.26988333215500204,-0.12609815972216182,-0.5221584544970084,-0.48047083576272165,-0.28546501483939174,-0.12131392108500541,-0.2936823642966923,-0.0943980731698135,-0.14160192567613292,0.18015235410889974,-0.1461321615675444,-0.41962710351351823,-0.3313174850685815,-0.6635620687873816,0.542624749793596,-0.6026543499346962,-0.5214521400605645,0.005569030953021646,-0.17130617816665553,-0.6342004485626249,-0.27732506663160356,-0.1713738262707281,-0.7638510439137101,-0.08169174309150945,0.25312836396567373,-0.4864089266619923,0.20968347016366984,-0.7249662749217771,-0.059671025302161326,0.0038039267477191943,-0.3118577409446115,-0.03286681118190459,-0.5057357255089052,-0.14593691664053743,-0.12686052780816273,-0.08755563355498122,0.5871416625474967,-0.3414681244553476,0.0821835894523191,-0.46982480341947497,-0.32103832938365723,-0.04438638887639484,0.05283197324606895,-0.09492098691873159,-0.4159341706363872,0.2843836476908566,-0.14432597594626514,0.07097611545093932,-0.3205221563810441,-0.5322216268883282,-0.029148255087746083,-0.18142672527189282,-0.27548649916934737,-0.04469002286390457,-0.07981358748720947,0.10416418669941321,-0.12250372638909639,-0.12792750349618848,-0.26383111502894424,0.014334022269609142,0.11345532433727144,-0.07834198458196028,0.15776157383814768,-0.028571097517416936,-0.45572065295044534,-0.23530825183736157
AML948-M2-FLT3/ITD,0.573581403254967,-0.244824738735252,-0.32588729227495256,0.03638550461441738,-0.231942004021465,-0.2665171687393177,-0.24890340783502682,-0.2599387927080205,0.02015408143011247,0.05743742062146404,-0.15975386139404493,-0.2568890879583197,-0.23352869886178446,0.028398951888805826,-0.13944232518608124,0.16731649349655042,-0.2382048299455647,0.17767991221233026,-0.6580621795595994,0.1601593310111793,0.2680032127083795,-0.17925066239968832,-0.0816275595718321,0.128391287429162,-0.31328085401877276,-0.25080206408442685,-0.23160616914846818,0.4771616247522258,-0.006623146487828967,0.2687405640258521,-0.2547454817515765,2.2407364976272635,2.4004246294095717,0.36988424526367925,0.16067089041967147,2.0670734222046003,2.4660709813489152,2.467009806976395,0.31846872159294326,1.9213008683338124,0.11799890623104857,-0.25588906596615557,-0.4416965266746821,0.028611704352906976,0.5600930542977541,0.1388283923000894,-0.4055375850674528,0.3556560937590251,-0.18313962682011775,-0.6113840872577595,-0.2639086725278277,-0.29716877176379974,-0.247177342325554,-0.21546167281178594,-0.0016026326689081297,-0.6924946321640243,0.3782277513827615,0.06111143231072503,-0.20779437702056267,-0.16895064527571577,0.07045547787550817,0.3571693386964287,-0.3531620196843969,-0.19583739830356206,-0.06921138333587849,0.11736317904370126,-0.2833186530892682,-0.4103358842310521,-0.18205459766018486,-0.20471415719047265,0.14044222515106547,-0.09091416426910097,-0.004215540131768327,0.09438638916945631,0.9591493364744554,0.25174827765997826,-0.20614383889692708,-0.1398899399653898,0.2921604943194403,-0.16665072713050133,0.026682753289099574,-0.38110367345950696,0.24954004381100744,0.29132830068493876,-0.1484567932948438,-0.20473126114710266,-0.09710008127753757,-0.08905850661320676,-0.0547662320484835,-0.08969965965065325,-0.3284114457361896,-0.5064177633940146,-0.06271361092699808,-0.031606607723370296,0.41842305302384036,0.5068802919574313,-0.18773665952522564,-0.3229809386908189,-0.140718901493576
AML1355-M3-PML/RARA,-0.0670464370939772,-0.47850918247025603,-0.13632241216787622,-0.4226722376084529,0.03218730236067375,0.25861358564674247,0.0665891796341986,-0.16384222461749556,-0.30538957153905344,-0.02076572021324415,0.4284113972092668,-0.24916190570664773,-0.048557585534327465,-0.4024754173507831,-0.3998701711861033,-0.056672700800908866,0.29147433185156674,-0.5814127946846445,-0.2949702508679856,-0.24284639026999047,-0.45025281006726864,-0.21941641464437445,-0.3489205330800383,0.009922847665853801,-0.6111633848982537,-0.454857316956343,-0.024160563658319877,-0.8095275563936699,-0.24460952302545547,-0.17841466104531825,-0.2560148672268847,-0.006125354054129178,0.21749299224257346,-0.059229707179671624,0.004647131796086498,-0.22742820799660657,-0.25118172320510823,-0.22944117995312785,0.38748385505923577,-0.40213254456970066,0.31527088811367004,-0.24306535567917828,-0.5797682924329851,-0.5196051110807971,-0.6611801167647847,-0.6721429107608037,-0.8654063306639843,-0.6276949372945309,-0.5178325272101835,-0.035257259004489144,-0.04902693585224395,-0.12922726973325538,-0.5424973655932799,0.44297518039684114,-0.1578469037044999,-0.5793222950918513,0.18952287581241495,-0.41022833816038967,-0.415243457186702,-0.2734912339080993,-0.302297816960509,-0.547208372515793,2.139442695317832,-0.1870708119373877,-0.03980037281614304,-0.24191848904524418,0.26867502856371106,-0.48012486471573057,-0.03668821927890832,-0.15182143861580072,-0.08081032690689728,0.1495641231998061,1.5656143468113797,-0.2687826685046421,-0.020628715109878976,-0.030740942474575,-0.15119582528751027,-0.3804311681753259,-0.21746767666783456,-0.07942841426695674,-0.41329847441895734,-0.01245579563806678,-0.9225109320679535,-0.14707200883689545,-0.049076087794681686,-0.11154739707800543,-0.09635284391384405,0.08974241099534612,-0.1925248067424369,-0.4928848181974395,-0.23253589072005218,0.2930875578836225,0.3755358135289064,1.374671063145172,0.00954986373081457,-0.36764836665656325,0.0631184982334348,-0.13531840105761594,-0.36419174763581974
AML3082-M4Eo-CBFB/MYH11,-0.5864940937539138,1.6226097022914416,1.21783425844172,0.02200301220870329,-0.4312797862454903,0.08759574692833974,-0.2513723491431553,0.25312323115024443,0.29481208910894086,-0.6360437410113197,-0.6223084541903637,-0.23147190704136264,0.04634229156318986,0.6617702200776684,0.011467163655644269,-0.16827791699893535,-0.18651388034363706,0.1472575448258141,0.7837351942851009,-0.07493213316762289,0.5957454263252142,-0.2910061441268067,-0.25998972133225495,-0.20032825807964613,0.8433356551620491,0.4152449333456812,-0.5012227442676424,0.019770630738235293,-0.001467347451590813,1.9824158884499532,-0.3452079804909793,-0.5042251195595008,-0.5852862616863084,-0.28831234877945366,-0.20914101786963477,-0.671265905393343,-0.5607370367377363,-0.6345428707346552,-0.4206196845496707,-0.253749472773138,-0.4550818965846705,-0.31058866633557153,0.18186756923504577,-0.11401785251272284,0.20159369833674215,0.37442449602215444,0.8357631813318488,-0.4220779576361335,1.5489120357105772,-0.3130549318470207,-0.4442928065934368,-0.3485672859123701,0.22690634833882856,-0.4074803288934005,-0.11053368719243903,1.501843642722226,0.3153879390711538,-0.27967501504921943,0.09965998315868749,-0.37745847218640516,0.0308769673275093,0.4828871274855594,-0.03740446897254421,0.372159983921898,-0.031077789421267252,2.107700577782952,-0.30299206777337484,-0.3095841786795009,-0.19392304348660164,-0.2340748167111973,-0.09068322514843066,-0.3337840360158581,0.16473138832059703,-0.319592378364593,1.2335676232487987,-0.2102017159253249,0.029730995707497893,-0.34693801245405176,-0.5533340581938968,-0.12146536977340719,-0.3026930551187871,-0.456698505120118,2.4500721619267426e-05,-0.3066072964298864,-0.32196477314598915,-0.2651071651129799,-0.026427889091535872,-0.29944316211793853,0.27938639735167253,0.4333315138955479,-0.1820690951520404,2.191118767407207,0.27341824057556297,-0.14486465919956118,0.11824359165295553,1.1764355066298748,-0.07141663859070722,0.8687356489519499,-0.09648610026040151
AML3121-MPAL-t(2;3)(p15;q26.2),0.5413820711190019,-0.1700607032590023,-0.3461660570985881,-0.650682260912511,-0.029229602645623295,-0.2747053778366827,-0.4318340939036542,-0.550763636021142,0.016154602809954004,0.8583947883509163,-0.3016963051392526,0.0017014861802122111,-0.21581382097312143,-0.08176424052623171,-0.040408538344270176,0.17986137130276078,-0.34755359318768847,0.6627431203384314,-0.458381327656626,0.11906279944490998,0.38010438198678176,-0.034517666763095624,-0.047609047050439016,1.9398038010208158,-0.455857225049133,-0.32743952499026435,-0.10230814682319643,1.834140899266316,0.44149954269588976,-0.21555960918158357,-0.15092408397406679,-0.8269935651488638,-0.6247687770439819,-0.17037550814689645,0.026155557843291752,-0.3198596681309857,-0.2347950636044658,-0.10845257612609123,-0.5987169862224326,-0.12343245560767939,-0.4027323329678513,0.13846143491738896,1.0355173463396945,-0.0006033286437863145,0.25729440925566516,-0.37766751923670366,-0.08465558557846566,0.5126598760352538,-0.40199860706069007,-0.8636117474942352,-0.37130325414246335,-0.29002390144907925,0.6532488739504074,-0.5945448592798226,-0.5535162673232226,-0.6298323079607567,-0.02616009785053995,0.017938996588509757,0.011115246116292658,-0.5439888848846273,-0.011999796756981613,0.5621068424356883,-0.3791911736304156,-0.3195288151143755,-0.05827015086926017,-0.18535115974810426,-0.2562102165510739,0.130138193144933,-0.3455973256926012,-0.26922919181364235,-0.20396506177365614,-0.5138385761581967,-1.1044502975511492,-0.18357544185831864,-0.3426713885611361,-0.4848497318045859,-0.21419720670624057,-0.020403357930317494,-0.05572235082825375,-0.07159836074210572,-0.23737023286644884,-0.6566884125968521,0.5889230242905993,-0.20838220570501714,2.1238625208563815,-0.0025967279044716656,-0.1496820147686457,0.0474831796758375,-0.5037952871275547,-0.6676145229579115,-0.3402858806157349,-0.5184820816748629,-0.8747486031985291,-0.7281013977891571,-0.1646086239085855,0.6581820407887734,-0.15794826149687655,-0.5710419811943998,-0.2762766081299097
AML3210-M5a-MLLr,-0.2706986510688123,-0.15764625334231575,-0.11530636610525474,0.7161585310737963,-0.21620501342733123,0.10812300418801075,1.186864054416039,-0.34596341216803234,-0.3543890341623972,-0.4194033206190618,0.7516652628633385,-0.2570677032526948,0.09596245146352783,-0.3419721522027388,-0.022837236060629717,-0.025663320349221152,-0.05290374600797715,-0.2177306385708865,-0.3435845335131141,-0.03888879520417131,-0.6324631168418385,-0.12647566869450258,0.08216873911390146,-0.5567388509199058,0.02931307792939457,-0.06579638078847859,-0.1443785214663854,-0.2017433162232755,-0.49547943327158817,-0.4990087337439921,0.39780415899716187,0.4924587557967309,0.5647448828122785,-0.26034896971429056,-0.16245982682822704,0.6016102879641086,0.20544711483510644,0.12085601151731638,0.15051881237533454,-0.09156264094229263,0.012072031570023177,0.22916691373490247,-0.6446716618610812,0.13129023203226892,0.7762485462934102,0.8808016226082258,-0.10738097428846591,0.07679845290075633,0.14810281188189947,0.6967797594240279,1.5037420877127319,-0.234485276344237,-0.5536833873011968,2.413841183146755,1.2935342649975976,-0.40203241723551164,0.338097407165261,0.1880960072400658,0.7998433540255093,0.9786951948796612,-0.06174989718743654,-0.6002971715237069,-0.1745555787331164,0.023938854187717563,-0.0807286810761579,-0.536231665055507,0.7055356324718552,-0.13376040563111044,0.6932448204653758,0.09005873673755409,-0.2497705680372202,1.6624705980288905,0.8503696990688182,0.13117464612272622,-0.43880260444072255,1.1326989804995664,0.4848266072988213,0.5403160739584375,0.9039899621749711,0.1917532811095225,1.1425617414660152,0.42756566780414323,-0.24822584686106217,-0.10573464892399795,-0.3485490764580523,-0.253731298540656,0.03050705818718436,0.10352477521666718,-0.4570529920030282,0.826654282650944,-0.2559617672833979,-0.22752573365553963,1.0685677681856605,0.1841240112033645,0.004152562831676479,-0.8789345142306216,-0.018977226043211663,0.6709352727571,0.09043105474051889
AML3371-M5b-FLT3/ITD-Tri(15),-0.2949718316456168,0.43662205658142267,0.5464847769441352,-0.13610372618994535,0.16253509745127154,-0.2375078645996043,-0.43380471318639124,0.6295364165576728,0.04074248919654036,-0.2003211351812844,-0.4196147293336502,-0.7706343810969792,-0.17876496102169737,0.12564927882138727,-0.49104759591493125,0.016281136819198586,0.02639811934949744,-0.0891446682984503,0.43667096068094724,-0.4025092352086981,0.3148632352908379,-0.24517429235339905,-0.5776536903326184,0.1335886947858282,0.548577595319208,-0.25399410041179393,-0.21424724683861715,0.15757401139875704,-0.07787944825771577,-0.13038415247107055,-0.272773075394421,0.5273250958266356,0.032981912078310416,0.11428075491544462,0.12656521130316684,0.22782404876085602,0.3716985929963542,0.3576263973578423,0.42901356365068605,0.43721716240933584,0.46709461401624425,-0.2851582920612101,-0.09678996435331653,-0.4580669911152939,-0.44575518141674014,-0.4745078105380437,0.09729356860808608,-0.17747102163465045,-0.4176212134522963,-0.9308991552561048,-0.40500013544639296,-0.11356995269876091,0.12218531200554396,-0.6111889598894437,-0.4480795531919763,0.4358585378230344,-0.5341411067578875,-0.2846023105208351,-0.4111590850482872,-0.5238045244179138,-0.23575141820591397,0.566429652011341,-0.22936511219828268,-0.18654688611627493,-0.038386461588163466,-0.12361507041563063,-0.14424965083719168,-0.33882162613094846,-0.2593463668913738,0.0019635721945809835,-0.03118791947219102,-0.22088715254273003,-0.3468064556397734,-0.4866168437367013,-0.13630091588859528,-0.270505889624527,-0.19078117521054516,-0.32990394456616257,-0.7311607543331187,-0.25464712259970523,-0.11813645740164853,-0.36495122025983123,-0.3250187310970593,-0.4910149690786124,-0.09742385914732835,-0.24539574232231712,-0.17847125906887062,-0.3768080556287844,-0.2470794813258048,-0.15948947128131072,-0.27161845120875155,-0.15117199852825433,-0.2766165297075205,0.1558179522587454,-0.4785823793455472,0.6810890985227802,-0.17452945224676283,-0.5886846317955374,-0.5307962639909805
AML3492-M3-PML/RARA,-0.2905695932149047,-0.13804695748430157,1.4413010243786573,-0.4953835206646731,-0.13714933243889804,-0.20998725948302183,-0.29013947072761165,1.3495205049285695,0.5899957479776214,-0.18329690923610306,-0.009184188776356074,-0.009656500809883046,-0.06651606225322025,0.280059678337684,0.014091747207909172,0.13394943697696027,0.952728632829149,-0.28049293803712855,0.29918673240700955,-0.4811485087192946,-0.2232868836126851,-0.2179318354846691,-0.5983249050735792,0.41258344669067243,0.3878803354048476,-0.25711821769707266,-0.3059851321640423,-0.2692370231806511,-0.3312958107403804,-0.17558698158386424,-0.37838464253923154,-0.2832653851048277,-0.317239059321677,0.3367593304874198,-0.024130778676686754,-0.2197911531569458,-0.3092020404585551,-0.27703727468667233,0.06551422359385844,-0.35011328615552567,-0.1918798375887915,-0.27236677648017565,-0.5869456515622761,-0.3886454909945886,-1.0958144481528656,-0.8039735465055011,-0.262860593324802,-0.6146370450230566,-0.47838079081718143,-0.4813685082522569,-0.03130833128529057,-0.2740604863054786,-0.48084292879765833,0.044210152355202564,-0.5913511281067207,0.058538591971947204,-0.48941992219640584,-0.7858400900221321,-0.2853528730086377,-0.5842551977906959,-0.4895503773262913,0.43947748662772723,1.910053884022835,-0.17812496593124622,-0.03056384258866362,-0.12826152482804426,-0.07004450944131711,-0.6607278386116406,-0.15271110796165607,0.9160291107109456,0.0476535186668717,-0.7054837693685264,0.8103294563495848,-0.19645150381059656,0.03273684359600585,-0.645357690044002,-0.20198358786080825,-0.3675124789974527,-0.5696999328710397,-0.0648183713370097,-0.5801002234219559,-0.2988121890792494,-1.072544929037399,-0.47580421570242803,-0.3150572171115894,-0.37710524662630585,-0.14050599076854275,-0.18984624635988112,-0.06092284643739237,-0.7938180629891171,-0.2768888677175265,-0.052767709758405994,-0.2339968299842634,0.8805336986458181,0.024981604385513306,0.6793862052895234,-0.09774918961109189,-0.45829743536319706,-0.6810832461806848
