names,logfoldchanges,pvals_adj
PIF1,-2.8349087,2.9692453063990872e-08
CES1,-1.368255,0.041127199669952326
MS4A4A,-1.212369,0.03847794682481642
APOC2,-1.0724738,8.823104938479491e-05
PPP1R27,-1.0469859,0.005032444225145425
TYMP,-1.0081856,2.1425402378171157e-06
MFSD3,-1.0013422,0.0015451180557723716
LGALS3,-0.9975021,0.01101856051318753
ADAP1,-0.9971972,0.02294337309816675
LYZ,-0.9774582,7.749594711762852e-15
S100A6,-0.9142458,6.47933843538548e-28
MCRIP2,-0.904889,5.112747570657571e-17
MS4A6A,-0.87448317,2.1703852019478447e-06
FNDC10,-0.87414587,0.0018369099616811794
S100A4,-0.8411117,3.316566064719148e-36
EEF1AKMT4,-0.8334557,0.005676127226664524
CD4,-0.8123607,0.0334989013220683
ANKLE1,-0.8016845,0.00771553369959509
PTGES2,-0.76325554,1.374527735948975e-06
LGALS1,-0.7627304,4.514304655239878e-23
ODF3B,-0.7587365,0.020725939754230042
GRINA,-0.7333626,7.96587625168954e-10
ISOC2,-0.7332003,4.951899540385658e-18
PTMS,-0.72600454,2.7315245115737175e-06
TSPO,-0.7216144,1.2306567619362703e-33
SAMHD1,-0.6796232,1.834959472854736e-05
CHCHD10,-0.6758835,2.0719775839715016e-16
HCK,-0.6690461,0.030736474874584335
LY86,-0.66863567,2.34083008086872e-05
CARD9,-0.6460769,0.0005561914490834846
HMBS,-0.6333201,0.003238102678088094
KCNE5,-0.6326737,0.00010215780558384008
SRGN,-0.63107157,9.326516466186872e-20
HAGHL,-0.621419,0.0005421350290950363
C16orf74,-0.6120301,0.0016208465391004594
ZNF593,-0.59495705,3.658021753415837e-06
CST3,-0.58872944,8.78245752119398e-15
ENDOG,-0.5872265,0.0002167917567400044
FBXL20,-0.5802232,0.00153178621958277
TSPAN32,-0.5585056,0.005973513318920037
HOMER3,-0.5575444,7.2423154692757814e-06
STAT6,-0.55384994,0.0007556357763088683
RANGRF,-0.55304146,0.00020949717327417827
ISG15,-0.5306822,0.023531187939639615
AZU1,-0.52391255,0.00010032467307071453
IFITM2,-0.5214516,1.3662846362160564e-15
PRTN3,-0.51907724,0.03865064416067441
NOP16,-0.5187592,1.8679453064279488e-05
C20orf27,-0.5162751,8.47600291623216e-15
ELANE,-0.5114751,0.043570899797918825
CFD,-0.50561434,6.778722878315362e-07
CITED4,-0.5023578,2.8135234943370034e-05
