names,scores,logfoldchanges,pvals,pvals_adj
HIST1H4C,39.76579,2.6407213,0.0,0.0
RRM2,38.696594,2.5793402,0.0,0.0
TUBB,37.63634,1.3227893,5.47281961043687e-310,4.988657502233553e-306
HIST1H1B,36.7597,2.8603153,8.136701715070676e-296,5.562656127508068e-292
TUBA1B,35.53285,0.96794367,1.5292934848606726e-276,8.36401192739999e-273
TYMS,34.232742,1.52679,7.879450331225773e-257,3.591190812628333e-253
TK1,31.39798,1.7524596,2.1559673999341013e-216,8.42244064551399e-213
PKMYT1,31.119991,1.9497685,1.292355086570683e-212,4.4175927746702377e-209
PCLAF,30.770628,1.3899232,6.478775091059481e-208,1.9685398182234727e-204
HIST1H1C,29.715258,1.9563032,4.877757598869775e-194,1.3338715929869285e-190
HIST1H3B,29.570675,2.5128958,3.5615357900923784e-192,8.853977974169653e-189
STMN1,28.988272,0.9527223,9.248351731306813e-185,2.107545220369301e-181
HIST1H3D,28.890125,2.4599822,1.588663811037909e-183,3.3418154289725123e-180
CDCA5,28.520935,1.9145542,6.444532528146172e-179,1.2588013322477517e-175
H2AFX,28.384306,1.5029678,3.1591108745574975e-177,5.759269731709955e-174
MYBL2,28.041182,1.8535391,5.11695960561723e-173,8.74552358595055e-170
PCNA,26.924366,1.4666866,1.1389452053421634e-159,1.832093857958047e-156
ATAD2,26.502169,1.579523,9.150301683297667e-155,1.3901341657303221e-151
CENPM,26.071802,1.4774737,7.615919939899955e-150,1.0961312982973904e-146
FAM111A,25.355257,1.4891665,7.86356117214374e-142,1.0751847190672136e-138
CDT1,24.971535,1.3065714,1.2464123020700995e-137,1.6230662291623306e-134
ASF1B,24.846287,1.5429761,2.836253595258738e-136,3.525463218906612e-133
DUT,24.748055,1.0742427,3.2534662165395707e-135,3.8682298764126567e-132
HIST1H1E,24.651085,1.5597233,3.5829038478630527e-134,4.082420359319293e-131
HIST1H1D,24.276611,1.6645417,3.4630398981791823e-130,3.788011562224317e-127
MKI67,23.926022,1.5197349,1.642097144485238e-126,1.7271072505035892e-123
NUSAP1,23.78011,1.4055419,5.365228243512243e-125,5.433982649892066e-122
AURKB,23.640732,1.639468,1.4701080257504302e-123,1.4357705025775451e-120
FOXM1,22.898684,1.5048239,4.7885480767224697e-116,4.5154357140018157e-113
RRM1,22.885607,1.3108156,6.46345163276496e-116,5.89165161165302e-113
KIFC1,22.825546,1.4903634,2.5572630641725105e-115,2.2558359920277897e-112
LIG1,22.40153,1.2920827,3.80291311489315e-111,3.2498269387458772e-108
DHFR,21.858322,1.207417,6.478154540947392e-106,5.368230729598406e-103
SMC1A,21.842365,1.1056579,9.187411960271085e-106,7.389381396046268e-103
FEN1,21.810085,1.2869152,1.8612921677360547e-105,1.4542541605402899e-102
IDH2,21.681784,0.88422614,3.048362354442583e-104,2.315569915127413e-101
CLSPN,21.558268,1.2990441,4.4288325407570154e-103,3.2732663421497657e-100
FANCI,21.523508,1.3685237,9.37921940323649e-103,6.749582468444869e-100
H2AFZ,21.236069,0.6020829,4.434958322934816e-100,3.1097018025378327e-97
TMEM106C,21.065872,1.2734258,1.6358663902517862e-98,1.1183600576956336e-95
MCM7,20.954988,1.0002662,1.6896778522107596e-97,1.1269739157696446e-94
CENPU,20.895607,1.1295227,5.870662427808379e-97,3.8223603512106654e-94
ZWINT,20.62824,1.2186619,1.5312351195771434e-94,9.737943158129434e-92
DNMT1,20.555353,0.982067,6.892693524767763e-94,4.2838090256431647e-91
UBE2C,20.40939,1.1061476,1.3799983423370461e-92,8.38609659323308e-90
TOP2A,20.195253,1.2053027,1.0777213210540676e-90,6.406818966422724e-88
UBE2T,20.004002,1.3270738,5.08262281608307e-89,2.957221351672503e-86
