"pathway","term","NES","padj","size"
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS","ribonucleoprotein complex biogenesis",1.46898772870324,1.65522255968911e-12,408
"GOBP_RIBOSOME_BIOGENESIS","ribosome biogenesis",1.45817308835383,1.53542869327438e-07,265
"GOBP_RRNA_METABOLIC_PROCESS","rrna metabolic process",1.4345978105208,1.81187441472091e-05,231
"GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION","protein rna complex organization",1.46523458014145,2.21230980417449e-05,190
"GOBP_RRNA_PROCESSING","rrna processing",1.44614240449884,6.0903206032637e-05,192
"GOBP_RESPONSE_TO_VIRUS","response to virus",1.33958521481753,0.000208169359801801,392
"GOBP_MRNA_PROCESSING","mrna processing",1.30889116062197,0.000227231427344832,470
"GOBP_RNA_SPLICING","rna splicing",1.3083473219057,0.000910992519045662,434
"GOBP_MITOCHONDRIAL_TRANSLATION","mitochondrial translation",1.45082862677015,0.0015645644156336,129
"GOBP_MITOCHONDRIAL_GENE_EXPRESSION","mitochondrial gene expression",1.4193679741947,0.00204023144210702,167
"GOBP_DEFENSE_RESPONSE_TO_VIRUS","defense response to virus",1.34861506871052,0.00264737015409486,297
"GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS","rna splicing via transesterification reactions",1.34123612528296,0.00575366348551642,297
"GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION","negative regulation of viral genome replication",1.50593766824672,0.0118022678782576,50
"GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION","regulation of viral genome replication",1.43618686012256,0.0202886153223572,80
"GOBP_TRANSLATIONAL_INITIATION","translational initiation",1.42339298523809,0.0205035581689366,114
"GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE","regulation of viral life cycle",1.4158355270183,0.0213777741291419,113
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS","ribosomal small subunit biogenesis",1.4472069091561,0.0249076558721563,79
"GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION","cytoplasmic translational initiation",1.47816464064184,0.040851891143188,45
"GOBP_REGULATION_OF_TRANSLATION","regulation of translation",1.27390938693529,0.0448959853349449,337
"GOBP_RNA_MODIFICATION","rna modification",1.35895292479568,0.0448959853349449,163
"GOBP_POSITIVE_REGULATION_OF_TRANSLATION","positive regulation of translation",1.38817227597045,0.0449030276168385,120
"GOBP_VIRAL_PROCESS","viral process",1.26065932569079,0.0449030276168385,397
