"term","NES","padj","dir"
"ribonucleoprotein complex biogenesis",1.46898772870324,1.65522255968911e-12,"up in LS19"
"ribosome biogenesis",1.45817308835383,1.53542869327438e-07,"up in LS19"
"rrna metabolic process",1.4345978105208,1.81187441472091e-05,"up in LS19"
"protein rna complex organization",1.46523458014145,2.21230980417449e-05,"up in LS19"
"rrna processing",1.44614240449884,6.0903206032637e-05,"up in LS19"
"response to virus",1.33958521481753,0.000208169359801801,"up in LS19"
"mrna processing",1.30889116062197,0.000227231427344832,"up in LS19"
"rna splicing",1.3083473219057,0.000910992519045662,"up in LS19"
"mitochondrial translation",1.45082862677015,0.0015645644156336,"up in LS19"
"mitochondrial gene expression",1.4193679741947,0.00204023144210702,"up in LS19"
"antimicrobial humoral response",-1.47159081262284,0.152145047590529,"up in other leukemic"
"disruption of anatomical structure in another organism",-1.57596320406409,0.152145047590529,"up in other leukemic"
"vitamin d metabolic process",-1.66983121669914,0.216397673174317,"up in other leukemic"
"complement activation alternative pathway",-1.68139558850377,0.235762813182636,"up in other leukemic"
"endocrine hormone secretion",-1.5653186872161,0.235762813182636,"up in other leukemic"
"antimicrobial humoral immune response mediated by antimicrobial peptide",-1.4855871151422,0.259059130848771,"up in other leukemic"
"nervous system process involved in regulation of systemic arterial blood pressure",-1.64612453041023,0.259059130848771,"up in other leukemic"
"regulation of lens fiber cell differentiation",-1.59572370075479,0.292923546647512,"up in other leukemic"
"interneuron migration",-1.63028141096912,0.302978776780233,"up in other leukemic"
"olfactory lobe development",-1.69602739159377,0.302978776780233,"up in other leukemic"
