program,gene,group,mean,pct
pDC,IRF7,normal HSPC,0.1376461,0.11666666666666667
pDC,IRF7,LS19 (poor),0.89518434,0.5894655305964369
pDC,IRF7,normal pDC,3.1437135,0.9533678756476683
pDC,IRF7,other leukemic,0.40443105,0.3104608501118568
pDC,LILRA4,normal HSPC,0.0015088309,0.001851851851851852
pDC,LILRA4,LS19 (poor),0.0018181773,0.001549186676994578
pDC,LILRA4,normal pDC,2.0610266,0.7979274611398963
pDC,LILRA4,other leukemic,0.0035067317,0.002541387024608501
pDC,GZMB,normal HSPC,0.011426142,0.011111111111111112
pDC,GZMB,LS19 (poor),0.002788602,0.001549186676994578
pDC,GZMB,normal pDC,2.0795064,0.6036269430051814
pDC,GZMB,other leukemic,0.0044333,0.0022371364653243847
pDC,TCF4,normal HSPC,0.72062165,0.5092592592592593
pDC,TCF4,LS19 (poor),0.5348889,0.412858249419055
pDC,TCF4,normal pDC,2.3976164,0.9067357512953368
pDC,TCF4,other leukemic,0.27651602,0.23758389261744967
pDC,CLEC4C,normal HSPC,0.0034749997,0.003703703703703704
pDC,CLEC4C,LS19 (poor),0.0,0.0
pDC,CLEC4C,normal pDC,1.103429,0.5803108808290155
pDC,CLEC4C,other leukemic,0.0022609,0.0019507829977628635
pDC,IRF8,normal HSPC,0.14431837,0.09259259259259259
pDC,IRF8,LS19 (poor),0.17854191,0.1463981409759876
pDC,IRF8,normal pDC,2.7890053,0.9404145077720207
pDC,IRF8,other leukemic,0.18555756,0.12866219239373602
pDC,SPIB,normal HSPC,0.019603834,0.020370370370370372
pDC,SPIB,LS19 (poor),0.0028440394,0.003098373353989156
pDC,SPIB,normal pDC,1.7842716,0.7927461139896373
pDC,SPIB,other leukemic,0.024733376,0.020527964205816554
pDC,BST2,normal HSPC,1.6965623,0.8592592592592593
pDC,BST2,LS19 (poor),1.7116026,0.8559256390395042
pDC,BST2,normal pDC,0.94644284,0.5129533678756477
pDC,BST2,other leukemic,0.99460083,0.5850917225950782
progenitor,SPINK2,normal HSPC,2.1581538,0.9259259259259259
progenitor,SPINK2,LS19 (poor),2.2245953,0.8938807126258714
progenitor,SPINK2,normal pDC,0.26954344,0.13730569948186527
progenitor,SPINK2,other leukemic,0.7050633,0.33687695749440716
progenitor,PRSS57,normal HSPC,2.3153315,0.9148148148148149
progenitor,PRSS57,LS19 (poor),3.0110352,0.9845081332300543
progenitor,PRSS57,normal pDC,0.1809517,0.09326424870466321
progenitor,PRSS57,other leukemic,1.9696575,0.7485279642058166
progenitor,FAM30A,normal HSPC,1.5166423,0.7666666666666667
progenitor,FAM30A,LS19 (poor),1.0888675,0.6692486444616577
progenitor,FAM30A,normal pDC,0.37525472,0.22279792746113988
progenitor,FAM30A,other leukemic,0.44409567,0.2883579418344519
progenitor,SPNS3,normal HSPC,0.53283143,0.37407407407407406
progenitor,SPNS3,LS19 (poor),1.320181,0.7637490317583269
progenitor,SPNS3,normal pDC,0.55900085,0.34974093264248707
progenitor,SPNS3,other leukemic,0.48527464,0.3094407158836689
progenitor,CD34,normal HSPC,1.6642314,0.8685185185185185
progenitor,CD34,LS19 (poor),1.3743771,0.7683965917893106
progenitor,CD34,normal pDC,0.04288867,0.031088082901554404
progenitor,CD34,other leukemic,0.85310316,0.41075615212527966
progenitor,HOXA9,normal HSPC,0.50465655,0.3888888888888889
progenitor,HOXA9,LS19 (poor),0.615816,0.4500387296669249
progenitor,HOXA9,normal pDC,0.06496356,0.038860103626943004
progenitor,HOXA9,other leukemic,0.24747607,0.17369127516778524
progenitor,MEIS1,normal HSPC,0.19627796,0.16111111111111112
progenitor,MEIS1,LS19 (poor),0.08796906,0.07900852052672347
progenitor,MEIS1,normal pDC,0.0160441,0.012953367875647668
progenitor,MEIS1,other leukemic,0.07263034,0.06430425055928411
