gene,group,mean,pct,window
CD96,normal HSPC,0.02280868,0.024074074074074067,0.5956005967237489
CD96,LS19 (poor),0.91119665,0.6196746707978229,0.5956005967237489
CD96,normal pDC,0.0750494,0.051813471502590684,0.5956005967237489
CD96,other leukemic,0.42205158,0.3027472035794452,0.5956005967237489
CLEC12A,normal HSPC,0.10348081,0.09444444444444453,0.40981581891728425
CLEC12A,LS19 (poor),0.6858878,0.5042602633617288,0.40981581891728425
CLEC12A,normal pDC,0.18400405,0.13212435233160616,0.40981581891728425
CLEC12A,other leukemic,0.48201597,0.34774049217010794,0.40981581891728425
SUCNR1,normal HSPC,0.07022264,0.062962962962963,0.34912069311759
SUCNR1,LS19 (poor),0.5620613,0.412083656080553,0.34912069311759
SUCNR1,normal pDC,0.033336904,0.023316062176165803,0.34912069311759
SUCNR1,other leukemic,0.2409379,0.18561073825500732,0.34912069311759
IL3RA,normal HSPC,0.14421028,0.12222222222222234,0.2782425337808715
IL3RA,LS19 (poor),0.50371736,0.40046475600309384,0.2782425337808715
IL3RA,normal pDC,1.7862679,0.8031088082901577,0.2782425337808715
IL3RA,other leukemic,0.33391422,0.26195973154359775,0.2782425337808715
CD9,normal HSPC,0.08755419,0.07592592592592598,0.28348538313681226
CD9,LS19 (poor),0.48750263,0.3594113090627382,0.28348538313681226
CD9,normal pDC,0.05659968,0.0310880829015544,0.28348538313681226
CD9,other leukemic,0.37305084,0.254442953020098,0.28348538313681226
UNC93B1,normal HSPC,0.12851933,0.11666666666666678,0.2086625355021913
UNC93B1,LS19 (poor),0.39670765,0.3253292021688581,0.2086625355021913
UNC93B1,normal pDC,1.3219103,0.665803108808292,0.2086625355021913
UNC93B1,other leukemic,0.2934206,0.23681431767333927,0.2086625355021913
AMN,normal HSPC,0.05028072,0.04629629629629631,0.2565696990561408
AMN,LS19 (poor),0.36458257,0.3028659953524371,0.2565696990561408
AMN,normal pDC,0.038233403,0.023316062176165803,0.2565696990561408
AMN,other leukemic,0.19207872,0.16995078299774047,0.2565696990561408
ANPEP,normal HSPC,0.17139006,0.14259259259259274,0.15949880942134706
ANPEP,LS19 (poor),0.40249726,0.3020914020139398,0.15949880942134706
ANPEP,normal pDC,0.032974,0.023316062176165803,0.15949880942134706
ANPEP,other leukemic,0.35001183,0.261995525727043,0.15949880942134706
STAB1,normal HSPC,0.047373913,0.04629629629629631,0.2526967323636544
STAB1,LS19 (poor),0.41013822,0.2989930286599507,0.2526967323636544
STAB1,normal pDC,0.03759286,0.028497409326424868,0.2526967323636544
STAB1,other leukemic,0.38414565,0.21381655480981024,0.2526967323636544
IL1RAP,normal HSPC,0.05836984,0.057407407407407435,0.240811027914046
IL1RAP,LS19 (poor),0.34961256,0.2982184353214534,0.240811027914046
IL1RAP,normal pDC,0.013447171,0.010362694300518135,0.240811027914046
IL1RAP,other leukemic,0.21438916,0.18706040268453716,0.240811027914046
ADRB2,normal HSPC,0.047319353,0.040740740740740744,0.2412112344722699
ADRB2,LS19 (poor),0.33657992,0.28195197521301063,0.2412112344722699
ADRB2,normal pDC,0.16849187,0.10621761658031083,0.2412112344722699
ADRB2,other leukemic,0.21457285,0.16424161073823404,0.2412112344722699
CD68,normal HSPC,0.068846926,0.05555555555555558,0.2085807728720177
CD68,LS19 (poor),0.32305184,0.2641363284275733,0.2085807728720177
CD68,normal pDC,1.4577131,0.7072538860103647,0.2085807728720177
CD68,other leukemic,0.6311497,0.39171364653258145,0.2085807728720177
PLXNB2,normal HSPC,0.103759944,0.09074074074074082,0.16797343431735154
PLXNB2,LS19 (poor),0.3079662,0.25871417505809235,0.16797343431735154
PLXNB2,normal pDC,0.5548319,0.33678756476684,0.16797343431735154
PLXNB2,other leukemic,0.29649156,0.24436689038027254,0.16797343431735154
NRG4,normal HSPC,0.019264042,0.016666666666666663,0.24049832171443114
NRG4,LS19 (poor),0.30254772,0.2571649883810978,0.24049832171443114
NRG4,normal pDC,0.009305145,0.007772020725388601,0.24049832171443114
NRG4,other leukemic,0.08537868,0.076313199105146,0.24049832171443114
