names,scores,logfoldchanges,pvals,pvals_adj
SPINK2,39.665485,3.004223,0.0,0.0
HSH2D,34.238842,1.9568198,6.392665212291819e-257,8.740691144766604e-253
CAT,32.78277,1.7634991,1.0365376202631078e-235,9.448385921238315e-232
LSP1,32.128044,2.1224015,1.7898388578199208e-226,1.2236233351485889e-222
PRSS57,31.536917,1.6312312,2.7102986417036926e-218,1.4823165331205835e-214
SPNS3,30.581806,2.1308959,2.13664758140588e-205,9.738127460187532e-202
GLUL,30.464558,1.5864083,7.684977231877338e-204,3.002191248327395e-200
C1QTNF4,29.176868,2.1405916,3.81226098396229e-187,1.3031261108429097e-183
LAT2,28.562426,1.7960609,1.9690544174376473e-179,5.982862455472211e-176
ZFP36L2,25.759422,1.1884775,2.5279140265520763e-146,6.912833697009308e-143
CTSW,25.667583,1.4322965,2.690871738270168e-145,6.3517456677339264e-142
BST2,25.666214,1.4061735,2.7872796026039318e-145,6.3517456677339264e-142
IFI6,25.260284,1.9897257,8.731490212317872e-141,1.8367025488157271e-137
CD74,24.983538,1.5878762,9.230841710629114e-138,1.682843982792425e-134
MPG,24.663809,1.2507712,2.6166503200249296e-134,4.472182478212608e-131
FAM30A,24.586327,1.8137584,1.7690830124787276e-133,2.8457261211319583e-130
SYTL1,24.385124,1.539944,2.459797666953804e-131,3.736979277806595e-128
ADA,24.282768,1.5420145,2.98140846425137e-130,4.291031361232524e-127
IFITM1,24.131416,1.9791156,1.1702968508495682e-128,1.6001468841666145e-125
XAF1,24.00128,1.777411,2.6964887802455164e-127,3.5113420087901853e-124
MX1,23.669594,2.4100878,7.418478360799228e-124,9.221168602473441e-121
IGFBP7,23.552752,1.2693076,1.1764708485949883e-122,1.3987726880729805e-119
ENO1,23.073164,0.86928475,8.612939229121314e-118,9.813726506647977e-115
CHST12,23.047728,1.5476285,1.5501691909379999e-117,1.695637067815622e-114
ADRM1,23.01405,1.3084582,3.371833753949053e-117,3.546390993672723e-114
PSME1,22.907387,0.97291243,3.9217023942389155e-116,3.971958284179903e-113
HLA-DPA1,22.50634,1.4278423,3.597691415044014e-112,3.5136596227069145e-109
HLA-DRB1,22.463572,1.3549318,9.429421398121715e-112,8.891619225966772e-109
CTSD,22.2304,1.0951841,1.7457228798918755e-109,1.5912845957841076e-106
MGLL,22.16887,1.782014,6.860845102613265e-109,6.0521506508407205e-106
EEF1A1,22.100918,0.47306475,3.097122001461581e-108,2.6466843203740124e-105
HLA-DRA,22.070444,1.4408406,6.079082519371117e-108,5.037533047718866e-105
DNAJC1,21.999073,1.262176,2.9392718727612723e-107,2.364039077427346e-104
PDLIM1,21.726442,1.322223,1.1540639710521023e-104,8.766398153441886e-102
RACK1,21.628685,0.60237306,9.649429850552485e-104,7.131711045762385e-101
GSTP1,21.571943,0.85058886,3.295566999697525e-103,2.3715940835191715e-100
IL2RG,21.32108,1.2224209,7.237024830117644e-101,5.0744533590871045e-98
IFIT3,21.160675,3.43973,2.200532025743004e-99,1.5043937193992047e-96
SMIM24,21.092136,1.2871729,9.392256066097981e-99,6.264405716671107e-96
CD96,20.735758,1.4907534,1.6483969239421873e-95,1.0732633876695965e-92
GNA15,20.69685,1.1575173,3.697567774799082e-95,2.351481124875714e-92
PRDX1,20.676208,1.0729654,5.6729178653697894e-95,3.525718453327324e-92
CD82,20.56387,1.2420841,5.783293844812527e-94,3.514443410672075e-91
UBE2L6,20.446524,1.0992388,6.451240490364777e-93,3.8351222271633736e-90
ZNRF1,20.310575,1.177554,1.0368299217469947e-91,6.032585327679429e-89
MSRB3,20.12492,1.3616515,4.4649640537048095e-90,2.4918144288288107e-87
IRF7,20.09234,1.5330294,8.610458399064611e-90,4.7092319076164175e-87
LY6E,19.951586,1.1456804,1.452094050907136e-88,7.786071356099322e-86
TGFB1,19.90045,1.0326487,4.032972794260148e-88,2.1208783467661156e-85
FLT3,19.875431,1.1801926,6.641476841935662e-88,3.4267514286711817e-85
CTSA,19.866665,1.0603443,7.908518746378334e-88,4.0049324747863314e-85
HLA-DPB1,19.534716,1.2612524,5.565534757491904e-85,2.767183881424975e-82
SYNGR1,19.486374,1.1201628,1.4327948632731265e-84,6.996644344833378e-82
ISG15,19.32504,1.653238,3.307191041070736e-83,1.58663940717755e-80
RAC2,19.303581,0.8546016,5.011316112744325e-83,2.3627491451570054e-80
SPINT2,19.222822,1.2096759,2.3843825129622553e-82,1.1051410881265396e-79
