"LS","HR","p","dir"
"LS_20",1.29145134511218,0.000548586292618593,"poor"
"LS_34",1.25901802921477,0.00124308556433532,"poor"
"LS_45",0.759532798928858,0.00343609089953378,"favorable"
"LS_25",1.20499929299644,0.00401584714940967,"poor"
"LS_36",1.22400875198322,0.010877288734843,"poor"
"LS_49",0.831228444443384,0.0548877416963755,"favorable"
"LS_15",0.836108441574429,0.0604288077767997,"favorable"
"LS_43",1.16402463890795,0.0710304627215746,"poor"
"LS_10",1.13240573827248,0.0770861138674479,"poor"
"LS_44",1.15035618194214,0.0832060800089884,"poor"
"LS_39",0.855894243771896,0.0841038757261132,"favorable"
"LS_16",1.11426642018073,0.123033714665516,"poor"
"LS_24",1.13282081758803,0.127194013987517,"poor"
"LS_33",0.870154745814236,0.133418192887155,"favorable"
"LS_9",1.12024202279277,0.135804049152956,"poor"
"LS_30",0.86862701264691,0.144843310157852,"favorable"
"LS_3",0.879138863172208,0.154122084504229,"favorable"
"LS_2",1.11408099148552,0.163954918561587,"poor"
"LS_7",0.871971953946183,0.174262087306968,"favorable"
"LS_22",0.882986499264193,0.177983585965369,"favorable"
"LS_47",0.865493428166088,0.202834696821698,"favorable"
"LS_38",1.10765427459873,0.20813493089481,"poor"
"LS_27",1.09941796744635,0.213146234007206,"poor"
"LS_17",0.889247474948546,0.213563306736247,"favorable"
"LS_26",1.10963596417371,0.227802235313205,"poor"
"LS_29",0.899570349593836,0.241109191529675,"favorable"
"LS_46",0.905785333988943,0.281005504755604,"favorable"
"LS_12",1.07944797643192,0.285767342442743,"poor"
"LS_23",1.07135980948318,0.388374924720859,"poor"
"LS_48",1.06672564425293,0.422899183455518,"poor"
"LS_6",0.933974476441261,0.462079921866676,"favorable"
"LS_5",1.05987433341198,0.500156682938705,"poor"
"LS_35",1.04883473166515,0.581988642143676,"poor"
"LS_31",1.04444130667504,0.587342045371825,"poor"
"LS_28",0.954769617516122,0.591641135201948,"favorable"
"LS_4",1.04276471028437,0.595681772571561,"poor"
"LS_32",1.04011732477976,0.621777934665218,"poor"
"LS_11",0.961269353987041,0.662044444434584,"favorable"
"LS_1",1.0355631845818,0.684419495969635,"poor"
"LS_14",0.967508396349158,0.707322861899666,"favorable"
"LS_21",0.970892007016957,0.740163060611247,"favorable"
"LS_13",1.01921110136507,0.82063460920388,"poor"
"LS_18",0.982314064181702,0.839088614428553,"favorable"
"LS_40",1.01155676222482,0.892865721181555,"poor"
"LS_19",0.98953982682386,0.904232779490987,"favorable"
"LS_37",0.989487773657688,0.904794689840376,"favorable"
"LS_8",0.991441520638045,0.919961870541489,"favorable"
"LS_41",1.00798039646346,0.927447624749353,"poor"
"LS_42",0.997748986206931,0.98032815666369,"favorable"
