LS,lineage_program,prognosis,top_regulon,z,2nd_regulon
LS_1,Erythroid,ns,MXD4,3.71,HOXB8
LS_2,unresolved,ns,TEAD4,3.37,ETV3
LS_3,Cell-cycle,ns,E2F1,2.44,BRCA1
LS_4,GMP,ns,RFXANK,2.31,HES5
LS_5,HSC/MPP,ns,EGR2,2.32,NR5A2
LS_6,unresolved,ns,UNCX,3.12,HOXA7
LS_7,Monocyte,ns,KLF5,3.93,SMAD6
LS_8,B/plasma,ns,IKZF2,3.05,DLX1
LS_9,unresolved,ns,HOXB8,2.18,POLR3G
LS_10,Cell-cycle,poor,E2F7,4.52,E2F2
LS_11,Macrophage,favorable,ELK4,5.31,SIN3A
LS_12,GMP,ns,MYF6,2.96,ALX3
LS_13,Erythroid,ns,ESRRG,5.94,GATA1
LS_14,Megakaryocyte,ns,NFIB,6.36,HOXA2
LS_15,T/NK,ns,CBFB,2.95,IRF6
LS_16,Monocyte,ns,BCL6,3.43,TBX19
LS_17,unresolved,favorable,LHX6,2.4,TEF
LS_18,cDC,ns,SOX5,4.37,BATF3
LS_19,pDC,poor,ASCL2,1.79,HOXA9
LS_20,Cell-cycle,poor,HMGB3,1.78,E2F4
LS_21,Macrophage,poor,SHOX2,4.6,PITX1
LS_22,GMP,ns,HOXB5,1.77,ZNF239
LS_23,T/NK,poor,ASCL2,3.1,VEZF1
LS_24,unresolved,ns,NEUROD2,3.95,POU3F3
LS_25,unresolved,ns,ETV4,2.97,SOX4
LS_26,GMP,ns,NF1,3.07,MYF6
LS_27,GMP,poor,ALX3,3.18,TEAD4
LS_28,unresolved,favorable,LHX6,4.14,HOXA1
LS_29,Monocyte,ns,HES6,2.56,FOXJ3
LS_30,T/NK,ns,ATF1,2.4,TP53
LS_31,unresolved,ns,TEAD4,2.45,TRIM28
LS_32,GMP,ns,E2F6,3.28,TBX6
LS_33,GMP,favorable,MYF6,3.99,TBX6
LS_34,unresolved,ns,SOX13,5.08,MAF
LS_35,Neutrophil,ns,PPARD,5.64,FOXN2
LS_36,unresolved,ns,SOX8,5.2,KLF8
LS_37,B/plasma,ns,YY2,3.18,RBBP5
LS_38,HSC/MPP,poor,HNF1A,4.46,HOXA7
LS_39,Cell-cycle,ns,CTCF,4.35,HMGB3
LS_40,B/plasma,ns,CUX2,5.01,TCF4
LS_41,unresolved,poor,FOXL2,2.43,ZFHX2
LS_42,unresolved,ns,POLE3,3.15,TBP
LS_43,unresolved,ns,DEAF1,2.97,HOXB9
LS_44,Macrophage,ns,SALL2,4.97,ZNF467
LS_45,GMP,favorable,GRHPR,1.57,EGR2
LS_46,GMP,favorable,HOXA13,2.19,HOXA9
LS_47,Macrophage,ns,SMAD6,2.03,ZNF239
LS_48,unresolved,ns,FOXL2,4.55,LBX1
LS_49,GMP,ns,RBAK,6.52,HSF2
