LS,program,max_corr_to_normal,closest_normal,stem_z
LS_16,Monocyte,0.981,Monocyte,-1.33
LS_7,Monocyte,0.973,Monocyte,-0.97
LS_29,Monocyte,0.971,MyeloidPro,-0.76
LS_3,Cell-cycle,0.97,MyeloidPro,0.09
LS_18,cDC,0.968,DC,-0.92
LS_10,Cell-cycle,0.967,MyeloidPro,0.24
LS_26,GMP,0.965,MyeloidPro,-0.7
LS_27,GMP,0.965,MyeloidPro,-0.05
LS_20,Cell-cycle,0.961,MyeloidPro,-0.04
LS_39,Cell-cycle,0.961,MyeloidPro,0.74
LS_40,B/plasma,0.958,DC,-0.23
LS_9,unresolved,0.958,MyeloidPro,-0.08
LS_24,unresolved,0.958,HSPC,0.65
LS_32,GMP,0.957,MyeloidPro,-0.01
LS_31,unresolved,0.957,HSPC,0.07
LS_12,GMP,0.956,MyeloidPro,-0.4
LS_35,Neutrophil,0.956,Monocyte,-1.65
LS_4,GMP,0.956,MyeloidPro,0.12
LS_19,pDC,0.956,HSPC,0.2
LS_25,unresolved,0.956,HSPC,0.82
LS_1,Erythroid,0.955,HSPC,0.96
LS_17,unresolved,0.955,HSPC,0.26
LS_5,HSC/MPP,0.955,HSPC,0.73
LS_21,Macrophage,0.953,MyeloidPro,-0.01
LS_15,T/NK,0.952,HSPC,0.03
LS_44,Macrophage,0.952,MyeloidPro,-1.31
LS_43,unresolved,0.952,HSPC,0.63
LS_36,unresolved,0.95,HSPC,0.41
LS_14,Megakaryocyte,0.95,HSPC,0.68
LS_41,unresolved,0.95,MyeloidPro,-0.07
LS_6,unresolved,0.95,HSPC,0.76
LS_37,B/plasma,0.949,HSPC,0.37
LS_2,unresolved,0.949,HSPC,0.25
LS_22,GMP,0.948,MyeloidPro,-0.17
LS_30,T/NK,0.947,MyeloidPro,0.3
LS_8,B/plasma,0.946,HSPC,0.25
LS_33,GMP,0.945,HSPC,-0.03
LS_28,unresolved,0.944,HSPC,0.08
LS_47,Macrophage,0.944,MyeloidPro,0.79
LS_42,unresolved,0.942,Erythroid,0.26
LS_13,Erythroid,0.941,Erythroid,-0.31
LS_45,GMP,0.941,MyeloidPro,-0.61
LS_46,GMP,0.94,HSPC,0.42
LS_38,HSC/MPP,0.939,HSPC,0.63
LS_23,T/NK,0.938,HSPC,-0.2
LS_48,unresolved,0.928,MyeloidPro,-0.11
LS_34,unresolved,0.916,HSPC,-0.27
LS_11,Macrophage,0.914,HSPC,0.63
LS_49,GMP,0.827,MyeloidPro,-1.15
