LS,current_program,nearest_normal,r,2nd_normal,r2,margin
LS_1,Erythroid,HSPC,0.917,MyeloidPro,0.821,0.095
LS_10,proliferative,HSPC,0.957,MyeloidPro,0.931,0.027
LS_11,Macrophage,HSPC,0.736,T_NK,0.628,0.108
LS_12,GMP,MyeloidPro,0.932,HSPC,0.921,0.011
LS_13,Erythroid,HSPC,0.929,Erythroid,0.907,0.021
LS_14,Megakaryocyte,HSPC,0.954,MyeloidPro,0.843,0.111
LS_15,T/NK,HSPC,0.963,MyeloidPro,0.832,0.131
LS_16,Monocyte,Monocyte,0.993,Macrophage,0.97,0.022
LS_17,unresolved,HSPC,0.956,MyeloidPro,0.829,0.127
LS_18,cDC,DC,0.937,Monocyte,0.921,0.016
LS_19,pDC,HSPC,0.972,MyeloidPro,0.871,0.102
LS_2,unresolved,HSPC,0.942,MyeloidPro,0.83,0.112
LS_20,proliferative,HSPC,0.961,MyeloidPro,0.943,0.018
LS_21,Macrophage,MyeloidPro,0.871,DC,0.847,0.025
LS_22,GMP,HSPC,0.945,MyeloidPro,0.898,0.047
LS_23,T/NK,HSPC,0.962,MyeloidPro,0.831,0.131
LS_24,unresolved,HSPC,0.965,MyeloidPro,0.83,0.134
LS_25,unresolved,HSPC,0.965,MyeloidPro,0.827,0.137
LS_26,GMP,MyeloidPro,0.936,HSPC,0.873,0.063
LS_27,GMP,HSPC,0.959,MyeloidPro,0.941,0.018
LS_28,unresolved,HSPC,0.941,MyeloidPro,0.815,0.127
LS_29,Monocyte,MyeloidPro,0.932,Monocyte,0.931,0.001
LS_3,proliferative,HSPC,0.956,MyeloidPro,0.949,0.007
LS_30,T/NK,HSPC,0.96,MyeloidPro,0.921,0.038
LS_31,unresolved,HSPC,0.966,MyeloidPro,0.901,0.064
LS_32,GMP,HSPC,0.929,MyeloidPro,0.908,0.021
LS_33,GMP,HSPC,0.937,MyeloidPro,0.867,0.07
LS_34,unresolved,HSPC,0.871,MyeloidPro,0.789,0.082
LS_35,Neutrophil,Monocyte,0.971,Macrophage,0.949,0.022
LS_36,unresolved,HSPC,0.923,MyeloidPro,0.852,0.071
LS_37,B/plasma,HSPC,0.961,MyeloidPro,0.84,0.12
LS_38,HSC/MPP,HSPC,0.92,MyeloidPro,0.855,0.064
LS_39,proliferative,HSPC,0.954,MyeloidPro,0.932,0.022
LS_4,GMP,MyeloidPro,0.907,HSPC,0.888,0.018
LS_40,B/plasma,HSPC,0.918,DC,0.896,0.022
LS_41,unresolved,MyeloidPro,0.94,HSPC,0.887,0.053
LS_42,unresolved,HSPC,0.941,Erythroid,0.933,0.008
LS_43,unresolved,HSPC,0.975,MyeloidPro,0.886,0.089
LS_44,Macrophage,MyeloidPro,0.914,DC,0.905,0.009
LS_45,GMP,HSPC,0.957,MyeloidPro,0.881,0.076
LS_46,GMP,HSPC,0.966,MyeloidPro,0.919,0.048
LS_47,Macrophage,HSPC,0.94,MyeloidPro,0.891,0.049
LS_48,unresolved,DC,0.858,MyeloidPro,0.848,0.009
LS_49,GMP,MyeloidPro,0.905,HSPC,0.861,0.044
LS_5,HSC/MPP,HSPC,0.94,MyeloidPro,0.803,0.137
LS_6,unresolved,HSPC,0.91,DC,0.826,0.083
LS_7,Monocyte,Monocyte,0.965,Macrophage,0.942,0.023
LS_8,B/plasma,HSPC,0.887,MyeloidPro,0.78,0.106
LS_9,unresolved,MyeloidPro,0.915,HSPC,0.87,0.045
