LS,current_program,best_normal_sig,score,2nd,score2,margin
LS_1,Erythroid,T_NK,0.49,Monocyte,0.39,0.11
LS_10,proliferative,MyeloidPro,0.3,B,0.13,0.16
LS_11,Macrophage,Macrophage,1.21,Monocyte,1.08,0.13
LS_12,GMP,MyeloidPro,0.81,DC,0.03,0.79
LS_13,Erythroid,Erythroid,1.73,HSPC,0.41,1.32
LS_14,Megakaryocyte,HSPC,0.72,Erythroid,0.5,0.23
LS_15,T/NK,HSPC,0.71,B,0.04,0.67
LS_16,Monocyte,Monocyte,1.65,Macrophage,0.92,0.73
LS_17,unresolved,HSPC,0.76,Erythroid,-0.21,0.97
LS_18,cDC,DC,1.07,Macrophage,0.52,0.55
LS_19,pDC,HSPC,0.78,Erythroid,-0.18,0.96
LS_2,unresolved,HSPC,0.49,DC,0.07,0.42
LS_20,proliferative,Erythroid,0.02,MyeloidPro,-0.04,0.07
LS_21,Macrophage,MyeloidPro,1.12,Monocyte,0.56,0.56
LS_22,GMP,MyeloidPro,0.44,HSPC,-0.0,0.45
LS_23,T/NK,HSPC,0.27,T_NK,-0.17,0.44
LS_24,unresolved,HSPC,1.31,DC,-0.08,1.4
LS_25,unresolved,HSPC,0.65,B,-0.07,0.72
LS_26,GMP,MyeloidPro,0.89,Macrophage,0.01,0.88
LS_27,GMP,MyeloidPro,0.37,HSPC,-0.07,0.44
LS_28,unresolved,HSPC,0.9,Erythroid,-0.38,1.28
LS_29,Monocyte,MyeloidPro,0.41,Monocyte,0.39,0.03
LS_3,proliferative,MyeloidPro,0.24,Erythroid,0.07,0.17
LS_30,T/NK,Monocyte,0.31,MyeloidPro,0.05,0.26
LS_31,unresolved,HSPC,-0.04,DC,-0.14,0.1
LS_32,GMP,MyeloidPro,0.8,HSPC,0.07,0.73
LS_33,GMP,MyeloidPro,1.08,HSPC,0.36,0.72
LS_34,unresolved,Macrophage,1.26,DC,0.41,0.84
LS_35,Neutrophil,Monocyte,2.73,Macrophage,1.61,1.12
LS_36,unresolved,HSPC,0.38,Erythroid,0.05,0.33
LS_37,B/plasma,HSPC,0.72,T_NK,0.04,0.68
LS_38,HSC/MPP,HSPC,1.14,Monocyte,-0.04,1.19
LS_39,proliferative,B,0.42,Erythroid,0.22,0.2
LS_4,GMP,MyeloidPro,0.67,Erythroid,0.18,0.48
LS_40,B/plasma,DC,1.7,B,0.72,0.98
LS_41,unresolved,MyeloidPro,0.61,Monocyte,0.35,0.26
LS_42,unresolved,Erythroid,0.66,MyeloidPro,0.04,0.62
LS_43,unresolved,HSPC,0.47,Erythroid,-0.19,0.66
LS_44,Macrophage,MyeloidPro,0.5,Erythroid,0.26,0.23
LS_45,GMP,MyeloidPro,0.09,HSPC,-0.02,0.11
LS_46,GMP,HSPC,0.55,MyeloidPro,-0.22,0.77
LS_47,Macrophage,HSPC,0.38,MyeloidPro,0.22,0.16
LS_48,unresolved,Monocyte,1.3,MyeloidPro,0.53,0.77
LS_49,GMP,MyeloidPro,1.29,T_NK,0.48,0.81
LS_5,HSC/MPP,HSPC,0.88,MyeloidPro,0.21,0.66
LS_6,unresolved,HSPC,1.61,DC,0.17,1.44
LS_7,Monocyte,Monocyte,1.27,Macrophage,0.6,0.67
LS_8,B/plasma,HSPC,0.8,Macrophage,0.33,0.47
LS_9,unresolved,Monocyte,0.56,MyeloidPro,0.29,0.27
