gene,module,group,pct,mean_expr,n
HLF,HSC quiescence,LS10 (proliferative),0.1,0.006,1583
HLF,HSC quiescence,LS5/LS38 (leuk. HSC/MPP),0.0,0.002,2655
HLF,HSC quiescence,normal HSPC,18.3,1.04,540
HLF,HSC quiescence,other leukemic,0.1,0.005,52928
AVP,HSC quiescence,LS10 (proliferative),0.8,0.04,1583
AVP,HSC quiescence,LS5/LS38 (leuk. HSC/MPP),0.2,0.008,2655
AVP,HSC quiescence,normal HSPC,41.3,2.633,540
AVP,HSC quiescence,other leukemic,0.3,0.018,52928
CRHBP,HSC quiescence,LS10 (proliferative),4.2,0.242,1583
CRHBP,HSC quiescence,LS5/LS38 (leuk. HSC/MPP),25.2,1.853,2655
CRHBP,HSC quiescence,normal HSPC,48.7,3.012,540
CRHBP,HSC quiescence,other leukemic,3.1,0.191,52928
HOXA9,leukemic stemness,LS10 (proliferative),24.4,1.254,1583
HOXA9,leukemic stemness,LS5/LS38 (leuk. HSC/MPP),35.7,2.022,2655
HOXA9,leukemic stemness,normal HSPC,38.9,2.158,540
HOXA9,leukemic stemness,other leukemic,16.9,0.968,52928
MEIS1,leukemic stemness,LS10 (proliferative),8.5,0.395,1583
MEIS1,leukemic stemness,LS5/LS38 (leuk. HSC/MPP),15.3,0.825,2655
MEIS1,leukemic stemness,normal HSPC,16.1,0.877,540
MEIS1,leukemic stemness,other leukemic,6.0,0.315,52928
MKI67,proliferation,LS10 (proliferative),86.7,5.29,1583
MKI67,proliferation,LS5/LS38 (leuk. HSC/MPP),1.5,0.087,2655
MKI67,proliferation,normal HSPC,15.4,0.898,540
MKI67,proliferation,other leukemic,7.2,0.423,52928
TOP2A,proliferation,LS10 (proliferative),77.6,4.427,1583
TOP2A,proliferation,LS5/LS38 (leuk. HSC/MPP),1.2,0.065,2655
TOP2A,proliferation,normal HSPC,10.6,0.587,540
TOP2A,proliferation,other leukemic,5.8,0.332,52928
CDK1,proliferation,LS10 (proliferative),57.2,2.895,1583
CDK1,proliferation,LS5/LS38 (leuk. HSC/MPP),0.9,0.046,2655
CDK1,proliferation,normal HSPC,9.3,0.496,540
CDK1,proliferation,other leukemic,3.7,0.193,52928
MPO,differentiation,LS10 (proliferative),70.2,5.702,1583
MPO,differentiation,LS5/LS38 (leuk. HSC/MPP),49.0,3.542,2655
MPO,differentiation,normal HSPC,30.4,2.238,540
MPO,differentiation,other leukemic,51.3,4.288,52928
LYZ,differentiation,LS10 (proliferative),47.6,3.05,1583
LYZ,differentiation,LS5/LS38 (leuk. HSC/MPP),31.9,1.799,2655
LYZ,differentiation,normal HSPC,23.1,1.333,540
LYZ,differentiation,other leukemic,49.1,3.651,52928
CD14,differentiation,LS10 (proliferative),1.2,0.064,1583
CD14,differentiation,LS5/LS38 (leuk. HSC/MPP),0.1,0.007,2655
CD14,differentiation,normal HSPC,0.7,0.043,540
CD14,differentiation,other leukemic,5.5,0.362,52928
