LS,gene,log2FC,padj
LS_1,IGHV3-23,5.797301,4.526427841771562e-07
LS_1,IGLV1-40,5.6321855,1.8269709049778063e-10
LS_10,RRM2,5.5627036,0.0
LS_10,TK1,5.0490227,0.0
LS_10,MYBL2,5.0201015,0.0
LS_10,PKMYT1,4.964108,0.0
LS_10,ESCO2,4.926038,6.552054658189297e-181
LS_10,MKI67,4.9228287,0.0
LS_10,SPC25,4.905793,1.7917394001273615e-206
LS_10,CDCA5,4.789449,0.0
LS_10,AURKB,4.7457767,0.0
LS_10,E2F8,4.733816,1.9793303048368556e-130
LS_10,FOXM1,4.6071057,0.0
LS_10,TOP2A,4.5913115,0.0
LS_10,SPC24,4.5888414,6.837287113974608e-163
LS_10,KIFC1,4.5869966,0.0
LS_10,HIST1H3B,4.5627346,0.0
LS_10,UBE2C,4.5443716,0.0
LS_10,TYMS,4.482283,0.0
LS_10,ASF1B,4.473032,0.0
LS_10,CDCA3,4.461756,1.2064940360138783e-255
LS_10,KIF18B,4.4412627,3.4335848830086175e-60
LS_10,HIST1H1B,4.4388547,0.0
LS_10,CENPM,4.421378,0.0
LS_10,IQGAP3,4.4005575,2.356230063747491e-86
LS_10,E2F2,4.387391,3.464887209447889e-87
LS_10,APOBEC3B,4.323741,2.4898128841229287e-109
LS_10,CKAP2L,4.3152204,2.3112447811220157e-203
LS_10,BIRC5,4.3020077,0.0
LS_10,CCNA2,4.3001122,0.0
LS_10,FAM111B,4.286743,5.831927678680459e-80
LS_10,PCLAF,4.277239,0.0
LS_10,HJURP,4.275044,2.519070977468895e-140
LS_10,SKA3,4.256685,3.0804185696764426e-281
LS_10,NCAPH,4.248347,1.5678473714051972e-307
LS_10,KIF15,4.247434,1.2550448547077257e-234
LS_10,CDK1,4.2372885,3.6145384849825524e-286
LS_10,NUSAP1,4.202688,0.0
LS_10,TICRR,4.189249,1.7180591886756424e-106
LS_10,GTSE1,4.1612687,1.1133401697873714e-164
LS_10,E2F7,4.1559353,5.335168597497134e-28
LS_10,ESPL1,4.1478505,2.9877527194367037e-43
LS_10,MELK,4.1453176,1.8166121103297452e-86
LS_10,DIAPH3,4.135216,5.942240556920567e-239
LS_10,HIST1H3G,4.102695,2.9373879579431207e-89
LS_10,HIST1H1A,4.1007943,1.822937958640491e-22
LS_10,NCAPG,4.0784144,1.63107068786748e-274
LS_10,SKA1,4.0612674,4.4789088159051134e-44
LS_10,KIF4A,4.037145,8.030559305476347e-135
LS_10,AC008543.1,4.034227,0.0004541306099958945
LS_10,RAD54L,4.0218167,4.6696578299147586e-169
LS_10,KIF11,3.9646509,0.0
LS_10,CLSPN,3.9346168,0.0
LS_10,MCM10,3.928995,7.320042052859008e-199
LS_10,EXO1,3.912656,9.759889162906889e-95
LS_10,CDC45,3.9095523,0.0
LS_10,CDCA2,3.9071493,2.1489812960463628e-124
LS_10,AL133215.2,3.9004312,0.00017640464887968066
LS_10,RDM1,3.8808386,5.862394899225469e-06
LS_10,FBXO43,3.8783946,3.643425637683766e-20
LS_10,ANLN,3.8722863,1.537263072557437e-240
LS_10,NDC80,3.857151,1.4226406070036873e-189
LS_10,KIF2C,3.8553352,8.983113374658619e-152
LS_10,ZWINT,3.854018,0.0
LS_10,RAD51AP1,3.8500936,0.0
LS_10,MND1,3.8471768,2.268256895024907e-231
LS_10,KIF20A,3.8418639,7.355781995201344e-102
LS_10,RAD51,3.836147,3.852472434678501e-258
LS_10,CDC25C,3.8245764,1.4002628955515667e-30
LS_10,HIST1H4C,3.809361,0.0
LS_10,SHCBP1,3.791946,2.4907662927679814e-163
LS_10,CDCA8,3.7903812,6.35698057353928e-226
LS_10,POLQ,3.7671602,4.626927642794487e-178
LS_10,TP73,3.6968794,0.0002861665856167238
LS_10,CIT,3.660135,4.352375944346382e-150
LS_10,CDC6,3.635906,1.8116253835712083e-200
LS_10,NUF2,3.6156447,1.455150151601869e-140
LS_10,DLGAP5,3.5985231,8.602141361353999e-85
LS_10,RECQL4,3.5984035,4.321960806907971e-202
