LS,current,prolif_z,top_lineage,z1,2nd,z2,margin
LS_1,Erythroid,-0.32,Erythroid,-0.25,T/NK,-0.4,0.15
LS_10,proliferative,3.16,B/plasma,0.42,HSC/MPP,0.35,0.07
LS_11,Macrophage,-0.47,Neutrophil,0.36,GMP,-0.01,0.37
LS_12,GMP,-0.47,GMP,2.22,HSC/MPP,0.19,2.02
LS_13,Erythroid,0.13,Erythroid,2.42,Megakaryocyte,2.02,0.4
LS_14,Megakaryocyte,-0.37,Megakaryocyte,5.51,cDC,1.26,4.25
LS_15,T/NK,0.01,T/NK,1.2,B/plasma,0.62,0.59
LS_16,Monocyte,-0.6,Monocyte,2.93,Neutrophil,2.03,0.9
LS_17,unresolved,-0.35,HSC/MPP,0.89,B/plasma,0.86,0.03
LS_18,cDC,-0.48,cDC,3.38,Monocyte,1.03,2.35
LS_19,pDC,-0.3,pDC,1.08,HSC/MPP,0.97,0.11
LS_2,unresolved,-0.3,B/plasma,1.08,HSC/MPP,0.5,0.59
LS_20,proliferative,1.38,GMP,0.24,HSC/MPP,0.13,0.11
LS_21,Macrophage,-0.44,cDC,0.62,T/NK,0.5,0.11
LS_22,GMP,-0.49,GMP,2.2,HSC/MPP,0.76,1.44
LS_23,T/NK,-0.16,Megakaryocyte,1.09,T/NK,1.0,0.1
LS_24,unresolved,-0.46,B/plasma,0.98,HSC/MPP,0.93,0.05
LS_25,unresolved,-0.39,HSC/MPP,1.57,B/plasma,1.1,0.48
LS_26,GMP,-0.48,GMP,2.34,Monocyte,0.85,1.49
LS_27,GMP,-0.09,GMP,1.89,Neutrophil,0.73,1.16
LS_28,unresolved,-0.22,B/plasma,1.23,Neutrophil,1.16,0.07
LS_29,Monocyte,-0.41,Monocyte,1.76,GMP,0.76,1.0
LS_3,proliferative,1.15,GMP,0.43,HSC/MPP,0.22,0.21
LS_30,T/NK,-0.3,GMP,-0.01,T/NK,-0.08,0.07
LS_31,unresolved,0.44,B/plasma,0.52,HSC/MPP,0.48,0.04
LS_32,GMP,-0.48,GMP,0.92,Megakaryocyte,0.63,0.29
LS_33,GMP,-0.42,GMP,1.73,Megakaryocyte,0.79,0.94
LS_34,unresolved,-0.52,cDC,4.45,HSC/MPP,0.75,3.7
LS_35,Neutrophil,-0.62,Neutrophil,5.06,Monocyte,3.1,1.96
LS_36,unresolved,-0.24,pDC,0.52,HSC/MPP,0.52,0.0
LS_37,B/plasma,-0.37,B/plasma,0.39,HSC/MPP,0.25,0.13
LS_38,HSC/MPP,-0.38,HSC/MPP,1.19,pDC,0.74,0.45
LS_39,proliferative,4.54,HSC/MPP,0.39,B/plasma,0.25,0.15
LS_4,GMP,-0.45,GMP,0.9,T/NK,0.27,0.63
LS_40,B/plasma,-0.25,pDC,1.79,B/plasma,0.83,0.96
LS_41,unresolved,-0.44,GMP,1.28,T/NK,0.98,0.3
LS_42,unresolved,2.22,Erythroid,1.11,HSC/MPP,0.06,1.06
LS_43,unresolved,-0.1,B/plasma,1.49,HSC/MPP,0.72,0.78
LS_44,Macrophage,-0.39,cDC,1.48,GMP,1.13,0.35
LS_45,GMP,-0.23,GMP,1.02,Neutrophil,0.81,0.22
LS_46,GMP,-0.23,GMP,1.53,HSC/MPP,1.26,0.27
LS_47,Macrophage,-0.43,pDC,1.02,HSC/MPP,0.32,0.7
LS_48,unresolved,-0.54,T/NK,2.08,cDC,0.6,1.48
LS_49,GMP,-0.46,GMP,1.22,T/NK,-0.01,1.23
LS_5,HSC/MPP,-0.46,HSC/MPP,1.57,pDC,0.5,1.08
LS_6,unresolved,-0.49,Megakaryocyte,1.33,pDC,1.28,0.06
LS_7,Monocyte,-0.53,Monocyte,2.22,Neutrophil,1.18,1.04
LS_8,B/plasma,-0.5,HSC/MPP,0.66,pDC,0.59,0.07
LS_9,unresolved,-0.52,GMP,0.36,Monocyte,0.05,0.32
