col,HSC/MPP,GMP,Monocyte,cDC,pDC,Erythroid,Megakaryocyte,B/plasma,T/NK,Neutrophil
LS_1,-0.5279571,-0.5537712,-0.41036242,-0.47622502,-0.8090884,-0.24710813,-1.1964687,-0.43345043,-0.39535588,-0.79566306
LS_10,0.3491084,0.22359161,-0.38903168,-0.45413503,-0.16219713,-0.17348102,0.10860836,0.42185426,0.087828875,-0.010731247
LS_11,-0.45408353,-0.009254973,-0.45290375,-0.06132963,-0.5399052,-0.06487689,-0.61819714,-0.61334515,-0.6228001,0.3581171
LS_12,0.19154863,2.2157187,-0.1814573,-0.48843887,-0.7474599,-0.35131985,0.1470512,-0.18492788,0.07734143,0.06684347
LS_13,1.3549677,-1.2757579,-0.51830864,0.6708433,0.29139787,2.4165802,2.021087,-0.8261827,-0.72246194,-1.3075855
LS_14,0.9781466,-0.9325187,-0.59552693,1.2597462,-0.075386,0.7024946,5.5096436,-0.532725,-0.59404624,-0.83372176
LS_15,0.37058836,-0.74288565,-0.6223817,-0.59148705,0.35065198,-0.0040216637,0.26729795,0.61646307,1.2036233,-0.28182945
LS_16,-1.741836,-0.4973596,2.9333055,-0.08906073,-0.77585065,-0.4288977,-0.20652936,-0.83621,-0.47785202,2.0336347
LS_17,0.89087427,-0.15361635,-0.6065238,-0.5466581,0.52818185,-0.2680344,0.06951747,0.8618484,-0.5332655,0.47755072
LS_18,-1.371928,-0.6257427,1.0332707,3.3799345,0.360215,-0.35047737,0.44903502,-0.7038727,-0.054731667,-0.041025672
LS_19,0.9704049,-0.626655,-0.5954128,-0.4103662,1.0774603,-0.2008417,0.07474285,-0.1427342,-0.20660754,0.07471633
LS_2,0.49513647,-0.22100028,-0.6030445,-0.6041308,0.2837504,-0.2424572,-0.32513997,1.0812949,-0.6241069,0.47336778
LS_20,0.13295317,0.24318796,-0.3024847,-0.4722967,-0.3906451,0.060616296,-0.2641287,-0.037966546,-0.18334068,-0.48588154
LS_21,-0.4963631,0.49487835,0.044935293,0.61623156,-0.025035627,-0.24371463,0.04010807,-0.63419056,0.50234014,0.021139435
LS_22,0.759407,2.2035718,-0.36291406,-0.5437105,-0.691954,-0.2408019,0.66606474,0.5210004,-0.11706893,0.45566538
LS_23,0.19757517,-1.0968056,-0.66825676,-0.50929415,-0.52404994,-0.2582851,1.0946648,0.12919533,0.99603754,-0.5927405
LS_24,0.9276261,-0.6742887,-0.66998774,-0.51689124,0.40715578,-0.24682236,0.121204674,0.97704005,-0.44748127,0.04000325
LS_25,1.5745975,-0.79603136,-0.62382203,-0.4961785,-0.0022912093,-0.3161767,-0.29265723,1.0952686,-0.43942893,-0.6915614
LS_26,-0.4634809,2.3390858,0.84783834,-0.4729955,-0.43842044,-0.3434435,0.2095895,-0.76449776,0.32953247,0.49506956
LS_27,0.55447197,1.8933572,-0.19296059,-0.55414623,-0.4755911,-0.19866687,0.4840584,-0.0070341146,0.11119794,0.73201317
LS_28,0.91405934,0.5831298,-0.65186626,-0.6206808,0.069822624,-0.16964127,0.06797955,1.2327535,-0.61466324,1.1615802
LS_29,-1.202519,0.7623729,1.7627131,0.16062099,-0.43043846,-0.33846045,0.7039722,-0.8094564,0.35766447,0.42322794
LS_3,0.22233506,0.43245664,-0.23769943,-0.44837457,-0.44604388,-0.21174906,0.03908586,-0.078263655,0.19836628,-0.098027095
LS_30,-0.21579629,-0.009651433,-0.24583788,-0.31376207,-0.5901486,-0.2807126,-0.5383758,-0.3375537,-0.07902704,-0.46222034
LS_31,0.48424253,-0.081958644,-0.57754874,-0.5898005,-0.24596526,-0.21773869,-0.07981057,0.5215882,-0.47035614,0.47800678
LS_32,0.06154456,0.91588694,-0.09647281,-0.4218916,-0.47232488,-0.2779185,0.6304256,-0.62120706,0.16311082,0.46490932
LS_33,0.7324723,1.7301965,-0.43182752,-0.5057737,-0.49770275,-0.14030766,0.7948131,0.29600063,-0.07146639,0.47454047
LS_34,0.7481827,-0.96979284,-0.58693403,4.446238,-0.0069079613,-0.06005347,0.36427903,-0.74216694,-0.5854373,-1.1756549
LS_35,-1.7780355,-0.8412637,3.0974827,0.3789677,-0.78334826,-0.4446204,0.22296368,-0.8724176,-0.4140337,5.056672
LS_36,0.5171427,-0.3708668,-0.5351783,-0.50126046,0.5198807,-0.2864993,-0.50952744,0.25328487,-0.42772144,-0.03286922
LS_37,0.2514744,-1.0019975,-0.6547947,-0.5577915,-0.009620182,-0.1891235,-0.019019576,0.38577282,-0.24232598,-0.16014044
LS_38,1.1856277,-0.60735863,-0.54636854,0.11076985,0.74010694,-0.24756014,-0.23904978,0.23227915,-0.28095365,-0.9940962
LS_39,0.3946432,0.07726584,-0.3598223,-0.078831136,0.07670139,0.08986859,0.2137064,0.24665095,-0.057036053,-0.26255366
LS_4,0.23865807,0.9021758,-0.2092823,-0.30730617,0.023697997,-0.29092178,-0.08490173,-0.46928218,0.27498275,-0.3247574
LS_40,-0.61593735,-0.73056936,-0.4647432,-0.050767947,1.792743,-0.15573117,-0.26052314,0.833985,-0.10298116,-0.69045025
LS_41,-0.3165956,1.2819008,0.07529724,-0.4564538,-0.6598688,-0.33117914,-0.9437386,-0.71132076,0.98325914,-0.6740242
LS_42,0.05664479,-0.49269313,-0.33013177,-0.20758629,-0.36752072,1.1145097,-0.008901738,-0.61429024,-0.16625345,-0.96387386
LS_43,0.7159264,0.11081214,-0.65691125,-0.2449377,0.27264297,-0.053981405,0.2823652,1.4926935,-0.53391486,0.084196486
LS_44,-0.95124567,1.1289902,0.86653453,1.479889,-0.38186133,-0.34999973,0.12313456,-0.6566875,-0.37570727,0.44241408
LS_45,0.42335275,1.0244241,-0.38895282,-0.26667598,-0.4390294,-0.31506357,0.0032349778,-0.10111943,-0.27254674,0.8059062
LS_46,1.256676,1.5258716,-0.5175001,-0.34662074,-0.48225427,-0.32940048,-0.34928903,0.18221463,-0.45178995,-0.086683825
