col,MKI67,TOP2A,PCNA,CCNB1,CCNB2,CDK1,MCM2,MCM6,TYMS,BIRC5,CENPF,UBE2C,AURKB,CCNA2,RRM2,CDC20,CENPA,CKS1B,CRHBP,HLF,AVP,MEIS1,HOXA9,MLLT3,GATA2,ERG,MECOM,PRSS57,MPO,ELANE,PRTN3,AZU1,CTSG,RNASE2,CEBPE,CEBPA,CD14,FCN1,VCAN,S100A8,S100A9,LYZ,CSF1R,CD68,MNDA,FCER1A,CD1C,CLEC10A,CLEC9A,XCR1,ITGAX,IL3RA,LILRA4,IRF7,GZMB,TCF4,CLEC4C,GATA1,KLF1,ALAS2,GYPA,TFRC,CA1,PF4,PPBP,ITGA2B,GP9,VWF,PLEK,GP1BA,CD19,MS4A1,CD79A,CD79B,EBF1,VPREB1,MZB1,IGHM,IGLL1,CD3D,CD3E,CD2,IL7R,NKG7,GNLY,KLRD1,CCL5,TCF7,FUT4,CSF3R,FCGR3B,CEACAM8,MMP9,S100A12,CXCR2
LS_1,0.07528156,0.0658595,0.15008307,0.04608458,0.050753392,0.024233721,0.1780069,0.1393306,0.36033237,0.022439506,0.08893232,0.06899889,0.01575964,0.0275622,0.07411125,0.03785781,0.011007382,0.12944949,0.12190398,0.0031243046,0.0035792827,0.040185887,0.081809625,0.052013285,0.31189978,0.25498632,0.026496332,1.4271386,1.7403376,0.51955795,0.3305165,0.6547833,0.1781079,0.16208684,0.027302084,0.2594686,0.028275587,0.03987979,0.058005214,0.33649686,0.5904153,0.8123798,0.062450945,0.22622877,0.13313285,0.063676275,0.006628303,0.011127049,0.0,0.0,0.044219047,0.13492629,0.0047847945,0.17423049,0.015855212,0.12986769,0.0,0.07611804,0.046586767,0.032183755,0.016875943,0.19572952,0.059570834,0.0,0.0025046777,0.0630831,0.010799512,0.0501368,0.4039775,0.0074580344,0.037279967,0.009094705,0.06741041,0.056657802,0.0046903724,0.012650091,0.24885663,0.044377238,0.41765836,0.1669675,0.07768947,0.031185329,0.027350755,0.23248738,0.051440783,0.0069656745,0.072624385,0.024327492,0.1265094,0.4314358,0.009581986,0.0008473585,0.012203588,0.087301284,0.0032014654
LS_10,1.5130067,1.115721,1.4186231,0.3241395,0.54626524,0.56523705,0.9191197,0.8057448,2.385128,0.7874638,1.0455681,1.1370943,0.7646878,0.65923816,1.4460684,0.40897804,0.19613212,1.4097303,0.06622328,0.0008469946,0.006975375,0.06412883,0.25439325,0.10050902,0.4430404,0.47537988,0.040658765,2.3579633,2.5377913,0.8046413,0.5910446,1.4899344,0.71427697,0.90641254,0.10716513,0.63372505,0.013815887,0.05709399,0.034132965,0.19917014,0.26152864,1.0214717,0.17381151,0.41644594,0.2447257,0.06334413,0.00123366,0.005750884,0.0064156153,0.0,0.06326303,0.2536052,0.014653021,0.3336238,0.009319676,0.3494339,0.0060815173,0.030705333,0.06871167,0.0020882222,0.0025499386,0.4312514,0.0076244986,0.000819916,0.0059792665,0.053416688,0.042608228,0.049260747,1.0305009,0.005520858,0.073198564,0.005692698,0.12598178,0.13603124,0.0034227492,0.089429885,0.5949713,0.14898354,1.3461356,0.20665428,0.07584643,0.05581417,0.017741421,0.7290854,0.11764713,0.0047944523,0.19605836,0.038576175,0.3160805,1.0746323,0.0035793844,0.0,0.017812701,0.030941598,0.006082356
LS_11,0.07224198,0.03749508,0.08688922,0.036391865,0.024346368,0.025333498,0.062244616,0.07724203,0.07617547,0.007953376,0.1699516,0.023291547,0.013085881,0.014627068,0.07117439,0.011643169,0.007258861,0.045288105,0.065238364,0.0013808762,0.0,0.17367919,0.17593396,0.08734614,0.34712902,0.5216379,0.047622863,1.0284145,1.9783175,1.2443502,0.6878094,1.7509508,0.29900247,0.28409764,0.046368603,0.32206878,0.0304345,0.042881463,0.081282236,0.056207478,0.11564458,1.0654527,0.24066746,0.24412076,0.14147115,0.04143057,0.0,0.0075341617,0.0076829134,0.0,0.3386507,0.20741284,0.0015485717,0.20354576,0.0016163584,0.2565347,0.0,0.023831487,0.014289467,0.0051382515,0.0,0.6514036,0.019177472,0.0,0.0014340614,0.036391206,0.009371361,0.026832037,0.7507736,0.0012333879,0.043651845,0.0052042566,0.023120688,0.05208566,0.0045625954,0.009358434,0.18409961,0.02060209,0.21417092,0.036600318,0.017409913,0.0060075554,0.0049209576,0.15317309,0.029549278,0.0012747857,0.061719675,0.026788907,0.6086219,1.1891853,0.0,0.0,0.009227077,0.0041614627,0.0035466684
LS_12,0.018237123,0.011050465,0.16263482,0.038942922,0.023423629,0.0025958382,0.11192071,0.11136383,0.1337864,0.008473064,0.0688737,0.011102336,0.0048598996,0.0052250945,0.0075388397,0.0073277135,0.002714831,0.1389659,0.013986077,0.0006000092,0.0046453644,0.038474623,0.22352351,0.025602987,0.26380813,0.25116065,0.014012039,2.7071779,3.5326843,3.4953473,2.1150243,3.9215615,2.148072,1.5864958,0.40810534,0.60500646,0.006860972,0.08974038,0.0034329346,0.13385347,0.14871286,2.1332984,0.18703212,0.5240714,0.50824475,0.0113531705,0.0,0.0012549529,0.009353023,0.0,0.09575155,0.16952428,0.0,0.22057028,0.0011170512,0.115728945,0.0010301422,0.0015597227,0.04331493,0.0,0.0,0.21819325,0.0,0.00046428747,0.0025512255,0.018042639,0.06310668,0.014894609,1.1055669,0.002631179,0.014089171,0.0,0.05070699,0.12232173,0.0,0.034572575,0.471338,0.007987972,0.66987896,0.24844043,0.010711766,0.016026104,0.003191531,0.75481707,0.23798527,0.0,0.14567411,0.009067238,0.27907187,1.2194338,0.00072674797,0.0,0.01233175,0.0032695471,0.011189755
LS_13,0.08080501,0.040791415,0.48581928,0.15603222,0.09340332,0.07275001,0.49873853,0.40688676,0.752545,0.032218885,0.2859999,0.07835566,0.032600082,0.052394327,0.09855103,0.06935461,0.010302731,0.37627047,0.00384183,0.005466773,0.0,0.013891142,0.018921398,0.23391399,2.4033415,0.43764427,0.47045216,1.9279857,0.035445012,0.030997027,0.013465372,0.045168582,0.014302068,0.017689737,0.02227773,0.058719445,0.0053217732,0.0026041253,0.01813951,0.012935183,0.016847502,0.48054662,0.0035805649,1.0582922,0.006164095,0.8586515,0.0,0.0,0.0018117197,0.0,0.010687071,0.028731504,0.0,0.9215929,0.0028068665,0.36912695,0.0,1.7089455,1.3165987,0.0045476733,0.5912781,0.606053,0.39146078,0.0,0.0036232714,1.4682493,0.17216574,0.0060207937,0.3189274,0.17185457,0.0030704772,0.0065109786,0.019176975,0.058741547,0.0010850118,0.002344022,0.010754544,0.006794713,0.04396317,0.0048301974,0.006526868,0.010473406,0.0010183,0.04668043,0.015856024,0.0018834453,0.043701258,0.051536106,0.13289121,0.025061714,0.0,0.0,0.0016532955,0.003651023,0.00039068994
LS_14,0.041748006,0.027462207,0.1952957,0.05310486,0.029589886,0.01453662,0.13637821,0.12207831,0.21163021,0.019432455,0.09393675,0.08423599,0.013878775,0.021785147,0.02689384,0.027546562,0.008958244,0.21003546,0.052409153,0.0010058498,0.0070598437,0.1879561,0.40773723,0.1036671,1.7398192,0.40464613,0.0810761,1.8912176,0.29400983,0.18477292,0.13015884,0.42982736,0.16817169,0.30852818,0.069356464,0.38092253,0.008582073,0.013474078,0.022129862,0.04210709,0.066191815,0.4328543,0.032792237,0.41024515,0.087596215,1.1947474,0.0,0.003228667,0.0025586963,0.0,0.053353637,0.3330432,0.0,0.4830596,0.008891703,0.20848425,0.0012833677,0.88400674,0.35776517,0.023357326,0.017296199,0.5043995,0.13462,0.14714167,0.25099224,0.91212916,0.32287425,0.20016307,1.8503737,0.19505197,0.0140234465,0.0010786228,0.04465549,0.10034886,0.0007796837,0.0010392582,0.149607,0.02903835,0.36947238,0.04571728,0.0170844,0.022620194,0.0073353653,0.12998824,0.042777732,0.003177371,0.09930503,0.014140815,0.17600149,0.42635754,0.0005531685,0.00078126346,0.014353183,0.011684234,0.003625023
LS_15,0.05553599,0.0545891,0.40593567,0.10160177,0.10823833,0.017080856,0.51714534,0.48932675,0.60503155,0.017347198,0.16175005,0.052590765,0.012908469,0.019884301,0.02937273,0.03812289,0.000813713,0.39718896,0.030717757,0.0,0.0018915362,0.03343323,0.121463716,0.049531944,0.49597865,0.6609303,0.052508026,2.400081,0.82380736,0.34707648,0.11175188,0.47945255,0.23346019,0.15163144,0.0695246,0.703555,0.011556783,0.022138353,0.003351652,0.06013289,0.06601133,0.19864495,0.12996201,0.3527351,0.10156484,0.011205721,0.00064443366,0.0004452754,0.0011196212,0.0,0.037324846,0.5736467,0.0011296738,0.34732732,0.0037804062,0.44281915,0.0,0.006795785,0.020969233,0.0062738787,0.0018382787,0.76239914,0.01133119,0.0,0.007190471,0.0252665,0.0130100185,0.1372229,1.0806727,0.003797895,0.038342442,0.0022588987,0.21905367,0.22619182,0.0020398414,0.12792633,1.3224669,0.091592364,0.86375314,1.3015872,0.40020087,0.10310882,0.03924926,1.2372506,0.037122887,0.0011035135,0.025619524,0.03163528,0.2473905,0.89309996,0.0042611235,0.0005880218,0.0060361787,0.025204375,0.0038278704
LS_16,0.020470642,0.01526506,0.06674166,0.0077212933,0.003991844,0.0014977036,0.017059948,0.015476586,0.03153372,0.0047754827,0.019363187,0.013412012,0.0040826085,0.0014655759,0.010098128,0.009023786,0.0028492499,0.032259963,0.009517702,0.0,0.0,0.0067045256,0.04467467,0.01506999,0.020349547,0.032063834,0.0,0.13673972,0.7798034,0.55435866,0.2557484,0.8386686,0.046579424,1.03556,0.21656552,0.42882285,1.3581458,1.0884157,1.5901537,4.8624663,5.8684044,4.5633454,0.29465106,1.9044778,1.9081998,0.017953854,0.007734544,0.04245471,0.0012084012,0.0,0.30792397,0.041989315,0.005433507,0.3757061,0.0016828692,0.04411097,0.016794404,0.0021144657,0.0018953428,0.0029835235,0.0,0.12806289,0.005928238,0.0051086214,0.024926266,0.0055758986,0.0042711287,0.0,0.9889035,0.0023297514,0.0026116343,0.0,0.0011974942,0.07135893,0.0,0.0,0.011398525,0.0073859934,0.039435983,0.00923067,0.006283909,0.0069314037,0.0037006626,0.4594036,0.027362615,0.0,0.046217017,0.0036569238,0.13224804,1.2807072,0.0024949082,0.020376153,0.0123641,1.9882783,0.039097022
LS_17,0.020489678,0.015960565,0.19838671,0.07206082,0.034482412,0.0075445552,0.26562572,0.17181776,0.21745272,0.004568465,0.09365086,0.013892938,0.011771354,0.013176489,0.0065395683,0.015182847,0.0007186068,0.24343933,0.097628966,0.00038618664,0.0026830633,0.033827562,0.24405959,0.13782866,0.66078544,0.6501795,0.02300128,2.8782516,2.866184,0.47764465,0.19399363,0.85687125,0.34788936,0.36253223,0.06072215,0.7204901,0.0060700267,0.02300356,0.009751711,0.03167443,0.03657982,0.38183036,0.094732635,0.38422793,0.07853939,0.020912554,0.0,0.002650366,0.0025013534,0.0,0.053810723,0.21705423,0.00076417776,0.7681909,0.0012811299,0.52056617,0.0,0.0026955944,0.035918802,0.0013068406,0.0,0.3534826,0.00072955963,0.0,0.008849869,0.05187501,0.017249804,0.019344358,1.0692953,0.0020185064,0.3166681,0.0,0.4049169,0.37239003,0.018718727,0.072665274,0.48986405,0.09115242,1.5935088,0.06534656,0.012615516,0.0050645904,0.0029914924,0.31313735,0.016001875,0.00090345216,0.035740092,0.024837792,0.27682105,1.6398383,0.0009588197,0.0,0.01057229,0.0042233886,0.00071472564
LS_18,0.055051126,0.019650396,0.16445948,0.030728238,0.022578645,0.0031169592,0.06408048,0.11811766,0.08131585,0.017067822,0.0672975,0.0123142935,0.0076247025,0.0068156007,0.021946881,0.008017565,0.0025338589,0.14939986,0.011326539,0.0,0.0018347561,0.025820496,0.26239255,0.03690259,0.023307726,0.072252885,0.0033866228,0.45503992,0.9993854,0.1698226,0.08231669,0.44395575,0.120508045,1.1024768,0.02589138,0.5655383,0.3043452,0.21023022,0.6315316,1.32162,2.0228677,3.379837,1.0243192,1.3829945,1.1414902,0.6138204,0.5825592,0.7463939,0.036136154,0.007903708,0.64502215,0.42868817,0.035504404,0.6641404,0.0024849912,0.23536137,0.010019811,0.0021257855,0.009988388,0.0,0.0,0.2486181,0.0036615022,0.0050581195,0.009833726,0.022158382,0.004280236,0.004024008,1.305799,0.0065424014,0.008555149,0.015220864,0.046163127,0.21488747,0.0,0.0012028328,0.049178068,0.022551931,0.027084453,0.035166096,0.014546924,0.07455485,0.0077600474,0.92822576,0.05375692,0.0019740507,0.091463245,0.013139457,0.14559187,0.92248446,0.0,0.0,0.0108357975,0.32726836,0.012919591
