gene,group,Normal_HSPC,Favorable_mean,Focus,Poor_mean
HLF,not LT-HSC,4.2247286,0.10405555,0.0,0.2643079
AVP,not LT-HSC,5.948078,0.6707492,0.0,0.64008296
SPINK2,not LT-HSC,6.9330688,5.1169295,5.6080565,4.842092
CDC20,focus signature,2.5195825,2.3638346,5.4642806,2.078543
CENPF,focus signature,4.226489,4.170973,6.177602,3.593499
MKI67,focus signature,4.384793,2.8139322,5.978711,3.1055672
TROAP,focus signature,2.1916647,2.4806867,4.867706,1.7184817
HMMR,focus signature,2.1023285,2.1628706,4.876052,1.8937167
BIRC5,focus signature,3.0227728,2.0259962,5.232718,2.1221418
PIMREG,focus signature,1.1346956,1.1135478,3.3536885,0.87206
PLK1,focus signature,1.8036951,1.9759654,4.9622145,2.0214221
CD34,shared progenitor,6.3833895,5.690888,6.01601,5.5247383
GATA2,shared progenitor,5.5350046,3.705525,5.1462283,5.1976748
MEIS1,shared progenitor,3.7721536,3.0169375,2.613729,2.3393316
HOXA9,shared progenitor,4.773124,2.8251367,4.2718816,3.4261725
MPO,not GMP (granule),7.1122413,8.691396,8.548197,7.6891046
PRTN3,not GMP (granule),3.8865187,6.4061427,6.9480667,5.4257913
ELANE,not GMP (granule),3.7380574,7.669471,7.357626,5.585232
AZU1,not GMP (granule),4.5491242,7.6623306,7.6239743,6.414585
MKI67,focus signature,4.384793,2.8139322,5.978711,3.1055672
TOP2A,cycling,3.6154306,3.8025432,5.37161,2.2367795
CDK1,cycling,3.1936595,2.0159042,3.4994202,1.7133236
CD96,surface targets,1.6239632,4.825614,4.678241,4.7352505
FLT3,surface targets,5.3607736,5.3863397,5.0592475,5.247362
CD38,surface targets,4.3456993,5.225077,4.9233737,4.987072
IL3RA,surface targets,3.4717503,4.3670607,3.800428,4.473118
CLEC12A,surface targets,3.0688744,4.6449914,4.6130743,4.594756
CD33,surface targets,3.6952353,4.4797716,4.3140626,4.661612
KIT,surface targets,5.172043,4.8545856,4.6087966,4.772694
CRLF2,surface targets,0.77061296,2.2028134,2.1234088,1.1748878
ITGAX,surface targets,1.0386138,3.3104122,2.7856076,3.3178742
TNFRSF4,surface targets,1.1250778,2.7610178,1.5688345,2.0336885
