,LS_45,LS_49,LS_15,LS_39,LS_20,LS_34,LS_25,LS_36,LS_43,LS_10,LS_44
HOXA1,0.0,0.0,0.1364405,1.1985217,0.6991163,0.4729406,0.43121746,0.48590016,0.6085389,0.48431194,0.6213601
HOXA2,0.0,0.0,0.0,0.07627583,0.2642567,0.0,0.43319604,0.271909,0.0,0.16770905,0.0
HOXA3,0.0,0.0,2.0229435,2.3154182,2.3386495,1.700114,2.5558817,1.2133554,2.949087,2.329756,0.86922604
HOXA4,0.0,0.0,0.48200086,1.2526621,1.3609962,1.183206,1.1846868,1.1547531,1.5742058,1.0664634,0.0
HOXA5,0.4666242,2.243361,1.8039242,2.1601884,2.3203228,2.1277618,2.2241957,0.64245385,2.8314652,2.2918928,0.684401
HOXA6,0.0,2.243361,0.836531,1.5011433,1.436882,0.88207364,1.5731051,0.09717789,1.9695256,1.6421353,0.0
HOXA7,0.0,2.243361,2.1723342,2.8313131,3.0487745,2.0865626,2.7599974,1.855822,3.385985,2.8820007,1.9142234
HOXA9,0.16186242,3.4583492,3.524118,4.1562176,4.2718816,3.0853882,4.1215153,3.463062,4.0863647,3.9826672,1.8180368
HOXA10,0.22506538,4.7119074,2.8301928,3.8742177,3.8883586,2.6669106,3.5966337,3.2731977,3.3087087,4.1240425,1.0711253
HOXA11,0.0,3.2686129,1.4613559,2.1177325,2.0985546,0.9032038,1.4727137,1.5376463,0.0,2.3526242,0.0
HOXA13,0.0,0.0,0.1906481,0.5211796,0.46424052,0.0,0.40359494,0.20096292,0.0,0.5198696,0.0
HOXB2,2.8511279,2.0844011,2.0138304,3.4243984,3.2989056,2.6511955,2.654012,4.170763,3.7830515,3.320219,1.5716779
HOXB3,1.830574,2.7133396,2.5091462,2.7287164,2.6684184,2.1150582,2.8490095,2.4652815,4.008944,2.8076143,0.32946035
HOXB4,2.8131528,2.831961,2.9938147,3.2467272,3.343084,2.8260903,3.3947825,3.9860134,4.149497,3.40287,1.152551
HOXB5,0.21448568,3.84845,1.3905087,2.0973425,2.0572948,1.84195,1.9124032,1.6874039,3.525928,2.1812098,0.0
HOXB6,0.0,3.0964518,2.0551016,2.9104013,2.767505,2.307468,2.6430993,2.270818,4.312377,2.8134773,0.4274611
HOXB7,0.0,0.0,0.62449294,1.5828584,1.0020819,0.35462046,0.99050224,0.41464654,3.1207485,1.534297,0.0
HOXB8,0.0,0.0,0.4762393,1.505954,1.5057597,0.7809541,1.4230626,0.16588236,3.7459977,1.3278693,0.0
HOXB9,0.0,0.0,0.7055864,1.0122217,0.58134234,0.5821151,1.5670688,0.60565263,4.7496886,1.209905,0.0
HOXB13,0.0,0.0,0.0,0.30175886,0.0,0.0,0.0,0.0,0.0,0.13553946,0.0
HOXC4,0.0,0.0,1.7355968,0.8782834,0.8057499,0.0,1.2554911,0.44121775,0.0,0.36241215,0.0
HOXC5,0.0,0.0,0.0,0.0,0.0,0.0,0.15201926,0.0,0.0,0.0,0.0
HOXC6,0.0,0.0,0.77125627,0.459531,0.69986457,0.0,0.07732036,0.0,0.0,0.15040971,0.0
HOXC8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOXC9,0.0,0.0,0.0,0.0,0.0,0.0,0.5480909,0.12352803,0.0,0.0,0.0
HOXC10,0.0,0.0,0.0,1.0902967,0.43469095,0.0,0.75784403,0.0,0.0,0.45347142,0.0
HOXC11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
