,AML-GZMB CD8 T ,AML-GZMK CD8 T ,AML-MAIT,AML-NK,AML-Naïve CD4 T ,AML-Naïve CD8 T ,AML-T reg,Effector memory CD8 T,GZMB CD8 T ,GZMB DN T,GZMB NK,GZMK CD8 T ,GZMK NK,MAIT,Naïve CD4 T,Naïve CD8 T ,T reg
0,GZMH,GZMK,KLRB1,GZMB,LEF1,CD8B,KLF6,ZNF683,GZMH,TRDV2,GNLY,CCL5,IL2RB,KLRB1,TPT1,CD8B,VIM
1,NKG7,CCL5,KLRG1,NKG7,CCR7,CD8A,IL32,KLRC2,NKG7,TRGV9,PRF1,GZMK,TYROBP,GZMK,EEF1B2,CD8A,LTB
2,CCL5,DUSP2,GZMA,PRF1,SELL,LINC02446,S100A4,IL32,CCL5,NKG7,NKG7,CD74,FCER1G,S100A4,EEF1A1,LINC02446,S100A4
3,SH3BGRL3,CD74,IL32,EFHD2,TCF7,LEF1,LTB,CD7,SH3BGRL3,CCL5,GZMB,DUSP2,KLRD1,IL7R,LTB,EEF1A1,FXYD5
4,FGFBP2,CD8A,S100A4,FCGR3A,EEF1A1,EEF1A1,COTL1,CD8A,CST7,CST7,SPON2,CST7,IFITM2,IL32,SARAF,EEF1B2,FTH1
5,CST7,CST7,GZMK,GNLY,TPT1,CCR7,VIM,DUSP1,FGFBP2,GNLY,TYROBP,CD8A,CTSW,CCL5,TCF7,EEF1G,CRIP1
6,B2M,IL32,CCL5,TYROBP,LTB,NELL2,CRIP1,DUSP2,GNLY,KLRB1,CST7,HLA-B,XCL1,CEBPD,RACK1,RACK1,IL7R
7,IL32,GZMA,TRDV2,FGFBP2,EEF2,PABPC1,FTH1,CXCR3,S100A4,SH3BGRL3,EFHD2,GZMA,XCL2,KLRG1,NACA,NACA,PLP2
8,HLA-DPB1,HLA-DRB1,NFKBIA,CST7,PABPC1,EEF1B2,GSTK1,JUN,CD8A,CTSW,FCGR3A,CTSW,SRGN,GZMA,EEF1G,TPT1,S100A10
9,CD8A,JUN,TRGV9,CTSW,EEF1G,TCF7,IL7R,KLRK1,B2M,HLA-C,CTSW,NKG7,NKG7,HLA-B,LDHB,NPM1,GSTK1
10,S100A4,SRGN,NKG7,KLRD1,CAMK4,NPM1,RGCC,ZFP36L2,GZMB,HOPX,FGFBP2,CD81,CMC1,CD74,LEF1,NELL2,AHNAK
11,PRF1,CD8B,DUSP2,SPON2,LDHB,EEF2,CD52,JUNB,PRF1,EFHD2,FCER1G,ZFP36,GNLY,SH3BGRL3,MALAT1,BTF3,ANXA1
12,GZMA,HLA-DPA1,CST7,GZMA,MAL,EEF1G,AQP3,LYAR,GZMA,GZMH,MYOM2,IL32,TRDC,S100A6,PABPC1,PABPC1,S100A11
13,EFHD2,HLA-DPB1,EFHD2,CLIC3,RACK1,SELL,AHNAK,NR4A2,CD99,FGFBP2,ITGB2,ZFP36L2,CD7,DUSP1,EEF2,COX4I1,KLF6
14,GZMB,UBC,PRF1,CCL5,NOSIP,RACK1,S100A11,KLF6,HLA-B,HLA-B,CCL4,CCL4,MATK,CST7,NOSIP,SARAF,TAGLN2
15,ZEB2,NKG7,ANXA1,S1PR5,IL7R,OXNAD1,ITGB1,FOS,HLA-A,GZMA,KLRD1,CLIC1,CD63,AHNAK,CCR7,EEF1D,AQP3
16,HLA-DPA1,TMSB4X,GBP5,ADGRG1,SARAF,GAS5,SLC2A3,LINC02446,FLNA,S100A4,GZMA,HLA-DPA1,GSTP1,CLIC1,MAL,RGS10,IL32
17,HLA-A,RGS1,CEBPD,IFITM2,TMSB10,NUCB2,EZR,TMSB4X,PFN1,TRDC,HOPX,HLA-A,GZMK,TRAV1-2,EEF1D,CD7,COTL1
18,FLNA,HCST,SYNE2,GZMH,PIK3IP1,PIK3IP1,ANXA1,EZR,CTSW,CD99,CLIC3,CD99,KLRC1,SLC4A10,SELL,FAU,DUSP1
19,HLA-DRB1,SRSF7,AC020916.1,HOPX,EEF1B2,SARAF,CD4,NFKBIA,AHNAK,KLRD1,CD247,HLA-C,KLRF1,ANXA1,NPM1,CD248,EMP3
20,AHNAK,CMC1,BHLHE40,APMAP,UBA52,IL7R,S100A10,CD52,HLA-C,PRF1,IL2RB,CD8B,EFHD2,HLA-C,NOP53,LDHB,TNFAIP3
21,PLEK,KLRG1,CD74,CX3CR1,MALAT1,TPT1,PPP1R15A,CTSW,EFHD2,KLRG1,CYBA,GZMM,IFITM3,DUSP2,SNHG29,EEF2,FOS
22,CRIP1,HLA-DQB1,NCR3,FCER1G,IL6ST,PDE3B,TNFAIP3,NCR3,CLIC1,B2M,CX3CR1,HLA-DRB1,MAP3K8,SPOCK2,FAU,SNHG29,TIMP1
23,KLRD1,CD69,DUSP1,TBX21,FYB1,ABLIM1,GPR183,AHNAK,IL32,CCL4,ADGRG1,PFN1,HOPX,PHACTR2,TRABD2A,NOSIP,S100A6
24,ANXA1,ZFP36,RORA,CD247,TRABD2A,CAMK4,FXYD5,CD8B,S100A6,GZMB,ZFP36,GAPDH,AREG,CTSW,BTF3,TMSB10,ZFP36L2
25,SYNE1,NR4A2,ALOX5AP,PLEK,FOXP1,EIF3E,PLP2,ZFP36,CYBA,CYBA,KLRB1,B2M,KLRB1,ALOX5AP,CAMK4,GAS5,TRADD
26,LGALS1,COTL1,SH3BGRL3,CYBA,PIM2,KLRK1,CD82,CCL5,CCL4,DUSP2,JAK1,EOMES,PTGDR,HIST1H1E,KLF2,FLT3LG,SH3BGRL3
27,ITGB1,CLIC1,ZBTB16,ZEB2,PIM1,ACTN1,TMSB4X,HCST,ARPC2,CD247,IGFBP7,H3F3B,CXXC5,AQP3,FLT3LG,HSP90AB1,HINT1
28,CD99,KLF6,AHNAK,ITGB2,LINC00861,CD55,PTGER4,STK17A,CALM1,PFN1,GZMH,SLC9A3R1,PRF1,NKG7,CD27,TRABD2A,CD82
29,KLRG1,DUSP1,LYAR,RHOC,TMEM123,HSP90AB1,CD44,CSRNP1,CD52,ITGB2,S1PR5,JUNB,CST7,NCR3,FYB1,LEF1,GAPDH
30,CTSW,HLA-A,CLIC1,IL2RB,ITGA6,LDHB,CORO1B,FOSB,ADGRG1,CLIC1,ABHD17A,SH3BGRL3,KLRK1,MYBL1,TMSB10,PFDN5,B2M
31,CX3CR1,CCL4,GADD45B,SRGN,FAU,UBA52,INPP4B,TPST2,MYL6,GZMM,FLNA,HLA-DPB1,CLIC1,FLNA,GAS5,UBA52,TSC22D3
32,CD8B,KLRK1,SH2D2A,FGR,GIMAP7,ARMH1,TNFRSF4,TAGLN2,ANXA1,GAPDH,KLRF1,CMC1,GZMA,ZFP36L2,FOXP1,CD3E,CD52
33,TMSB4X,LYAR,PLEK,TRBC1,DGKA,NACA,TRADD,LMNA,KLRD1,TYROBP,RHOC,CYBA,KLRC2,GBP5,COX4I1,S100B,ANXA2
