,AML-GZMB CD8 T ,AML-GZMK CD8 T ,AML-MAIT,AML-NK,AML-Naïve CD4 T ,AML-Naïve CD8 T ,AML-T reg,Effector memory CD8 T,GZMB CD8 T ,GZMB DN T,GZMB NK,GZMK CD8 T ,GZMK NK,MAIT,Naïve CD4 T,Naïve CD8 T ,T reg
0,4.848241,4.614452,4.041099,4.560221,2.3030808,3.426548,1.862547,4.9957604,4.754591,7.7356324,6.5108533,3.683871,4.0384855,3.496913,0.8349188,4.002961,1.5266479
1,4.422164,3.8009112,3.7242768,4.6412535,2.463523,2.6663222,1.7000545,4.0408044,4.4111996,6.217153,4.680268,4.234385,4.16932,3.5129163,0.8871111,2.9394374,2.0636415
2,3.9792514,2.87568,2.97341,4.031392,2.0708501,3.458937,1.7180166,1.5367732,4.0400376,4.2659235,4.9854317,2.2057877,4.234583,1.7721907,0.5802705,3.9488738,1.918909
3,1.7388183,2.0254884,2.0998871,3.381114,1.917257,2.0612805,1.6740718,1.3919044,1.7364019,3.764729,5.0710406,2.4280605,3.4428864,1.7490079,1.7464892,0.7112048,1.3047361
4,3.558569,2.6572125,2.3322861,4.1455936,0.6401691,0.6639749,1.6810853,2.0788774,3.310281,3.4085364,5.1986156,2.5159936,2.2356646,1.3091567,0.9566168,1.1285146,0.8767325
5,3.0819304,2.6271536,3.66059,5.134368,0.7898303,2.2113862,1.1725978,1.4201343,3.7075062,4.615043,4.413811,1.9668142,2.71435,2.2569122,1.540959,1.034037,1.805436
6,0.5514906,1.7371526,3.3090107,4.002819,1.8771131,2.665003,1.6314938,1.8327781,4.309246,2.9567037,3.6157458,0.3868749,5.8564153,2.6240523,0.62578785,0.7879119,1.7555958
7,1.9411526,2.4144583,5.5644364,4.0091763,0.9451587,1.0186739,0.8171148,2.984655,2.283926,1.2940516,3.4647512,1.8567665,4.5516715,2.2870429,0.6059548,0.8318384,2.0785177
8,2.9719853,2.99953,2.1857011,3.4630525,1.0088863,0.9630332,1.3210784,1.5104506,2.7441237,2.21473,4.6823916,1.4792137,2.2420413,1.6494641,0.80128443,0.7717581,1.4587688
9,2.7958782,1.9067391,4.387267,2.8515594,1.0011957,1.5089065,1.5060592,1.696745,0.52985895,0.7191172,2.8484755,2.1298342,3.6319032,0.19100006,1.0742542,1.0279496,1.3768494
10,2.174225,1.7475327,3.388141,3.4030375,1.8891789,1.0588874,1.8318987,0.9513533,3.0820706,2.7304173,4.2146845,1.2988952,3.325609,0.84005183,1.6426257,2.5047133,1.6695923
11,2.6647742,2.1859484,2.4042962,3.7778528,1.2932706,0.82509255,1.1929673,1.2617346,2.483018,2.3773425,4.5221376,1.1987654,4.034392,0.5433516,0.40520647,0.85714245,1.7629867
12,2.6214168,2.3640978,2.5804071,2.9800432,1.918582,0.9253064,1.8926445,2.1020806,2.444949,2.8918738,5.6337924,0.9825735,3.8967626,0.767416,0.7313189,0.87223256,1.8999481
13,2.3668396,2.296353,2.0595562,3.373082,0.6931854,1.5018749,1.4766123,1.7329694,1.6748155,2.9981468,1.9647646,0.6214235,1.7629002,0.7532452,0.5857553,0.8087302,1.3227229
14,2.857671,1.0334482,2.1424832,3.279676,1.4365629,0.68474764,1.7158502,1.3120148,0.567228,0.5723315,4.3245225,2.0179665,2.7414465,1.2893972,1.097581,0.9482662,1.2265571
15,2.8659809,2.5505154,1.9686564,3.3819804,1.5831003,1.7291876,2.0045602,1.1819668,0.6087078,2.400013,3.4939146,0.9583805,2.5817485,0.93216175,1.5746745,0.67819405,2.0625286
16,2.658893,0.5618736,2.5354419,3.4386816,1.0413105,1.309595,1.392833,2.2567508,1.7518879,1.7821316,3.0571964,1.763953,2.2831938,0.7560962,1.6365347,1.4760345,1.2483354
17,0.6581351,2.9597118,2.7900362,1.959274,0.6782913,1.5081345,1.4435952,0.3242015,0.7622208,3.5338092,3.5143485,0.2764093,3.1017413,3.5012362,0.36811256,1.0858562,1.3554795
18,1.9269981,1.4129267,1.8490638,3.2322543,1.6191111,1.4627444,1.395523,1.4014039,1.7854475,1.5807483,4.0661826,0.8365371,4.5802417,4.874262,1.0825084,0.5987458,1.0170425
19,2.87434,1.3636,2.6634047,2.8518534,0.8552007,0.9457541,2.1657882,1.2236633,1.7403724,2.3940067,2.1712832,0.21349216,3.6303592,0.95009804,0.54186195,3.7312799,1.0240633
20,1.951192,2.3871946,2.3703005,2.6545544,0.83873975,1.4293771,1.1536313,1.0362272,0.5840979,2.1847389,3.1483083,1.3481736,2.111678,0.15576354,0.6050391,1.0474732,1.143077
21,2.5376198,2.1601324,1.4301196,3.4102492,0.38120598,0.61773634,1.2398592,1.3062413,1.8931412,2.630536,1.3533128,0.8334199,2.2191298,0.9806871,0.7049718,0.6651275,1.0771214
22,1.85916,3.1055455,2.6155913,3.3855612,2.013547,1.7502304,1.1724116,2.15196,1.4497066,0.40208405,3.9450293,1.8770126,3.09086,0.78092736,0.30674753,1.0102383,1.9202235
23,2.271063,1.3190686,1.4338623,3.0104814,1.1140144,1.5326525,2.0184443,1.2568747,1.3588856,2.659161,3.7377489,0.3861587,2.3863885,1.8852735,1.3491825,1.1554291,0.9580496
24,1.8962363,1.3719338,2.0218477,2.0290859,1.7237408,1.4991131,0.8983695,1.3758768,1.2658346,2.2708058,1.942662,0.460515,3.3514116,0.76599777,0.33355248,0.5749213,0.6810505
25,2.0313215,1.6533873,1.8778267,2.8109,1.3508155,1.2301774,1.4108453,1.0737962,1.0472473,1.028923,2.7759383,0.12415694,2.271649,1.0790939,1.1400132,1.1072396,1.8759567
26,2.4704423,1.4097204,1.0907779,1.4066225,1.582951,1.4658868,2.1850471,1.5398803,2.2535613,1.6767418,1.7079737,2.300562,2.747877,1.0548482,0.38145098,1.2329232,0.6933825
27,2.4300983,1.271984,3.0039325,2.7505033,1.5379059,1.8746948,0.39202425,0.9812737,1.0346904,1.391649,4.5701356,0.37630743,3.009803,1.1952338,0.85058314,0.81156373,0.7767417
28,1.4846733,1.2198813,1.6311835,1.6180212,1.4828308,1.4571042,1.3277334,1.1739739,0.78297436,0.68133116,2.8727388,0.7750977,1.9801295,1.1232296,0.84040165,1.5522782,2.2522101
29,2.4083645,1.0595587,2.047256,2.579872,1.3048666,1.0349845,1.171627,1.5286852,1.1745299,1.1346208,3.5366852,0.59963936,2.0854056,1.690797,0.50886196,1.189935,0.6603634
30,1.7615875,0.43218714,1.492961,2.426104,1.8609626,1.1013734,1.762817,1.127824,2.4035795,1.2964689,1.8622351,0.48265287,1.8682079,1.4266664,0.28957093,0.66739666,0.2150376
31,2.6235836,1.6562487,1.5950121,1.8362827,0.54734075,0.81732273,1.5571572,1.3478495,0.8727597,1.2516167,1.7626506,1.3968204,1.5846423,0.62272716,0.63097805,0.6182343,0.70377785
32,2.0888326,1.3521297,1.9421095,2.9423153,1.1713146,1.840213,3.3003876,0.98205364,1.5265818,0.7725493,4.2559876,1.6475575,1.9232283,0.26610327,0.8079303,0.7460583,0.842738
33,0.4676171,1.7258779,1.8876635,2.2117672,1.4526639,0.6485855,1.642177,2.6517448,1.8368982,2.0163844,2.8964465,0.4435445,3.429146,1.3108552,0.22871639,3.3051343,1.5555605
34,2.478186,2.394801,1.85786,3.2903748,1.470793,1.7164675,1.6320984,1.3282311,1.8252846,1.2691274,2.9865117,0.7049213,2.709483,0.6256897,0.44591752,1.0735277,0.77443606
35,1.3842267,1.328546,1.7454466,1.728993,1.1171077,0.8406361,2.955502,1.5235736,0.72578204,1.1345701,3.3522134,2.8907738,1.5644928,1.545252,0.7951267,0.6884833,3.2560868
36,0.5918527,1.0863887,3.1371284,1.7939388,1.5124059,2.7119663,1.1210728,2.1942728,2.3075082,0.7147349,2.3563743,1.4635683,1.9011587,0.07170243,0.5564875,0.25450462,1.0627209
