,AML-GZMB CD8 T ,AML-GZMK CD8 T ,AML-MAIT,AML-NK,AML-Naïve CD4 T ,AML-Naïve CD8 T ,AML-T reg,Effector memory CD8 T,GZMB CD8 T ,GZMB DN T,GZMB NK,GZMK CD8 T ,GZMK NK,MAIT,Naïve CD4 T,Naïve CD8 T ,T reg
0,4.01437523538918e-132,1.5397220702739689e-124,2.459278198793912e-78,8.283179299658788e-113,6.120738455922178e-101,5.796201628966988e-139,3.4544952757545934e-62,3.563678578173694e-33,3.2087281122676145e-133,3.419952630569748e-94,0.0,3.0694751488833806e-110,5.194420875367232e-88,4.135636444731652e-49,1.1540977407015398e-265,0.0,8.370137420907905e-81
1,4.6895883312795266e-95,6.156151382889823e-105,6.192702229554795e-66,2.4999875335499404e-110,2.2629953780800875e-91,6.344094267632647e-92,4.1135579964969944e-57,1.1152940796677483e-27,5.172183813553725e-106,1.7343287053325298e-93,0.0,2.588610033852912e-98,5.194420875367232e-88,4.414985355040116e-39,3.580777490492508e-185,9.850205702156933e-196,2.403797571821952e-80
2,1.9385439081184956e-93,2.1809631722404883e-75,3.600581196063323e-49,3.060186638768733e-110,5.513335442830496e-90,5.4279282244727474e-80,1.1051763727271308e-51,2.8739475569681523e-24,7.047231837651369e-106,1.1585808428306541e-64,0.0,3.203321248221959e-93,3.508055434257233e-82,6.539115536984328e-29,2.2693451136248174e-181,8.974480919839246e-160,3.6370320978537614e-75
3,5.43265525467271e-82,1.9148649429946076e-70,6.2658321369060864e-49,9.338762840742337e-98,2.4861403494920438e-88,1.0605862898428269e-64,5.000917115792e-42,3.282211168672935e-22,7.126692073851304e-87,3.0817358981802596e-61,0.0,7.708177836110988e-59,1.360112911566114e-65,3.0935967872646595e-22,2.6112902102572654e-172,6.807030628772074e-142,8.36681874544784e-68
4,3.5993734666476505e-71,1.3351402700422836e-61,6.761236667773133e-47,1.4227663081246781e-97,4.159107028410371e-77,2.2363191750782298e-64,1.024205866615501e-41,3.794320727483725e-21,1.7184359752792e-82,1.0627577671420433e-60,0.0,1.588713594624821e-56,2.904826431896815e-63,4.496355717321306e-21,7.762579112030454e-167,1.5990926616550285e-131,1.3297932841424191e-58
5,4.106611360532092e-65,1.3745950473090477e-55,6.761236667773133e-47,1.1906456702235441e-93,4.2267150995155864e-75,2.193028314486508e-61,4.957745191899577e-41,5.852249257516377e-20,2.593227125620917e-75,3.819184779730691e-56,0.0,5.275934579868073e-32,6.193664004794105e-62,4.159623703667804e-20,7.53536801886268e-158,6.453786682786176e-106,1.6507029488062762e-53
6,1.549184248528e-57,6.465294487489477e-51,4.042431772931554e-46,5.2683955169764806e-93,1.6710081361245868e-71,1.3906149656890122e-56,7.481355675320882e-39,1.1007205114544254e-18,3.3380512289776567e-72,2.502339511018167e-37,5.91112198313173e-303,1.3676660486643897e-30,1.0055821014786926e-61,4.994848260252535e-13,2.1876305612959668e-142,2.5462402615529075e-100,8.087636168184357e-49
7,1.6813783970214527e-55,3.605633986494248e-49,1.671245937144798e-38,5.403507743058796e-90,2.0856460634223309e-66,2.4940459437572835e-47,4.6158018296597714e-36,4.063495550191304e-18,4.036320200416341e-67,1.8207194319151588e-34,3.646647988550615e-302,4.12483433438049e-28,1.2131897381831902e-57,5.216140931324956e-12,3.496264049592434e-133,3.4604704187046374e-99,3.462437563404417e-48
8,1.0949001587368205e-54,1.4609079673488986e-47,4.157081245998305e-38,5.525444225237884e-84,3.971829890079233e-62,1.5578100604116977e-41,8.226258588775011e-35,3.814478223771672e-16,8.889181884129868e-57,4.043566640560906e-34,9.068225833371907e-294,5.295435005337298e-27,7.498904586569433e-50,8.732500988480967e-12,1.6341506747134628e-130,5.8415292364429045e-92,2.434000631796972e-45
9,4.203163784873305e-54,7.415294655942846e-43,5.298790223392345e-37,3.9770789009204564e-83,6.656318527257834e-58,1.0518083977725929e-36,5.378504367043868e-32,7.676466373330983e-16,3.1322893104410684e-56,1.4604582079183123e-32,8.743423020808647e-275,4.8092086027469037e-26,2.9724251516208064e-49,2.1255750521100666e-08,1.1981354032447878e-129,4.2443630492797884e-77,6.538265534564934e-44
10,3.1874020163385836e-53,1.926436453109953e-39,1.0263310181252914e-36,9.010641493755194e-78,4.325552829577953e-53,5.4625470148671e-35,8.454109052582457e-32,1.033478363492901e-15,1.5938107874302654e-54,2.0668723678344754e-32,4.516901198245742e-261,2.041691070344432e-21,3.589474068983282e-49,2.2048070553481635e-08,3.430458287077375e-121,1.0411255722923126e-71,2.0044987221970434e-43
11,3.0043105311577392e-52,1.3080855524703393e-37,2.8332242277039713e-33,5.752665795657638e-77,3.589468192758721e-49,6.588546104057876e-35,8.301487114934047e-30,5.034685345439771e-15,1.0679946934223847e-45,1.1500629031118158e-30,4.9532498199967724e-235,2.6876741438817687e-21,1.1485222658751198e-48,1.334014243968479e-06,5.6232825051382826e-117,3.4963851515932856e-69,4.888974224425005e-43
