Mixture,Naïve CD4 T,Memory CD4 T,Treg,Naïve CD8 T,Memory CD8 T,GZMK CD8 T,GZMB CD8 T,GZMB DNT,MAIT,GZMK NK,GZMB NK,Proliferating T,P-value,Correlation,RMSE
TARGET.20.PAVXRM.09A,0.0450203433953685,0.0990657021984434,0.160086607977009,0.116357359555195,0.131721885595299,0.0309796551735271,0.0208042346929384,0,0.152431565635137,0.0562963062627989,0.138487547405982,0.0487487921083016,0,0.637624349547688,0.816097376351148
TARGET.20.PAXCDU.09A,0.0822981084590396,0.0143930712293858,0.140164238271197,0.101287263548687,0.0749928491599856,0.158168260468472,0,0.0982785003432691,0.11325277676225,0.0583076033761863,0.0975988022305132,0.0612585261510146,0,0.790895631020353,0.699651832252571
TARGET.20.PANPKN.09A,0.0880197358160773,0.162136995740499,0.0678992998695569,0.0385191087475929,0.0674668797821135,0.13687152643679,0.0280242801841062,0.117319605037624,0.077571394758098,0.0599342940837066,0.0437831805596048,0.112453698984231,0,0.549039103098187,0.844250609405147
TARGET.20.PAWMLA.09A,0.0680990748217526,0.0592984237321414,0.0966477416183525,0.125428060918975,0.0290381709653494,0.153721154402405,0.015835772533583,0.0978962261784485,0.113143901780204,0.0539905113091005,0.0927733858391137,0.0941275759005749,0,0.634037253452281,0.796407792276715
TARGET.20.PAXGTM.09A,0.0549686676939358,0.0287445470430044,0.156199121673096,0.177206537207281,0.0880929447166712,0,0.074725667839331,0,0.125299527604916,0.0687273528057884,0.167984678073003,0.0580509553429725,0,0.598063589142227,0.826013620466725
TARGET.20.PATJSP.09A,0.0774623505598101,0.0909915444768502,0.100529749660151,0.0728459667770843,0.0879278602279423,0.17461014596307,0.0394661204599447,0.0941797906129472,0.103204830233874,0.0533985980511864,0.0416989039154746,0.0636841390616645,0,0.790997699856844,0.70051130278313
TARGET.20.PAUYCA.09A,0.0658374249583281,0.0812969461037305,0.128383907503941,0.133851977496464,0.111740179013621,0.159924016611883,0.0191847290744715,0.0149013106113119,0.0679368058340915,0.0322558346062209,0.0975399725707053,0.0871468956152305,0,0.714217040904425,0.752114211552258
TARGET.20.PAXBXI.09A,0.040240878748573,0.0985431970695747,0.0821864289248205,0.173113746822375,0.0667964167770431,0,0.0413049979379499,0.0457751576117206,0.111433178000429,0.0889969313053792,0.130187172688991,0.121421894113144,0,0.627932433737489,0.813597355106652
TARGET.20.PARFXF.09A,0,0.103643754347166,0.208726806053223,0.124907579568386,0.1743899593402,0,0.0238266183810081,0.0261440179496467,0.130549864710218,0.0477187276923652,0.0449628769166429,0.115129795041144,0,0.474679165922592,0.8890012608367
TARGET.20.PANAEV.09A,0.00851977398825404,0.213684202689162,0.0473234814622742,0.0898315672222602,0.0700635986570964,0,0.128427738736189,0.133662343617238,0.0788302625978446,0.0863252583325221,0.0582682950554053,0.0850634776417549,0,0.627387457536004,0.81213270902254
