subset,n_tcr,frac_expanded,clonality
GZMB CD8 T,252,0.503968253968254,0.04682447861331751
GZMK CD8 T,342,0.2719298245614035,0.021236692450875116
GZMB NK,21,0.3333333333333333,0.005749463387901721
Treg,107,0.056074766355140186,0.0015134550573598915
Memory CD8 T,106,0.03773584905660377,0.0007734283200637737
Naïve CD4 T,1144,0.017482517482517484,0.00042760222177340435
Memory CD4 T,446,0.008968609865470852,0.0001416206866481362
Naïve CD8 T,846,0.00591016548463357,0.0001351151705628606
GZMB DNT,2,0.0,0.0
GZMK NK,2,0.0,0.0
MAIT,56,0.03571428571428571,0.0
Proliferating T,26,0.07692307692307693,-2.220446049250313e-16
