subset,expanded,gene,mean,pct
GZMB CD8 T,expanded,CD96,0.52560455,0.2755905511811024
GZMB CD8 T,expanded,TIGIT,0.20922889,0.11023622047244094
GZMB CD8 T,expanded,CD226,0.25970235,0.13385826771653545
GZMB CD8 T,expanded,PDCD1,0.064691275,0.031496062992125984
GZMB CD8 T,expanded,HAVCR2,0.14603978,0.07086614173228346
GZMB CD8 T,expanded,LAG3,0.6032851,0.31496062992125984
GZMB CD8 T,expanded,TOX,0.19665453,0.10236220472440945
GZMB CD8 T,unexpanded,CD96,0.6395323,0.336
GZMB CD8 T,unexpanded,TIGIT,0.3531765,0.176
GZMB CD8 T,unexpanded,CD226,0.30381113,0.168
GZMB CD8 T,unexpanded,PDCD1,0.18031655,0.096
GZMB CD8 T,unexpanded,HAVCR2,0.10802767,0.056
GZMB CD8 T,unexpanded,LAG3,0.37891307,0.2
GZMB CD8 T,unexpanded,TOX,0.3410152,0.184
GZMB DNT,unexpanded,CD96,0.0,0.0
GZMB DNT,unexpanded,TIGIT,0.0,0.0
GZMB DNT,unexpanded,CD226,1.7123868,1.0
GZMB DNT,unexpanded,PDCD1,0.0,0.0
GZMB DNT,unexpanded,HAVCR2,0.0,0.0
GZMB DNT,unexpanded,LAG3,0.72494465,0.5
GZMB DNT,unexpanded,TOX,0.0,0.0
GZMB NK,expanded,CD96,0.0,0.0
GZMB NK,expanded,TIGIT,0.86681175,0.42857142857142855
GZMB NK,expanded,CD226,0.26875073,0.14285714285714285
GZMB NK,expanded,PDCD1,0.0,0.0
GZMB NK,expanded,HAVCR2,0.0,0.0
GZMB NK,expanded,LAG3,0.0,0.0
GZMB NK,expanded,TOX,0.24069555,0.14285714285714285
GZMB NK,unexpanded,CD96,0.53378713,0.2857142857142857
GZMB NK,unexpanded,TIGIT,0.5886912,0.2857142857142857
GZMB NK,unexpanded,CD226,0.25774625,0.14285714285714285
GZMB NK,unexpanded,PDCD1,0.10074807,0.07142857142857142
GZMB NK,unexpanded,HAVCR2,0.1196879,0.07142857142857142
GZMB NK,unexpanded,LAG3,0.22485353,0.07142857142857142
GZMB NK,unexpanded,TOX,0.42479658,0.21428571428571427
GZMK CD8 T,expanded,CD96,0.64398706,0.3010752688172043
