subset,gene,mean,pct
GZMB CD8 T,CD96,0.51960665,0.257396449704142
GZMB CD8 T,TIGIT,0.282093,0.13609467455621302
GZMB CD8 T,CD226,0.27973157,0.13757396449704143
GZMB CD8 T,PDCD1,0.09107742,0.047337278106508875
GZMB CD8 T,HAVCR2,0.08620963,0.042899408284023666
GZMB CD8 T,LAG3,0.39143395,0.1997041420118343
GZMB CD8 T,TOX,0.2273361,0.11390532544378698
GZMB DNT,CD96,0.6609744,0.3183023872679045
GZMB DNT,TIGIT,0.088865854,0.04509283819628647
GZMB DNT,CD226,0.30708537,0.15384615384615385
GZMB DNT,PDCD1,0.039678056,0.021220159151193633
GZMB DNT,HAVCR2,0.023028295,0.013262599469496022
GZMB DNT,LAG3,0.47318542,0.23342175066312998
GZMB DNT,TOX,0.076557264,0.03978779840848806
GZMB NK,CD96,0.5614588,0.2754863813229572
GZMB NK,TIGIT,0.36835444,0.18521400778210118
GZMB NK,CD226,0.3664687,0.1859922178988327
GZMB NK,PDCD1,0.011817395,0.0062256809338521405
GZMB NK,HAVCR2,0.32925105,0.16186770428015565
GZMB NK,LAG3,0.09159074,0.045136186770428015
GZMB NK,TOX,0.26912054,0.13929961089494164
GZMK CD8 T,CD96,0.64634335,0.3053040103492885
GZMK CD8 T,TIGIT,0.51861525,0.24579560155239327
GZMK CD8 T,CD226,0.0810228,0.042690815006468305
GZMK CD8 T,PDCD1,0.16207238,0.08020698576972833
GZMK CD8 T,HAVCR2,0.018038478,0.01034928848641656
GZMK CD8 T,LAG3,0.44208497,0.2147477360931436
GZMK CD8 T,TOX,0.36341462,0.17723156532988357
GZMK NK,CD96,0.79473174,0.4258373205741627
GZMK NK,TIGIT,0.38749993,0.20574162679425836
GZMK NK,CD226,0.29425478,0.1674641148325359
GZMK NK,PDCD1,0.0,0.0
GZMK NK,HAVCR2,0.3090554,0.18181818181818182
GZMK NK,LAG3,0.016060777,0.009569377990430622
GZMK NK,TOX,0.3347941,0.19138755980861244
MAIT,CD96,0.8592567,0.4439461883408072
MAIT,TIGIT,0.018590465,0.013452914798206279
MAIT,CD226,0.13451838,0.07174887892376682
MAIT,PDCD1,0.036252256,0.026905829596412557
MAIT,HAVCR2,0.0100443885,0.008968609865470852
MAIT,LAG3,0.42678782,0.21973094170403587
MAIT,TOX,0.041042507,0.026905829596412557
Memory CD4 T,CD96,0.5816202,0.3056179775280899
Memory CD4 T,TIGIT,0.13519067,0.07191011235955057
Memory CD4 T,CD226,0.21756712,0.12808988764044943
Memory CD4 T,PDCD1,0.09334888,0.058426966292134834
Memory CD4 T,HAVCR2,0.015713893,0.008988764044943821
Memory CD4 T,LAG3,0.060839016,0.0348314606741573
Memory CD4 T,TOX,0.08222548,0.048314606741573035
Memory CD8 T,CD96,0.60620487,0.30985915492957744
Memory CD8 T,TIGIT,0.1534167,0.07605633802816901
Memory CD8 T,CD226,0.121406294,0.0676056338028169
Memory CD8 T,PDCD1,0.049236465,0.030985915492957747
Memory CD8 T,HAVCR2,0.03519299,0.01971830985915493
Memory CD8 T,LAG3,0.12551646,0.07042253521126761
Memory CD8 T,TOX,0.14005002,0.08169014084507042
Naïve CD4 T,CD96,0.47023684,0.21701514059120403
Naïve CD4 T,TIGIT,0.03445699,0.015501081470800288
Naïve CD4 T,CD226,0.093964964,0.04542177361211247
Naïve CD4 T,PDCD1,0.012376514,0.0061283345349675555
Naïve CD4 T,HAVCR2,0.010176379,0.005046863734679163
Naïve CD4 T,LAG3,0.009129771,0.004325883201153569
Naïve CD4 T,TOX,0.055333428,0.027036770007209804
Naïve CD8 T,CD96,0.65037316,0.31841046277665996
Naïve CD8 T,TIGIT,0.023195766,0.01056338028169014
Naïve CD8 T,CD226,0.08939076,0.047283702213279676
Naïve CD8 T,PDCD1,0.00373996,0.002012072434607646
Naïve CD8 T,HAVCR2,0.015967794,0.009557344064386318
Naïve CD8 T,LAG3,0.018708022,0.009054325955734407
Naïve CD8 T,TOX,0.03245488,0.017605633802816902
Proliferating T,CD96,0.7613725,0.5185185185185185
Proliferating T,TIGIT,0.42165256,0.2716049382716049
Proliferating T,CD226,0.202558,0.1728395061728395
Proliferating T,PDCD1,0.07157486,0.09876543209876543
Proliferating T,HAVCR2,0.23045929,0.18518518518518517
Proliferating T,LAG3,0.45617017,0.2962962962962963
Proliferating T,TOX,0.2732603,0.2345679012345679
Treg,CD96,0.42657682,0.21649484536082475
Treg,TIGIT,0.837913,0.37628865979381443
Treg,CD226,0.07360404,0.041237113402061855
Treg,PDCD1,0.107824445,0.05670103092783505
Treg,HAVCR2,0.05549924,0.030927835051546393
Treg,LAG3,0.029323341,0.015463917525773196
Treg,TOX,0.24851564,0.11855670103092783
