SampleID,group,n_tcr,clonality,frac_expanded
0_HealthyBM1,HBM,440,0.003108739457935772,0.045454545454545456
0_HealthyBM2,HBM,506,0.006206623615960916,0.09090909090909091
AML647,AML,43,0.06366850194632978,0.4883720930232558
AML948,AML,35,0.0,0.0
AML3082,AML,52,-2.220446049250313e-16,0.0
AML3371,AML,35,0.0,0.0
AML4000,AML,39,0.005109029194196868,0.10256410256410256
AML4062,AML,417,0.018234472811160307,0.11990407673860912
AML4068,AML,81,0.06260105523227844,0.5555555555555556
AML4090,AML,140,-4.440892098500626e-16,0.0
AML4102,AML,118,0.002640694484323358,0.06779661016949153
AML4127,AML,382,0.025304508570344386,0.11780104712041885
AML4192,AML,125,0.001257501251230475,0.032
AML4232,AML,515,0.0004762425222972766,0.015533980582524271
AML4239,AML,83,-4.440892098500626e-16,0.0
AML4264,AML,129,0.0018007441469160002,0.046511627906976744
AML4271,AML,162,0.0018228177708079496,0.04938271604938271
AML4304,AML,31,0.0,0.0
