SampleID,group,subset,n,clonality
0_HealthyBM1,HBM,GZMK CD8 T,40,0.032255020619345265
0_HealthyBM1,HBM,Memory CD4 T,55,0.0
0_HealthyBM1,HBM,Naïve CD4 T,211,0.0003402798029574772
0_HealthyBM1,HBM,Naïve CD8 T,91,-2.220446049250313e-16
0_HealthyBM2,HBM,GZMB CD8 T,28,0.11240921248925229
0_HealthyBM2,HBM,GZMK CD8 T,47,0.010878532177826639
0_HealthyBM2,HBM,Memory CD4 T,94,0.0008940836801738516
0_HealthyBM2,HBM,Naïve CD4 T,190,0.0022415237039854485
0_HealthyBM2,HBM,Naïve CD8 T,106,-2.220446049250313e-16
AML647,AML,GZMB CD8 T,16,0.0731203125901444
AML647,AML,GZMK CD8 T,17,0.0307926124209561
AML948,AML,Naïve CD4 T,15,0.0
AML3082,AML,Naïve CD4 T,22,3.3306690738754696e-16
AML4062,AML,GZMB CD8 T,66,0.10676775488971602
AML4062,AML,GZMK CD8 T,23,0.02472095857497425
AML4062,AML,Memory CD4 T,29,4.440892098500626e-16
AML4062,AML,Naïve CD4 T,138,0.0
AML4062,AML,Naïve CD8 T,134,-2.220446049250313e-16
AML4068,AML,GZMB CD8 T,50,0.06274018714591001
AML4090,AML,Memory CD4 T,23,0.0
AML4090,AML,Naïve CD4 T,45,0.0
AML4090,AML,Naïve CD8 T,44,-2.220446049250313e-16
AML4102,AML,GZMK CD8 T,16,0.008162653861964908
AML4102,AML,Naïve CD4 T,41,0.002472145027061834
AML4102,AML,Naïve CD8 T,28,0.003987718221684422
AML4127,AML,GZMB CD8 T,19,0.08468403539732816
AML4127,AML,GZMK CD8 T,74,0.08829475209489501
AML4127,AML,Memory CD4 T,61,2.220446049250313e-16
AML4127,AML,Naïve CD4 T,99,-2.220446049250313e-16
AML4127,AML,Naïve CD8 T,91,-2.220446049250313e-16
AML4192,AML,Memory CD4 T,16,0.0
AML4192,AML,Naïve CD4 T,66,2.220446049250313e-16
AML4192,AML,Naïve CD8 T,15,0.0
AML4232,AML,Memory CD4 T,45,0.0
AML4232,AML,Naïve CD4 T,190,-4.440892098500626e-16
AML4232,AML,Naïve CD8 T,231,0.0003057830894883651
AML4232,AML,Treg,15,0.0
AML4239,AML,Memory CD4 T,19,0.0
AML4239,AML,Naïve CD4 T,26,-2.220446049250313e-16
AML4239,AML,Naïve CD8 T,16,0.0
AML4264,AML,GZMK CD8 T,16,0.02038669020096595
AML4264,AML,Memory CD4 T,16,0.0
AML4264,AML,Naïve CD4 T,36,-2.220446049250313e-16
AML4264,AML,Naïve CD8 T,30,1.1102230246251565e-16
AML4271,AML,GZMK CD8 T,26,0.008368429713478176
AML4271,AML,Memory CD4 T,41,0.0
AML4271,AML,Naïve CD4 T,39,4.440892098500626e-16
AML4271,AML,Naïve CD8 T,24,1.1102230246251565e-16
