SampleID,group,n,clonality,frac_exp
0_HealthyBM1,HBM,147,0.01057244667836632,0.12244897959183673
0_HealthyBM2,HBM,193,0.016063198715758675,0.15544041450777202
AML647,AML,35,0.06265087079633702,0.4857142857142857
AML4062,AML,233,0.03161143078236872,0.2017167381974249
AML4068,AML,66,0.07408453018169436,0.6515151515151515
AML4090,AML,62,2.220446049250313e-16,0.0
AML4102,AML,62,0.004287347083908211,0.0967741935483871
AML4127,AML,196,0.04802431005287355,0.20408163265306123
AML4232,AML,261,0.0010455016430920283,0.03065134099616858
AML4239,AML,30,1.1102230246251565e-16,0.0
AML4264,AML,65,0.00405364358309912,0.09230769230769231
AML4271,AML,66,0.003980890196727094,0.09090909090909091
