SampleID,group,n,clonality,frac_exp
0_HealthyBM1,HBM,436,0.0031415387115889537,0.045871559633027525
0_HealthyBM2,HBM,498,0.006319243943211372,0.09236947791164658
AML3082,AML,50,1.1102230246251565e-16,0.0
AML4062,AML,411,0.016561606389925876,0.11435523114355231
AML4068,AML,79,0.06393088698770832,0.569620253164557
AML4090,AML,138,0.0,0.0
AML4102,AML,118,0.002640694484323136,0.06779661016949153
AML4127,AML,376,0.023063908996423743,0.11436170212765957
AML4192,AML,119,0.0013333210138760654,0.03361344537815126
AML4232,AML,513,0.0004783809073265477,0.015594541910331383
AML4239,AML,82,0.0,0.0
AML4264,AML,129,0.0018007441469160002,0.046511627906976744
AML4271,AML,160,0.0018494687829315737,0.05
