group,Vgene,n,frac
AML,TRAV1-1,18,0.014778325123152709
AML,TRAV1-2,48,0.03940886699507389
AML,TRAV10,27,0.022167487684729065
AML,TRAV12-1,46,0.03776683087027915
AML,TRAV12-2,55,0.0451559934318555
AML,TRAV12-3,36,0.029556650246305417
AML,TRAV13-1,67,0.055008210180623976
AML,TRAV13-2,20,0.016420361247947456
AML,TRAV14/DV4,49,0.040229885057471264
AML,TRAV16,18,0.014778325123152709
AML,TRAV17,38,0.031198686371100164
AML,TRAV19,52,0.042692939244663386
AML,TRAV2,22,0.0180623973727422
AML,TRAV20,26,0.021346469622331693
AML,TRAV21,73,0.05993431855500821
AML,TRAV22,7,0.005747126436781609
AML,TRAV23/DV6,26,0.021346469622331693
AML,TRAV24,13,0.010673234811165846
AML,TRAV25,13,0.010673234811165846
AML,TRAV26-1,42,0.034482758620689655
AML,TRAV26-2,19,0.015599343185550082
AML,TRAV27,46,0.03776683087027915
AML,TRAV29/DV5,73,0.05993431855500821
AML,TRAV3,23,0.018883415435139574
AML,TRAV30,18,0.014778325123152709
AML,TRAV34,3,0.0024630541871921183
AML,TRAV35,30,0.024630541871921183
AML,TRAV36/DV7,11,0.0090311986863711
AML,TRAV38-1,37,0.030377668308702793
AML,TRAV38-2/DV8,47,0.03858784893267652
AML,TRAV39,9,0.007389162561576354
AML,TRAV4,27,0.022167487684729065
AML,TRAV41,18,0.014778325123152709
AML,TRAV5,32,0.026272577996715927
AML,TRAV6,10,0.008210180623973728
AML,TRAV8-1,9,0.007389162561576354
AML,TRAV8-2,5,0.004105090311986864
AML,TRAV8-3,16,0.013136288998357963
AML,TRAV8-4,27,0.022167487684729065
AML,TRAV8-6,7,0.005747126436781609
AML,TRAV9-2,55,0.0451559934318555
HBM,TRAV1-1,3,0.010676156583629894
HBM,TRAV1-2,16,0.05693950177935943
HBM,TRAV10,13,0.046263345195729534
HBM,TRAV12-1,12,0.042704626334519574
HBM,TRAV12-2,6,0.021352313167259787
HBM,TRAV12-3,6,0.021352313167259787
HBM,TRAV13-1,19,0.06761565836298933
HBM,TRAV13-2,9,0.03202846975088968
HBM,TRAV14/DV4,7,0.02491103202846975
HBM,TRAV16,4,0.014234875444839857
HBM,TRAV17,13,0.046263345195729534
HBM,TRAV19,7,0.02491103202846975
HBM,TRAV2,4,0.014234875444839857
HBM,TRAV20,5,0.017793594306049824
HBM,TRAV21,19,0.06761565836298933
HBM,TRAV22,4,0.014234875444839857
HBM,TRAV23/DV6,7,0.02491103202846975
HBM,TRAV24,2,0.0071174377224199285
HBM,TRAV25,5,0.017793594306049824
HBM,TRAV26-1,5,0.017793594306049824
HBM,TRAV26-2,9,0.03202846975088968
HBM,TRAV27,12,0.042704626334519574
HBM,TRAV29/DV5,19,0.06761565836298933
HBM,TRAV3,3,0.010676156583629894
HBM,TRAV30,1,0.0035587188612099642
HBM,TRAV34,1,0.0035587188612099642
HBM,TRAV35,1,0.0035587188612099642
HBM,TRAV36/DV7,3,0.010676156583629894
HBM,TRAV38-1,6,0.021352313167259787
HBM,TRAV38-2/DV8,18,0.06405693950177936
HBM,TRAV39,1,0.0035587188612099642
HBM,TRAV4,3,0.010676156583629894
HBM,TRAV41,2,0.0071174377224199285
HBM,TRAV5,7,0.02491103202846975
HBM,TRAV6,1,0.0035587188612099642
HBM,TRAV8-1,4,0.014234875444839857
HBM,TRAV8-2,1,0.0035587188612099642
HBM,TRAV8-4,3,0.010676156583629894
HBM,TRAV8-6,2,0.0071174377224199285
HBM,TRAV9-2,18,0.06405693950177936
