gene,mean_lfc,n_up,n_dn,frac_AMLsamp_gt_HBM
JUN,1.0264807,12,0,0.8571428571428571
CD69,0.64961576,12,0,0.9285714285714286
NFKBIA,0.64544845,11,1,0.8571428571428571
KLF6,0.6069061,12,0,0.8571428571428571
IL32,0.6068646,10,0,0.75
PPP1R15A,0.5770558,11,0,0.6428571428571429
IER2,0.5610432,12,0,0.8571428571428571
TUBA1A,0.5097094,12,0,0.8928571428571429
CCNL1,0.4850242,12,0,0.7857142857142857
EIF4A2,0.46523055,12,0,0.9285714285714286
RBM39,0.4578853,12,0,0.5714285714285714
FOSB,0.45658877,12,0,0.7857142857142857
NFKBIZ,0.45648918,12,0,1.0
SRSF7,0.45479333,11,0,0.75
YPEL5,0.44404924,12,0,0.8214285714285714
HSP90AA1,0.4285591,11,0,0.8214285714285714
HSP90AB1,0.42799604,12,0,1.0
EIF4A1,0.41227174,12,0,0.8928571428571429
BTG2,0.40568602,12,0,0.8214285714285714
ITM2A,0.39632463,12,0,1.0
GADD45B,0.39373514,10,0,0.7142857142857143
ATP5MG,0.38857833,12,0,0.8928571428571429
MTRNR2L12,0.38042054,11,0,0.7857142857142857
SAT1,0.3678029,11,0,0.9285714285714286
HSPA5,0.36700812,11,0,0.6428571428571429
SRSF2,0.36355123,12,0,0.8928571428571429
LDHA,0.35997212,11,0,0.8928571428571429
UBC,0.35554862,11,0,0.6785714285714286
CSRNP1,0.35503522,11,0,0.6428571428571429
IFI6,0.3505675,11,0,0.7857142857142857
TOMM7,0.34493586,12,0,0.7857142857142857
AC020916.1,0.34454393,10,0,0.6428571428571429
DDX3X,0.33903322,10,0,0.6785714285714286
ZFAS1,0.3385811,12,0,0.8214285714285714
CDC42,0.33568478,12,0,0.9285714285714286
SF3B1,0.33535185,12,0,0.6785714285714286
TMSB10,0.33242813,12,0,0.75
DDX5,0.32744017,10,1,0.7142857142857143
MYADM,0.32672438,12,0,0.9285714285714286
HMGB1,0.3259722,10,0,0.8214285714285714
MBNL1,0.32244793,10,0,0.7142857142857143
HNRNPA2B1,0.3219192,12,0,0.8214285714285714
SNRPD2,0.32093093,12,0,0.8928571428571429
IRF1,0.3204532,11,0,0.32142857142857145
RNF213,0.31504884,12,0,0.6071428571428571
EML4,0.31346282,11,0,0.8928571428571429
HNRNPC,0.3129286,12,0,0.8571428571428571
SRGN,0.31217963,10,1,0.2857142857142857
COX7C,0.30912265,11,1,0.8214285714285714
DNAJA1,0.30836597,12,0,0.8928571428571429
ITGA4,0.30804196,11,0,0.8571428571428571
EGR1,0.30296662,12,0,0.9285714285714286
TRBC1,0.3020141,11,0,0.8928571428571429
ISG15,0.30050287,11,0,0.75
RSRP1,0.30046877,11,0,0.6785714285714286
UBA52,0.29772407,11,1,0.8571428571428571
TUBA1B,0.2957159,10,0,0.8214285714285714
ATP5F1E,0.29462513,11,0,0.75
XAF1,0.29415682,12,0,0.6071428571428571
EIF2S3,0.29372275,12,0,0.8571428571428571
STAT1,0.29320294,12,0,0.5714285714285714
CYCS,0.29279268,11,0,0.8928571428571429
GAS5,0.29259142,12,0,0.75
SUB1,0.2890531,11,0,0.8928571428571429
SERF2,0.28884426,12,0,0.8571428571428571
LCP1,0.28541204,10,0,0.35714285714285715
SRRM1,0.28452882,12,0,0.8214285714285714
UQCRB,0.28423592,11,0,0.8928571428571429
DDX24,0.28376773,10,0,0.75
PMAIP1,0.2821065,10,0,0.9285714285714286
OST4,0.2778727,11,0,0.8928571428571429
TUBB4B,0.27345073,10,0,0.9642857142857143
EZR,0.27290893,12,0,0.9285714285714286
OGT,0.27177522,12,0,0.75
SLC2A3,0.2708791,10,0,0.6071428571428571
NEAT1,0.26964584,10,0,0.6428571428571429
COX6C,0.2691277,12,0,0.7857142857142857
SRRM2,0.2687972,12,0,0.8214285714285714
COX6B1,0.26807594,11,0,0.8928571428571429
BRD2,0.2680024,10,1,0.7857142857142857
WIPF1,0.26746023,10,0,0.6071428571428571
COX7A2,0.26709944,12,0,0.8928571428571429
SBDS,0.26654276,11,0,0.7857142857142857
MACF1,0.26393104,10,0,0.4642857142857143
SON,0.26369345,11,0,0.6785714285714286
IFRD1,0.26043138,11,0,0.8214285714285714
DUSP2,0.25774065,10,2,0.6071428571428571
SP100,0.25703382,10,0,0.8214285714285714
COX6A1,0.2541252,12,0,0.8928571428571429
EIF5A,0.25095913,12,0,0.75
ADGRE5,0.25027484,10,0,0.39285714285714285
PRRC2C,0.2489407,11,0,0.7142857142857143
MX1,0.24793343,11,0,0.8571428571428571
TUBB,0.24489917,10,0,0.7857142857142857
STK17B,0.24369769,11,0,0.75
ARID4B,0.24324417,10,0,0.6785714285714286
UQCRH,0.24307387,12,0,0.9285714285714286
AL138963.4,0.24049564,10,0,0.6785714285714286
HNRNPA3,0.24043965,10,0,0.7857142857142857
BTN3A2,0.24032724,11,0,0.8214285714285714
NFKB1,0.24031317,11,0,0.6428571428571429
CSDE1,0.23819941,11,0,0.7857142857142857
CLEC2B,0.23701479,10,0,0.75
SMG1,0.2360266,11,0,0.75
SEPTIN7,0.23492587,10,0,0.5357142857142857
TAF1D,0.23437734,12,0,0.8928571428571429
ELF1,0.23351519,10,0,0.5357142857142857
DDX39A,0.2326922,11,0,0.9285714285714286
CALR,0.23266597,10,1,0.5714285714285714
