cl,CD3D,CD3E,CD8A,CD8B,CD4,IL7R,CCR7,SELL,TCF7,GZMK,GZMB,GZMA,GNLY,PRF1,NKG7,KLRD1,NCAM1,FCGR3A,SLC4A10,KLRB1,TRAV1-2,FOXP3,IL2RA,CTLA4,MKI67,CD14,LYZ
0,0.16413394,0.8952539,0.3500647,0.061252333,0.008682287,0.043748915,0.0014130893,0.47710383,0.14517662,0.06597197,3.0461657,2.5491104,4.808864,3.339578,4.6317825,2.0934143,0.36757758,2.1185842,0.0059214532,1.9825249,0.0018982777,0.0019603486,0.0023726986,0.003444627,0.034745872,0.0017497789,0.1822032
1,1.7663127,2.4730241,0.17195344,0.02568875,0.005905002,1.2432041,0.033088606,0.8078789,0.42931283,0.8059025,1.4804575,2.1476383,3.4984229,2.107525,4.1585255,1.5506482,0.050675932,0.80759525,0.051575664,2.083127,0.0053534983,0.0,0.0,0.048148632,0.027779501,0.0035717513,0.17025338
2,1.7732735,2.514204,0.07431713,0.07222578,0.57336277,2.529174,0.38911283,0.95503616,1.6146889,0.29692373,0.010316095,0.33967036,0.11977578,0.17956473,0.16367474,0.011580857,0.0,0.004747412,0.0071565444,0.8510622,0.057010677,0.0145203015,0.107089825,0.08837065,0.0162019,0.0040057832,0.14210297
3,1.6333097,2.4614015,0.11052302,0.14330861,0.4572767,1.7108591,1.2634199,1.6943647,1.9979734,0.037960425,0.009817417,0.058152646,0.0271425,0.10331463,0.028786374,0.0,0.0061772875,0.0,0.0,0.044609677,0.032018103,0.00827724,0.02828072,0.051353004,0.010395958,0.010701545,0.1899659
4,1.834776,2.4707396,0.0851472,0.06422133,0.5737423,0.8710679,0.52253187,1.3371449,1.0270926,0.36019906,0.010565683,0.265035,0.0759108,0.28459385,0.1778934,0.0,0.0,0.0066774087,0.0,0.3691254,0.05167877,1.1497142,0.31351057,0.8074329,0.040387098,0.0,0.15353525
5,1.7492499,2.6859674,0.36348456,0.4739215,0.42285204,1.850958,1.1278145,1.7681674,2.0095413,0.082178496,0.0043259272,0.051545203,0.030219808,0.16603176,0.08924137,0.008862427,0.0,0.01689064,0.0059897234,0.11535418,0.07252068,0.032155175,0.04290055,0.021086788,0.009222207,0.010664748,0.18384206
6,1.7212812,2.2764177,1.8153262,1.2718651,0.039210204,0.41343853,0.008829189,0.4650786,0.31896818,0.14010803,2.1528072,2.2008345,3.65927,2.5370905,4.416296,1.4420553,0.10580292,1.1924641,0.0059082946,0.7984149,0.043139905,0.0,0.0,0.026963798,0.013508775,0.0,0.090378515
7,0.35829756,0.71673137,0.45685428,0.16589536,0.078235574,0.4894375,0.024605999,0.51550645,0.34826905,0.21901219,1.5320423,0.996276,3.0210228,2.6657956,2.795594,1.4232506,0.37805453,1.4667333,0.02008621,0.41971865,0.020432938,0.0,0.0,0.01741145,0.0087407,0.0,0.3311354
8,1.9934993,2.6865432,2.0376382,2.4181907,0.007083589,1.689731,1.3026935,1.5567931,1.8419197,0.048165992,0.0033859843,0.034133207,0.014674946,0.20868817,0.13744284,0.008706208,0.0012144827,0.0035537037,0.0,0.0112991,0.11270755,0.0,0.0,0.010483018,0.019618757,0.0035911233,0.21009357
9,1.7264148,2.4527166,0.3052211,0.3479621,0.37691343,1.7459772,1.3138473,1.6218467,1.9587746,0.0,0.0,0.029334323,0.107300274,0.12339597,0.04185003,0.0,0.0,0.0,0.0,0.0,0.0,0.070640475,0.06298183,0.06743134,0.0,0.0,0.14604956
10,1.6871725,2.5593786,0.051937778,0.068428196,0.51570725,1.8208749,1.3139477,1.7264107,2.1625688,0.041008588,0.006546986,0.04034671,0.025624232,0.09468666,0.026006775,0.008141137,0.0,0.0033559327,0.0,0.074428916,0.028453242,0.009588119,0.017810492,0.075576045,0.010948214,0.009094262,0.21419361
11,1.7633811,2.5494807,1.9243913,1.4783324,0.050191402,0.74185026,0.08946392,0.38570562,0.8054731,1.9740819,0.266738,1.9903067,0.7593704,0.94225544,3.1298673,0.6564246,0.011162192,0.15254517,0.0023093452,0.51531625,0.076840274,0.004703174,0.0029336421,0.04697734,0.023996316,0.002029872,0.13256203
12,1.8128531,2.5965176,0.8698293,0.23873349,0.06157561,2.8961878,0.06563838,0.2516664,0.91969293,2.4222527,0.04371375,2.2310934,0.81104624,1.6925344,3.0039375,0.38077486,0.04511299,0.007666518,0.8964027,2.9056828,1.0652077,0.0,0.0061324732,0.0062957434,0.010984155,0.0,0.14397596
