SampleID,subset,n,frac,group
0_HealthyBM1,GZMB CD8 T,98,0.06049382716049383,HBM
0_HealthyBM1,GZMB DNT,29,0.017901234567901235,HBM
0_HealthyBM1,GZMB NK,597,0.3685185185185185,HBM
0_HealthyBM1,GZMK CD8 T,82,0.050617283950617285,HBM
0_HealthyBM1,GZMK NK,76,0.04691358024691358,HBM
0_HealthyBM1,MAIT,29,0.017901234567901235,HBM
0_HealthyBM1,Memory CD4 T,93,0.05740740740740741,HBM
0_HealthyBM1,Memory CD8 T,18,0.011111111111111112,HBM
0_HealthyBM1,Naïve CD4 T,372,0.22962962962962963,HBM
0_HealthyBM1,Naïve CD8 T,192,0.11851851851851852,HBM
0_HealthyBM1,Proliferating T,13,0.008024691358024692,HBM
0_HealthyBM1,Treg,21,0.012962962962962963,HBM
0_HealthyBM2,GZMB CD8 T,216,0.07091267235718976,HBM
0_HealthyBM2,GZMB DNT,189,0.062048588312541036,HBM
0_HealthyBM2,GZMB NK,252,0.08273145108338804,HBM
0_HealthyBM2,GZMK CD8 T,274,0.08995403808273145,HBM
0_HealthyBM2,GZMK NK,27,0.00886408404464872,HBM
0_HealthyBM2,MAIT,101,0.03315824031516743,HBM
0_HealthyBM2,Memory CD4 T,334,0.10965200262639527,HBM
0_HealthyBM2,Memory CD8 T,91,0.029875246224556794,HBM
0_HealthyBM2,Naïve CD4 T,957,0.31418253447143796,HBM
0_HealthyBM2,Naïve CD8 T,533,0.17498358502954695,HBM
0_HealthyBM2,Proliferating T,18,0.005909389363099146,HBM
0_HealthyBM2,Treg,54,0.01772816808929744,HBM
AML1355,GZMB CD8 T,3,0.04411764705882353,AML
AML1355,GZMB DNT,4,0.058823529411764705,AML
AML1355,GZMB NK,6,0.08823529411764706,AML
AML1355,GZMK CD8 T,10,0.14705882352941177,AML
AML1355,GZMK NK,3,0.04411764705882353,AML
AML1355,Memory CD4 T,3,0.04411764705882353,AML
AML1355,Memory CD8 T,5,0.07352941176470588,AML
AML1355,Naïve CD4 T,14,0.20588235294117646,AML
AML1355,Naïve CD8 T,18,0.2647058823529412,AML
AML1355,Proliferating T,2,0.029411764705882353,AML
AML3082,GZMB CD8 T,6,0.04081632653061224,AML
AML3082,GZMB DNT,16,0.10884353741496598,AML
AML3082,GZMB NK,21,0.14285714285714285,AML
AML3082,GZMK CD8 T,10,0.06802721088435375,AML
AML3082,GZMK NK,12,0.08163265306122448,AML
AML3082,MAIT,1,0.006802721088435374,AML
AML3082,Memory CD4 T,2,0.013605442176870748,AML
AML3082,Memory CD8 T,13,0.08843537414965986,AML
