"term","NES","padj","size"
"rna splicing via transesterification reactions",1.69053202102771,4.30208028258025e-11,251
"rna splicing",1.57532119794013,1.68463170294506e-10,367
"mrna processing",1.50526940075446,1.16143700409414e-08,393
"response to peptide",1.45615096492773,6.49335133245879e-08,472
"viral process",1.55984258889624,3.35798631107717e-07,272
"regulation of rna splicing",1.70351393550546,5.53429431219274e-07,139
"oxidative phosphorylation",1.69707042222143,5.10392014466847e-06,111
"regulation of mrna processing",1.74471471233897,8.88358328523027e-06,96
"activation of immune response",1.43569998785442,1.32814491420724e-05,345
"viral life cycle",1.57254012973446,1.46095498925765e-05,180
"regulation of mrna splicing via spliceosome",1.78176516249885,1.60502219109333e-05,79
"actin filament organization",1.52548587659874,1.8626484198548e-05,210
"cytokine production",1.40943538442887,1.8626484198548e-05,385
"regulation of mrna metabolic process",1.51490514810379,1.8626484198548e-05,218
"regulation of viral process",1.69732264314413,1.8626484198548e-05,101
"response to virus",1.47273616752872,2.74965873979518e-05,258
"aerobic respiration",1.59878370276798,3.00870452769747e-05,142
"protein rna complex organization",1.55478473520226,5.63129731846554e-05,165
"cytoplasmic translation",1.76440799984125,6.03403926625262e-05,68
"viral genome replication",1.68790308976274,7.88250412198071e-05,89
"negative regulation of viral process",1.81467456345469,8.95621901375742e-05,50
"regulation of viral life cycle",1.73164289515436,9.54212031226132e-05,81
"cellular respiration",1.54637871539017,9.93351371992949e-05,168
"defense response to virus",1.49254316260299,9.93351371992949e-05,195
"regulation of response to biotic stimulus",1.39480011700137,0.00031051451765954,330
"regulation of translation",1.43878351623877,0.000329999682499998,242
"immune response regulating signaling pathway",1.38519577999213,0.000464902462390384,335
"mononuclear cell differentiation",1.40311776288009,0.000490194719857185,306
"atp synthesis coupled electron transport",1.66897397352963,0.000692133441165944,75
"positive regulation of cytokine production",1.41884562128727,0.000692133441165944,245
"translational initiation",1.58737297079022,0.000762149651832143,97
"electron transport chain",1.60474439396523,0.00102273837365882,91
"regulation of viral genome replication",1.72475060504878,0.00102273837365882,59
"actin filament based process",1.36063544265386,0.00111823837443807,321
"alternative mrna splicing via spliceosome",1.71124297905979,0.00111823837443807,54
"leukocyte cell cell adhesion",1.40810433149784,0.00115925215670094,235
"negative regulation of viral genome replication",1.76579502423111,0.00118153196652247,34
"regulation of innate immune response",1.38570272535173,0.00118153196652247,280
"lymphocyte differentiation",1.39162506926003,0.00119099056437108,265
"post transcriptional regulation of gene expression",1.34031105565645,0.00129135830694552,353
"energy derivation by oxidation of organic compounds",1.41703440756194,0.00130609394803927,218
"positive regulation of immune response",1.30801005323229,0.00134269367832116,439
"cell adhesion",1.30074694684947,0.00155391929650217,496
"mitochondrial electron transport cytochrome c to oxygen",1.86596435043806,0.00207059394971254,13
"negative regulation of mrna metabolic process",1.63310840701277,0.00218445755178182,69
"regulation of cell adhesion",1.33377582477653,0.00250539363464729,362
"establishment or maintenance of monopolar cell polarity",1.85112829862823,0.00265642800269341,12
"cell cell adhesion",1.33506558273463,0.00279785371262067,336
"regulation of alternative mrna splicing via spliceosome",1.75496999349184,0.00286428810371185,36
"generation of precursor metabolites and energy",1.36296403431491,0.00329550522605435,289
"negative regulation of molecular function",1.40329317836728,0.00345499286342767,200
"chromatin remodeling",1.30850060915691,0.00352102276431261,402
"immune response regulating cell surface receptor signaling pathway",1.39667599168899,0.00352102276431261,215
"membraneless organelle assembly",1.37404230315335,0.00352102276431261,233
"response to mechanical stimulus",1.5925597785494,0.00352102276431261,82
"supramolecular fiber organization",1.31713531849953,0.00352102276431261,359
"positive regulation of response to biotic stimulus",1.3636792745906,0.00380002127305135,241
"positive regulation of translation",1.57419347059324,0.00380002127305135,90
"response to muscle stretch",1.83226869437939,0.00380002127305135,13
"negative regulation of cytokine production",1.44891343486071,0.00481772142578339,146
"antimicrobial humoral response",-2.01248962127237,0.00502843778497948,26
"heterotypic cell cell adhesion",1.79245808212499,0.0051316152722951,23
"response to type ii interferon",1.59140918126155,0.0051316152722951,71
"smooth muscle cell proliferation",1.64154926424138,0.00519541542753501,59
"leukocyte differentiation",1.30633145045453,0.00521284765604212,353
"regulation of defense response",1.29951381263784,0.00524988344571083,429
"t cell activation",1.31193547486394,0.00534295709362954,354
"cellular response to type ii interferon",1.62446725605874,0.00537603259913458,60
"intrinsic apoptotic signaling pathway",1.394602469965,0.00537603259913458,207
"antigen receptor mediated signaling pathway",1.43257897724654,0.00558171729805245,144
"positive regulation of type i interferon production",1.66487877819973,0.00558171729805245,53
"alpha beta t cell activation",1.44981123374474,0.00582481627892374,133
"t cell differentiation",1.38085974383696,0.00585043463406283,203
"activation of innate immune response",1.39907476965943,0.00660326348751538,194
"negative regulation of mononuclear cell migration",1.81139055118452,0.00668203785229597,16
"polarized epithelial cell differentiation",1.81840408671457,0.00668203785229597,11
"nucleosome organization",1.65064596732662,0.00710229971541677,53
"lymphocyte activation",1.261766574819,0.0071525183466489,490
"cytoplasmic translational initiation",1.65819309196649,0.00738057521322889,40
"spliceosomal complex assembly",1.59501276631586,0.00738057521322889,63
"negative regulation of mapk cascade",1.53229833209199,0.00794849261730011,76
"nuclear transport",1.33675273697574,0.00830508081202071,245
"negative regulation of programmed cell death",1.28011602672428,0.00894670872013105,441
"positive regulation of cell adhesion",1.33915522021401,0.00902341524630171,242
"regulation of translational initiation",1.58527927356675,0.00903486469498621,66
"type i interferon production",1.5197259065113,0.00928037763517992,87
"rna localization",1.40781952703557,0.00951091522510027,165
"establishment of epithelial cell polarity",1.78218627229048,0.0102877297371403,13
"apoptotic signaling pathway",1.29129897637549,0.0108611572721021,357
"locomotion",1.26347414536875,0.011084165816896,461
"regulation of locomotion",1.26752673295479,0.0128605090470407,408
"response to molecule of bacterial origin",1.40082813379186,0.0128605090470407,149
"cortical actin cytoskeleton organization",1.71156433156536,0.0131288105438429,22
"alpha beta t cell differentiation",1.49058756050714,0.0140823904046824,92
"positive regulation of cell population proliferation",1.26669931296139,0.0140823904046824,355
"proton transmembrane transport",1.45638346077345,0.0142579079799403,106
"leukocyte migration",1.3826943023308,0.0142703629660859,159
"hippocampus development",1.64749158063344,0.0146594889494756,37
"negative regulation of transferase activity",1.55591119333758,0.0146594889494756,63
"telencephalon development",1.46186823765712,0.0146594889494756,104
"neural nucleus development",1.64284937311311,0.0152399819753902,32
"regulation of pattern recognition receptor signaling pathway",1.44003814836002,0.0152399819753902,111
"cellular response to calcium ion",1.63922382549449,0.015520031310986,34
"regulation of cell cell adhesion",1.31568350130595,0.0156921811833009,253
"negative regulation of transcription by rna polymerase ii",1.23535493802723,0.0161348183375167,458
"positive regulation of leukocyte cell cell adhesion",1.36053835519663,0.0162758536895121,171
"head development",1.30743291641777,0.01655008950977,287
"positive regulation of hemopoiesis",1.44184784928991,0.01655008950977,116
"positive regulation of defense response",1.30656103170545,0.0166834337233592,276
"mitochondrial electron transport ubiquinol to cytochrome c",1.76453356946583,0.0170278616799386,11
"regulatory ncrna mediated gene silencing",1.47971434037769,0.0180992450237305,87
"mononuclear cell migration",1.47732873847984,0.0181975263693563,99
"protein dna complex organization",1.40396148639676,0.0182935536545483,129
"negative regulation of leukocyte migration",1.70724397581631,0.0183743797746877,25
"negative regulation of erk1 and erk2 cascade",1.65900309232174,0.0190292859826032,26
"circadian regulation of gene expression",1.61077647463742,0.0190637335197656,43
"regulation of lamellipodium organization",1.65770858181966,0.0197961845055213,26
"negative regulation of immune system process",1.31093348804798,0.0201527030091304,268
"microtubule based process",1.25181134839396,0.0204237462610553,400
"protein refolding",1.72361974200723,0.0204237462610553,17
"regulation of protein containing complex assembly",1.31748075864061,0.0204237462610553,238
"arp2 3 complex mediated actin nucleation",1.60418388561817,0.0206693117668929,33
"interferon beta production",1.60113033192231,0.0210653362872579,41
"limbic system development",1.61048656019746,0.0210653362872579,42
"positive regulation of cytoplasmic translation",1.73184615973662,0.0210653362872579,13
"regulation of cytoplasmic translation",1.69649002395088,0.0210653362872579,23
"translation",1.26260586311089,0.0214169429798019,412
"negative regulation of kinase activity",1.56916506270743,0.0224000454557522,53
"regulation of binding",1.50107625708972,0.0225532343573349,90
"antimicrobial humoral immune response mediated by antimicrobial peptide",-2.05746233164183,0.0227948008247975,19
"negative regulation of jnk cascade",1.6641838660843,0.022819968942216,21
"negative regulation of locomotion",1.38881273314394,0.022819968942216,140
"negative regulation of phosphorylation",1.48968755567217,0.022819968942216,77
"regulation of apoptotic signaling pathway",1.33310177197128,0.022819968942216,211
"regulation of cellular response to stress",1.26527974766196,0.022819968942216,350
"regulation of hematopoietic progenitor cell differentiation",1.64737919052279,0.022819968942216,28
"response to interferon beta",1.65384485964808,0.022819968942216,24
"response to interleukin 7",1.70031321393181,0.022819968942216,19
"response to leukemia inhibitory factor",1.55320554095832,0.022819968942216,54
"ribonucleoprotein complex biogenesis",1.2738887688833,0.022819968942216,351
"vasculature development",1.29834135623144,0.022819968942216,259
"vascular associated smooth muscle cell proliferation",1.6456872697826,0.0228586972879092,28
"cd4 positive alpha beta t cell differentiation",1.50711982830749,0.0232820521792646,68
"mrna transport",1.42039473682118,0.0232820521792646,106
"cellular response to virus",1.58560270905953,0.0233744443797091,39
"chromosome organization",1.27927543273802,0.0233744443797091,329
"endothelial cell proliferation",1.53579652777336,0.0233744443797091,59
"forebrain development",1.37814773072138,0.0233744443797091,136
"non canonical nf kappab signal transduction",1.50295566089769,0.0233744443797091,71
"positive regulation of lymphocyte differentiation",1.45694886017202,0.0233744443797091,87
"regulation of cytoplasmic pattern recognition receptor signaling pathway",1.47756701840237,0.0233744443797091,80
"regulation of dna binding",1.59146178237057,0.0233744443797091,33
"type ii interferon production",1.52191154997728,0.0233744443797091,61
"t cell migration",1.56448750623708,0.0233744443797091,49
"positive regulation of lamellipodium organization",1.65528659221947,0.0236237747167853,21
"cellular response to biotic stimulus",1.40182084472869,0.0241658950981392,119
"lamellipodium assembly",1.55483652149487,0.0241658950981392,38
"microtubule cytoskeleton organization",1.28560413514756,0.0241658950981392,288
"regulation of intrinsic apoptotic signaling pathway",1.40374119804389,0.0241658950981392,112
"canonical nf kappab signal transduction",1.30486948608904,0.0247958123194665,214
"regulation of dna metabolic process",1.2685658781066,0.0250298529650123,319
"establishment of rna localization",1.39069085592373,0.0252610043396436,130
"lamellipodium organization",1.53869146588933,0.0260548119675217,47
"cellular response to molecule of bacterial origin",1.44341965050588,0.0275071885598732,99
"endothelial cell migration",1.43001931839536,0.0275071885598732,97
"positive regulation of signal transduction by p53 class mediator",1.67581143618401,0.027667353842194,18
"regulation of actin filament based process",1.3337305017968,0.0278716816056839,175
"cell substrate adhesion",1.37414976967611,0.0279115228233275,126
"negative regulation of intracellular signal transduction",1.24828578365198,0.0279115228233275,401
"peptide antigen assembly with mhc protein complex",1.69723174378383,0.0294068757824877,13
"blood vessel morphogenesis",1.30463192325639,0.0294118723658357,212
"positive regulation of interferon beta production",1.6216323911387,0.0300823370822228,28
"negative regulation of multicellular organismal process",1.24021187618351,0.0301552600468128,429
"pallium development",1.48700411880086,0.0311213177090949,81
"ameboidal type cell migration",1.44644200693668,0.0312699045519805,91
"epithelial cell proliferation",1.36244732212901,0.032297588681506,156
"regulation of epithelial cell proliferation",1.36901946243677,0.032297588681506,129
"monocyte differentiation",1.66307893728484,0.0327558027192493,18
"regulation of non canonical nf kappab signal transduction",1.5087662469103,0.0329308670380003,52
"negative regulation of phosphorus metabolic process",1.41447015393852,0.0338418522029733,104
"positive regulation of intrinsic apoptotic signaling pathway",1.55199804291748,0.0344823261928389,39
"positive regulation of cell cell adhesion",1.33326544972488,0.0344997998619525,183
"cytoplasmic pattern recognition receptor signaling pathway",1.38392545800139,0.0346526792975815,118
"microtubule cytoskeleton organization involved in mitosis",1.4253503642008,0.0347941928136616,92
"negative regulation of catalytic activity",1.41539635516457,0.0347941928136616,100
"negative regulation of mrna processing",1.65152338290394,0.0347941928136616,18
"positive regulation of cell differentiation",1.25179290880505,0.0347941928136616,338
"positive regulation of interferon alpha production",1.68881830279315,0.0347941928136616,16
"regulation of lymphocyte differentiation",1.35737570335658,0.0347941928136616,133
"substantia nigra development",1.60775995607757,0.0347941928136616,28
"t cell selection",1.51683553511891,0.0347941928136616,48
"negative regulation of rna splicing",1.63911383868978,0.03553066289782,20
"regulation of signal transduction by p53 class mediator",1.46262719062296,0.03553066289782,70
"positive regulation of pattern recognition receptor signaling pathway",1.54774651532484,0.0355969431812229,43
"nuclear export",1.37265028522951,0.0357399287128919,138
"regulation of cd4 positive alpha beta t cell differentiation",1.5396533915149,0.035806333552904,40
"u2 type prespliceosome assembly",1.60930622170782,0.035806333552904,24
"rna capping",1.65788392764799,0.0362835420523376,14
"t cell receptor signaling pathway",1.3905753782976,0.0362835420523376,114
"positive regulation of lamellipodium assembly",1.64194598793969,0.0363346634641299,18
"positive regulation of cell development",1.30429970934273,0.0371719594935057,207
"neuron projection arborization",1.69172089885846,0.0372730911870369,11
"regulation of heterotypic cell cell adhesion",1.69015674518941,0.0372730911870369,11
"regulation of alpha beta t cell differentiation",1.51740374981193,0.0375408771317181,53
"regulation of lamellipodium assembly",1.5962755899318,0.0376114429069793,22
"protein folding",1.34852000495398,0.0380984112126281,156
"mitotic cell cycle",1.19814568300893,0.0387531682406059,498
"negative regulation of apoptotic signaling pathway",1.38155691112187,0.0387531682406059,120
"nucleobase containing compound catabolic process",1.22501330949727,0.0387531682406059,367
"podosome assembly",1.67401820231995,0.0389654862042974,10
"actin nucleation",1.5623338223781,0.0390887339484455,35
"interferon mediated signaling pathway",1.46265490523492,0.0394012779882221,68
"response to type i interferon",1.494133984456,0.0394012779882221,58
"circulatory system development",1.22136767589782,0.0396080449970621,398
"interferon alpha production",1.64069814279142,0.0396828867570034,19
"midbrain development",1.52952543495247,0.0397174369499713,40
"mitotic spindle organization",1.43228951691867,0.0401134561553285,76
"negative regulation of lymphocyte migration",1.66992509667157,0.0401134561553285,10
"spindle organization",1.38296149281,0.0404238876859529,122
"nuclear migration",1.63497625958031,0.0417413294141635,19
"response to interleukin 4",1.61408767045493,0.0417953513680593,25
"regulation of intrinsic apoptotic signaling pathway by p53 class mediator",1.60831131892288,0.0437122094307865,21
"response to camp",1.4960816793287,0.0437326971257425,38
"cellular response to interferon beta",1.63898786126947,0.0441174424172937,17
"dentate gyrus development",1.66436912728661,0.0441174424172937,10
"response to dsrna",1.58477145913073,0.0441174424172937,28
"muscle cell proliferation",1.41559351787061,0.0462829719796912,84
"negative regulation of immune response",1.37306506469754,0.0474321138013036,114
"nucleus localization",1.57593410008038,0.0474321138013036,22
"t cell differentiation involved in immune response",1.44513834028662,0.0479154479290728,62
"regulation of nucleocytoplasmic transport",1.43006372842584,0.0487496317537608,82
"positive t cell selection",1.51673324352094,0.0506737546521995,40
"dna damage response signal transduction by p53 class mediator",1.48618141259042,0.0507116116755525,48
"positive regulation of response to external stimulus",1.24888184529897,0.0507116116755525,320
"positive regulation of binding",1.51272176892008,0.0508139304082262,43
"response to endoplasmic reticulum stress",1.30170316362896,0.0508139304082262,191
"regulation of cell development",1.2205511175486,0.0511293587874173,378
"proton motive force driven atp synthesis",1.46968835932286,0.0520737871431526,61
"negative regulation of protein metabolic process",1.24104737750863,0.0533284957397002,317
"stress granule assembly",1.54060762846542,0.0533933736312392,30
"cortical cytoskeleton organization",1.56160974266318,0.0534870010613354,31
"negative regulation of response to biotic stimulus",1.41161551016518,0.0538178118229126,77
"mirna metabolic process",1.45107278749458,0.0546917590870325,63
"cytokine mediated signaling pathway",1.26290616247441,0.0553387109663928,240
"regulation of defense response to virus by host",1.56967664011456,0.055639059769837,28
"atp biosynthetic process",1.42321255462834,0.0556861044047516,79
"interleukin 1 production",1.47534550897758,0.0556861044047516,48
"myeloid cell differentiation",1.25544600953022,0.0556861044047516,244
"regulation of mirna metabolic process",1.47421376370712,0.0556861044047516,48
"negative regulation of interleukin 1 production",1.63417025077183,0.0562609427920789,15
"positive regulation of telomere maintenance via telomere lengthening",1.54721406537031,0.0565522615386112,22
"gland morphogenesis",1.52433864630918,0.0572488742939771,34
"negative regulation of translation",1.39715206197942,0.0572488742939771,84
"regulation of actin filament organization",1.34926577666954,0.0572488742939771,137
"nucleoside triphosphate biosynthetic process",1.36902474526313,0.0579053736710546,94
"positive regulation of myeloid cell differentiation",1.47042153843914,0.0579053736710546,59
"morphogenesis of a polarized epithelium",1.60699691782998,0.0580972986142479,17
"establishment or maintenance of bipolar cell polarity",1.57577929739245,0.0589051587597075,20
"negative regulation of nucleocytoplasmic transport",1.57472358439773,0.0589051587597075,21
"regulation of t cell activation",1.27451585197572,0.0589051587597075,227
"regulation of inflammasome mediated signaling pathway",1.55390199475147,0.0590703837869434,29
"positive regulation of cell activation",1.26847892438,0.0592430446343447,217
"leukocyte adhesion to vascular endothelial cell",1.57050808367412,0.0612194856947241,21
"regulation of leukocyte proliferation",1.33536854651105,0.0616621833745332,128
"formation of cytoplasmic translation initiation complex",1.63148181922146,0.0624375085269989,13
"positive regulation of dna templated transcription initiation",1.44987576964271,0.0624375085269989,57
"regulation of t cell migration",1.51787490210099,0.0624375085269989,34
"chromosome segregation",1.27136095554858,0.062450064106418,234
"response to arsenic containing substance",1.53957143248893,0.062450064106418,22
"biological process involved in symbiotic interaction",1.38469664306296,0.0640949041442703,101
"fat soluble vitamin metabolic process",1.63746464357632,0.0642052940900518,11
"interleukin 8 production",1.50637184418035,0.0644868408324408,35
"leukocyte proliferation",1.28693982664037,0.0644868408324408,172
"positive regulation of molecular function",1.24356694360566,0.0658594015011077,290
"actin filament bundle organization",1.40399901946941,0.0658822126924173,76
"biological process involved in interaction with host",1.39120672210144,0.0658822126924173,88
"intracellular receptor signaling pathway",1.24989700835255,0.0658822126924173,239
"regulation of protein folding",1.62472738936559,0.0658822126924173,10
"response to interferon alpha",1.58896518903863,0.0658822126924173,17
"interleukin 2 production",1.50691493474035,0.0661471797110592,42
"lymphocyte migration",1.42318039603148,0.0661471797110592,65
"positive regulation of dna biosynthetic process",1.54272994401571,0.0661471797110592,29
