"term","NES","padj","size"
"rna splicing via transesterification reactions",1.71042276591523,1.04802130814724e-13,249
"rna splicing",1.60002437526771,2.71346728976849e-13,364
"mrna processing",1.52198772170092,1.13088928134119e-10,390
"regulation of rna splicing",1.725350399098,4.86663191108233e-08,138
"response to peptide",1.43278077230171,6.5106045615266e-08,452
"regulation of mrna processing",1.77190178556332,2.99133437469507e-07,95
"viral process",1.52940819511365,3.05474542461828e-07,268
"oxidative phosphorylation",1.72298430266334,3.43690699555372e-07,109
"regulation of mrna splicing via spliceosome",1.80866046521188,5.3251278214991e-07,79
"regulation of mrna metabolic process",1.57233975287316,5.84811138003236e-07,214
"viral life cycle",1.58059249844436,9.12082318729452e-07,178
"regulation of viral process",1.71654001120177,1.59054771325098e-06,100
"actin filament organization",1.54518774207664,2.08397732548127e-06,209
"regulation of viral life cycle",1.75853882417711,3.45721124397421e-06,81
"aerobic respiration",1.61925875040244,6.74401999797134e-06,140
"cytoplasmic translation",1.79887312466832,6.74401999797134e-06,68
"viral genome replication",1.71549123484422,9.84647663494642e-06,89
"cellular respiration",1.56307515961234,1.57393153164103e-05,165
"negative regulation of viral process",1.84841821114405,2.56297611994211e-05,49
"cytokine production",1.38773333822069,2.70559959521497e-05,373
"response to virus",1.45310621798129,3.38514715377965e-05,253
"protein rna complex organization",1.53215094228378,7.98775735458505e-05,162
"atp synthesis coupled electron transport",1.69247611873291,9.15870421482135e-05,74
"regulation of viral genome replication",1.75892819684664,0.000164408282483473,59
"post transcriptional regulation of gene expression",1.35834469023921,0.000214788310636134,345
"alternative mrna splicing via spliceosome",1.74674744623804,0.000238230075061485,54
"energy derivation by oxidation of organic compounds",1.4348688000495,0.000271469313213624,215
"defense response to virus",1.46762678605303,0.000286508040869822,191
"chromatin remodeling",1.33573342071287,0.000360212754391726,398
"actin filament based process",1.36583823838915,0.000378985973181944,319
"regulation of alternative mrna splicing via spliceosome",1.80457014199604,0.000380619917658619,36
"regulation of translation",1.40800221238291,0.000380619917658619,235
"activation of immune response",1.36263101060883,0.000411266025924001,334
"electron transport chain",1.6244796850781,0.000447379725905389,90
"mitochondrial electron transport cytochrome c to oxygen",1.91037460439732,0.000519911596494863,13
"negative regulation of viral genome replication",1.81542188214269,0.000526124732274348,34
"establishment or maintenance of monopolar cell polarity",1.88708659021929,0.00056966237560465,12
"heterotypic cell cell adhesion",1.8370131046052,0.000623018858423255,23
"lymphocyte differentiation",1.38777263846909,0.000711381253367717,253
"membraneless organelle assembly",1.3933770471379,0.000763537677809438,232
"generation of precursor metabolites and energy",1.37498444291019,0.000835895097930855,286
"translational initiation",1.58036021667756,0.000950163456989071,94
"mononuclear cell differentiation",1.36139064578461,0.00109911778667578,291
"negative regulation of mrna metabolic process",1.644811759101,0.00109911778667578,68
"spliceosomal complex assembly",1.62845602918992,0.00111642730874467,63
"regulation of response to biotic stimulus",1.32382914197054,0.00170116136531274,320
"positive regulation of cytokine production",1.39055053980772,0.00174472438269543,237
"cellular response to type ii interferon",1.64220745085722,0.00175776771890884,58
"positive regulation of translation",1.56973057881499,0.00175776771890884,88
"response to type ii interferon",1.61136799683783,0.00175776771890884,69
"immune response regulating signaling pathway",1.31698303032147,0.00193794013664235,325
"negative regulation of cytokine production",1.4567559613487,0.00193794013664235,142
"t cell differentiation",1.39901654550305,0.00211460767710814,193
"rna localization",1.41847371935461,0.00214520962764814,163
"nucleosome organization",1.67904223362226,0.00266212938480141,52
"polarized epithelial cell differentiation",1.86099591858176,0.00329331936650762,11
"antimicrobial humoral response",-2.19844243642913,0.00346037449648037,26
"cortical actin cytoskeleton organization",1.75030601775481,0.00426845743070443,22
"regulation of cytoplasmic translation",1.73937726836261,0.00457376368243214,23
"supramolecular fiber organization",1.29971962849941,0.00470068560512587,354
"establishment of epithelial cell polarity",1.82515384853372,0.00480170832777577,13
"regulation of translational initiation",1.56856251233195,0.00486406997602186,63
"cytoplasmic translational initiation",1.70120972835364,0.00506829479044493,40
"immune response regulating cell surface receptor signaling pathway",1.35031132055129,0.00778457000724821,210
"leukocyte cell cell adhesion",1.35090715940229,0.00778457000724821,227
"t cell activation",1.28512368101922,0.00801247824608635,341
"microtubule based process",1.26494063968941,0.00982349370931869,398
"intrinsic apoptotic signaling pathway",1.34324712339261,0.00997984844335412,199
"proton transmembrane transport",1.48242022110121,0.00997984844335412,106
"mitotic cell cycle",1.23888344259855,0.0100546754268331,494
"mitochondrial electron transport ubiquinol to cytochrome c",1.80735144780872,0.0101413415316382,11
"cell adhesion",1.2553826510575,0.01093888681084,484
"positive regulation of type i interferon production",1.56075551414668,0.0127736347236371,50
"regulation of actin filament based process",1.35951163870683,0.0127736347236371,175
"arp2 3 complex mediated actin nucleation",1.65231626478095,0.0137801483920045,33
"microtubule cytoskeleton organization",1.30023470212984,0.0145887952962106,287
"regulation of cell adhesion",1.27705690754623,0.0157832212187377,353
"regulation of innate immune response",1.29735197530225,0.0157832212187377,270
"positive regulation of cytoplasmic translation",1.77452691986909,0.0158037535529559,13
"establishment of rna localization",1.39678655019405,0.016153284041837,128
"ribonucleoprotein complex biogenesis",1.25770519163211,0.0165202635437073,349
"cell cell adhesion",1.26636516635742,0.0167934103757471,325
"circadian regulation of gene expression",1.59240510482743,0.0167934103757471,42
"positive regulation of immune response",1.24496004097989,0.0167934103757471,428
"response to interleukin 7",1.72347109834564,0.0167934103757471,17
"regulatory ncrna mediated gene silencing",1.48798155096259,0.0184251306744218,86
"nuclear export",1.38673698916699,0.0199616190209368,137
"regulation of defense response",1.24165460828375,0.0225290195049658,417
"leukocyte differentiation",1.25290484526757,0.0226568091373338,338
"negative regulation of mrna processing",1.69406524063068,0.0226568091373338,18
"negative regulation of rna splicing",1.67344308162233,0.0226568091373338,20
"nucleobase containing compound catabolic process",1.25601651254385,0.0226568091373338,362
"positive regulation of cell adhesion",1.31523739762485,0.0226568091373338,237
"positive regulation of hemopoiesis",1.41434626869214,0.0226568091373338,113
"regulation of dna metabolic process",1.25119461090937,0.0226568091373338,316
"regulation of hematopoietic progenitor cell differentiation",1.66604436712802,0.0226568091373338,27
"response to type i interferon",1.52216597329329,0.0226568091373338,58
"antigen receptor mediated signaling pathway",1.3783079460649,0.0231221806874548,141
"lymphocyte activation",1.23040589834101,0.0231221806874548,474
"nuclear transport",1.31224780922829,0.0231221806874548,241
"response to leukemia inhibitory factor",1.58508507681132,0.0231221806874548,52
"translation",1.23625043773734,0.0231221806874548,405
"regulation of lymphocyte differentiation",1.39454941182363,0.0234258990566149,127
"antimicrobial humoral immune response mediated by antimicrobial peptide",-2.16651981668149,0.0249465568768802,19
"peptide antigen assembly with mhc protein complex",1.7391853876365,0.0251478876720497,13
"hematopoietic progenitor cell differentiation",1.49459176934024,0.025713974216902,70
"regulation of actin filament organization",1.37099903667343,0.0262845397495466,137
"positive regulation of pattern recognition receptor signaling pathway",1.57285542703156,0.026878884884063,41
"endothelial cell migration",1.43217190297991,0.0269571412508228,95
"spindle organization",1.39850454369507,0.0269648165769384,121
"response to interferon beta",1.61615158609178,0.0271223637234131,23
"chromosome organization",1.24671341466441,0.0278041613293732,325
"negative regulation of erk1 and erk2 cascade",1.62407983461685,0.0278041613293732,25
"neural nucleus development",1.61139936491984,0.0278041613293732,31
"neuron projection arborization",1.73182961603013,0.0278041613293732,11
"regulation of heterotypic cell cell adhesion",1.73198925523029,0.0278041613293732,11
"u2 type prespliceosome assembly",1.65383615127336,0.0278041613293732,24
"actin nucleation",1.60928613981597,0.0278760355888941,35
"dna damage response signal transduction by p53 class mediator",1.52278574943158,0.0281603365342134,48
"mrna transport",1.42874109430194,0.0281603365342134,104
