"subset","term","NES","padj","size"
"Naïve CD4 T","3 utr mediated mrna destabilization",-1.36236861630766,0.49604661067852,13
"Naïve CD4 T","3 utr mediated mrna stabilization",1.54701158460831,0.231836619712712,17
"Naïve CD4 T","acetyl coa biosynthetic process",0.903468350803011,0.854559300075491,17
"Naïve CD4 T","acetyl coa metabolic process",0.990179120594169,0.812860593885158,23
"Naïve CD4 T","acidic amino acid transport",-0.811228866890806,0.90685506866868,19
"Naïve CD4 T","acrosome assembly",1.1072149812013,0.741157228971785,12
"Naïve CD4 T","actin filament based movement",1.2483787852702,0.570085613563874,36
"Naïve CD4 T","actin filament based process",1.09000708509348,0.652296125838115,321
"Naïve CD4 T","actin filament bundle organization",0.867054710592197,0.901284903907282,76
"Naïve CD4 T","actin filament depolymerization",1.18996158756064,0.637542689381079,32
"Naïve CD4 T","actin filament organization",1.11887887014098,0.650164944821312,210
"Naïve CD4 T","actin filament polymerization",0.934423729957974,0.854644602462733,80
"Naïve CD4 T","actin filament severing",1.08083520076849,0.76676326116901,12
"Naïve CD4 T","actin mediated cell contraction",1.00452222759517,0.806982932267878,24
"Naïve CD4 T","actin nucleation",0.978412917237844,0.821141792582834,35
"Naïve CD4 T","actin polymerization or depolymerization",0.93801385624545,0.856035718404534,98
"Naïve CD4 T","action potential",-0.89908206578318,0.853266331658291,28
"Naïve CD4 T","activated t cell proliferation",-0.883137987654476,0.859380410750912,20
"Naïve CD4 T","activation of gtpase activity",1.00618871113444,0.811139220066206,13
"Naïve CD4 T","activation of immune response",1.3504237719992,0.161412909540035,345
"Naïve CD4 T","activation of innate immune response",1.32743457880804,0.271711301141892,194
"Naïve CD4 T","activation of protein kinase activity",0.815539145567369,0.90565133698275,16
"Naïve CD4 T","activin receptor signaling pathway",-1.47029827871178,0.393583978489639,18
"Naïve CD4 T","actomyosin structure organization",0.998817954158884,0.817467478251501,81
"Naïve CD4 T","acute inflammatory response",0.680520757974025,0.970470310453685,30
"Naïve CD4 T","acute inflammatory response to antigenic stimulus",-1.30656468495955,0.545401336201153,10
"Naïve CD4 T","acylglycerol homeostasis",0.879565021991049,0.874155020621527,12
"Naïve CD4 T","acyl coa metabolic process",1.03881392685967,0.778401099125325,47
"Naïve CD4 T","adaptive immune response",-1.26966803251636,0.17330865666838,281
"Naïve CD4 T","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",-1.34656157563459,0.250963464852245,169
"Naïve CD4 T","adaptive thermogenesis",1.17499493296502,0.598380633439476,75
