subset,gene,mean,pct
Naïve CD4 T,CD3D,1.6626614,0.65465032444124
Naïve CD4 T,CD4,0.4842139,0.22602739726027396
Naïve CD4 T,CD8A,0.086600006,0.03280461427541456
Naïve CD4 T,CD8B,0.111536555,0.04289834174477289
Naïve CD4 T,CCR7,1.2899561,0.5241528478731075
Naïve CD4 T,SELL,1.7083694,0.6467195385724586
Naïve CD4 T,TCF7,2.0789146,0.7577505407354002
Naïve CD4 T,IL7R,1.7666183,0.6308579668348955
Naïve CD4 T,FOXP3,0.010616418,0.005046863734679163
Naïve CD4 T,CTLA4,0.063855566,0.029920692141312183
Naïve CD4 T,GZMK,0.038452685,0.014059120403749098
Naïve CD4 T,GZMB,0.007922665,0.003965392934390771
Naïve CD4 T,GNLY,0.02855331,0.012256669069935111
Naïve CD4 T,PRF1,0.099559136,0.04722422494592646
Naïve CD4 T,NKG7,0.027754785,0.012617159336697908
Naïve CD4 T,NCAM1,0.0029327641,0.0010814708002883922
Naïve CD4 T,FCGR3A,0.0016719174,0.0007209805335255948
Naïve CD4 T,KLRD1,0.0040558944,0.001802451333813987
Naïve CD4 T,SLC4A10,0.0,0.0
Naïve CD4 T,KLRB1,0.05825945,0.023792357606344627
Naïve CD4 T,MKI67,0.010390017,0.004686373467916366
Memory CD4 T,CD3D,1.7732735,0.749438202247191
Memory CD4 T,CD4,0.57336277,0.30112359550561796
Memory CD4 T,CD8A,0.07431713,0.033707865168539325
Memory CD4 T,CD8B,0.07222578,0.030337078651685393
Memory CD4 T,CCR7,0.38911283,0.20449438202247192
Memory CD4 T,SELL,0.95503616,0.4280898876404494
Memory CD4 T,TCF7,1.614689,0.6955056179775281
Memory CD4 T,IL7R,2.5291743,0.8584269662921349
Memory CD4 T,FOXP3,0.014520301,0.007865168539325843
Memory CD4 T,CTLA4,0.08837065,0.05393258426966292
Memory CD4 T,GZMK,0.2969237,0.12359550561797752
Memory CD4 T,GZMB,0.010316095,0.0044943820224719105
Memory CD4 T,GNLY,0.11977579,0.04269662921348315
Memory CD4 T,PRF1,0.17956471,0.1
Memory CD4 T,NKG7,0.16367473,0.07640449438202247
Memory CD4 T,NCAM1,0.0,0.0
Memory CD4 T,FCGR3A,0.004747412,0.0022471910112359553
Memory CD4 T,KLRD1,0.011580857,0.0056179775280898875
Memory CD4 T,SLC4A10,0.0071565444,0.0044943820224719105
Memory CD4 T,KLRB1,0.8510622,0.3449438202247191
Memory CD4 T,MKI67,0.0162019,0.007865168539325843
Treg,CD3D,1.834776,0.7216494845360825
Treg,CD4,0.5737422,0.28865979381443296
Treg,CD8A,0.08514719,0.03608247422680412
Treg,CD8B,0.06422133,0.030927835051546393
Treg,CCR7,0.52253187,0.25257731958762886
Treg,SELL,1.3371447,0.5463917525773195
Treg,TCF7,1.0270927,0.4329896907216495
Treg,IL7R,0.8710679,0.36597938144329895
Treg,FOXP3,1.1497142,0.4845360824742268
Treg,CTLA4,0.80743283,0.3402061855670103
Treg,GZMK,0.36019906,0.13402061855670103
Treg,GZMB,0.010565683,0.005154639175257732
Treg,GNLY,0.0759108,0.030927835051546393
Treg,PRF1,0.28459385,0.15463917525773196
Treg,NKG7,0.1778934,0.08247422680412371
Treg,NCAM1,0.0,0.0
Treg,FCGR3A,0.0066774087,0.005154639175257732
Treg,KLRD1,0.0,0.0
Treg,SLC4A10,0.0,0.0
Treg,KLRB1,0.3691254,0.15463917525773196
Treg,MKI67,0.040387098,0.020618556701030927
Naïve CD8 T,CD3D,1.9458289,0.7731388329979879
Naïve CD8 T,CD4,0.088229544,0.041750503018108655
Naïve CD8 T,CD8A,1.710892,0.6836016096579477
Naïve CD8 T,CD8B,2.0387259,0.738430583501006
Naïve CD8 T,CCR7,1.2685622,0.5503018108651911
Naïve CD8 T,SELL,1.5980473,0.6438631790744467
Naïve CD8 T,TCF7,1.8746346,0.7394366197183099
Naïve CD8 T,IL7R,1.7211978,0.6589537223340041
Naïve CD8 T,FOXP3,0.0062757586,0.0030181086519114686
Naïve CD8 T,CTLA4,0.012552567,0.006036217303822937
Naïve CD8 T,GZMK,0.05480425,0.02112676056338028
Naïve CD8 T,GZMB,0.0035694337,0.002012072434607646
Naïve CD8 T,GNLY,0.017708851,0.008551307847082495
Naïve CD8 T,PRF1,0.20036288,0.1011066398390342
Naïve CD8 T,NKG7,0.1280353,0.0658953722334004
Naïve CD8 T,NCAM1,0.0009774509,0.0005030181086519115
Naïve CD8 T,FCGR3A,0.0061566876,0.0030181086519114686
Naïve CD8 T,KLRD1,0.008736698,0.004527162977867203
Naïve CD8 T,SLC4A10,0.0011690205,0.0005030181086519115
Naïve CD8 T,KLRB1,0.03160764,0.014084507042253521
Naïve CD8 T,MKI67,0.017589651,0.009054325955734407
Memory CD8 T,CD3D,1.7938867,0.7492957746478873
Memory CD8 T,CD4,0.016329687,0.008450704225352112
Memory CD8 T,CD8A,1.4426056,0.571830985915493
Memory CD8 T,CD8B,1.2511746,0.5295774647887324
Memory CD8 T,CCR7,0.3309406,0.16619718309859155
Memory CD8 T,SELL,0.8729864,0.38873239436619716
Memory CD8 T,TCF7,1.8769088,0.7408450704225352
Memory CD8 T,IL7R,1.8736377,0.704225352112676
Memory CD8 T,FOXP3,0.003406135,0.0028169014084507044
Memory CD8 T,CTLA4,0.0,0.0
Memory CD8 T,GZMK,0.81696534,0.30704225352112674
Memory CD8 T,GZMB,0.026965875,0.011267605633802818
Memory CD8 T,GNLY,0.90371543,0.24225352112676057
Memory CD8 T,PRF1,0.36939818,0.18309859154929578
Memory CD8 T,NKG7,1.4794196,0.5211267605633803
Memory CD8 T,NCAM1,0.023313062,0.014084507042253521
Memory CD8 T,FCGR3A,0.02891916,0.014084507042253521
Memory CD8 T,KLRD1,0.67645866,0.3183098591549296
Memory CD8 T,SLC4A10,0.0,0.0
Memory CD8 T,KLRB1,0.13715126,0.0647887323943662
Memory CD8 T,MKI67,0.012969442,0.005633802816901409
GZMK CD8 T,CD3D,1.7633811,0.6934023285899095
GZMK CD8 T,CD4,0.050191406,0.0258732212160414
GZMK CD8 T,CD8A,1.9243913,0.6921086675291074
GZMK CD8 T,CD8B,1.4783324,0.5795601552393272
GZMK CD8 T,CCR7,0.08946392,0.04657179818887452
