"subset","outcome","n","events","HR","lo","hi","p","FDR"
"Naïve CD4 T","EFS",1314,719,0.939051531051875,0.872527166998322,1.01064793318071,0.0934513729080869,0.14017705936213
"Memory CD4 T","EFS",1314,719,1.10866173308939,1.03445552766977,1.18819108752364,0.00351848748265663,0.00660274258522392
"Treg","EFS",1314,719,0.896597814035002,0.83262630912921,0.965484313092482,0.00385159984138062,0.00660274258522392
"Naïve CD8 T","EFS",1314,719,1.13123475494094,1.05306008578305,1.21521277661447,0.000737961880409149,0.00177110851298196
"Memory CD8 T","EFS",1314,719,0.980995121415112,0.911257995645664,1.05606911855778,0.61005198808372,0.665511259727694
"GZMK CD8 T","EFS",1314,719,0.778222613149696,0.723245821046987,0.837378409930964,1.97229228495943e-11,1.18337537097566e-10
"GZMB CD8 T","EFS",1314,719,1.23655461229974,1.15447495684844,1.32446988142031,1.36814573265657e-09,5.47258293062628e-09
"GZMB DNT","EFS",1314,719,0.961112070665521,0.892575114887757,1.03491168078905,0.293329372198132,0.39110582959751
"MAIT","EFS",1314,719,0.987281272477125,0.916784492699523,1.06319895105765,0.7348679193158,0.7348679193158
"GZMK NK","EFS",1314,719,1.27364342471003,1.18818257917811,1.36525110007015,8.75225947755842e-12,1.05027113730701e-10
"GZMB NK","EFS",1314,719,1.02594434726468,0.951118095953508,1.10665732064444,0.507388795491526,0.608866554589831
"Proliferating T","EFS",1314,719,1.1608975889267,1.08139697463213,1.24624281701386,3.75472422562562e-05,0.000112641726768769
"Naïve CD4 T","OS",1314,463,0.977793220533444,0.892649498413763,1.07105821917798,0.62899825845494,0.629571506599146
"Memory CD4 T","OS",1314,463,1.14722981803947,1.05380517373611,1.24893698398984,0.00152820237899468,0.00261977550684802
"Treg","OS",1314,463,0.843625872420392,0.769555707201497,0.924825332275416,0.000286920458403274,0.000688609100167857
"Naïve CD8 T","OS",1314,463,1.15506936309567,1.05838556904476,1.26058524660952,0.00122795024718643,0.00245590049437287
"Memory CD8 T","OS",1314,463,1.06489280712669,0.97415722972859,1.16407973586164,0.16643121495166,0.24964682242749
"GZMK CD8 T","OS",1314,463,0.689671893857552,0.62839934868383,0.756918864052447,4.99982315557056e-15,5.99978778668467e-14
"GZMB CD8 T","OS",1314,463,1.25747826546286,1.16129207863386,1.36163125298474,1.66989199213358e-08,1.00193519528015e-07
"GZMB DNT","OS",1314,463,0.958181250468381,0.873836809004068,1.05066678273206,0.363524089165655,0.484698785554206
"MAIT","OS",1314,463,1.0228145936126,0.933224420072294,1.12100548421769,0.629571506599146,0.629571506599146
"GZMK NK","OS",1314,463,1.26597237857907,1.16221867366417,1.37898839490532,6.45232289689583e-08,2.58092915875833e-07
"GZMB NK","OS",1314,463,1.03901669854622,0.946838028247232,1.14016935067166,0.41937727017617,0.503252724211403
"Proliferating T","OS",1314,463,1.18897224344317,1.09210833324277,1.29442744153481,6.54597590803247e-05,0.000196379277240974
