gene,group,pct,label,mean_expr
CD96,0_HSPC,2.41,CD96,0.0229
CD9,0_HSPC,7.61,CD9,0.0877
SUCNR1,0_HSPC,6.31,SUCNR1,0.0704
AMN,0_HSPC,4.64,AMN,0.0504
IL1RAP,0_HSPC,5.75,IL1RAP,0.0585
LMBR1L,0_HSPC,9.28,LMBR1L,0.1082
NRXN2,0_HSPC,4.45,NRXN2,0.0481
FURIN,0_HSPC,9.83,FURIN,0.1177
UMODL1,0_HSPC,1.48,UMODL1,0.015
CD7,0_HSPC,9.09,CD7,0.1142
CD33,0_HSPC,16.7,CD33,0.1929
IL3RA,0_HSPC,12.62,CD123,0.1492
CLEC12A,0_HSPC,9.46,CLL-1,0.1037
CD38,0_HSPC,28.2,CD38,0.3492
CD70,0_HSPC,0.0,CD70,0.0
FLT3,0_HSPC,53.06,FLT3,0.8019
TNFRSF4,0_HSPC,0.56,TNFRSF4,0.0084
ABCA7,0_HSPC,5.57,ABCA7,0.0573
ITGAX,0_HSPC,0.93,ITGAX,0.0099
CD96,Myeloid_Pro,3.02,CD96,0.0316
CD9,Myeloid_Pro,6.51,CD9,0.0786
SUCNR1,Myeloid_Pro,7.12,SUCNR1,0.0848
AMN,Myeloid_Pro,4.1,AMN,0.0464
IL1RAP,Myeloid_Pro,9.65,IL1RAP,0.115
LMBR1L,Myeloid_Pro,4.83,LMBR1L,0.0511
NRXN2,Myeloid_Pro,6.15,NRXN2,0.0707
FURIN,Myeloid_Pro,7.12,FURIN,0.0827
UMODL1,Myeloid_Pro,1.09,UMODL1,0.0084
CD7,Myeloid_Pro,3.26,CD7,0.0372
CD33,Myeloid_Pro,28.71,CD33,0.3795
IL3RA,Myeloid_Pro,7.36,CD123,0.0887
CLEC12A,Myeloid_Pro,29.67,CLL-1,0.4071
CD38,Myeloid_Pro,23.52,CD38,0.3094
CD70,Myeloid_Pro,0.6,CD70,0.0088
FLT3,Myeloid_Pro,24.13,FLT3,0.3123
TNFRSF4,Myeloid_Pro,0.12,TNFRSF4,0.0007
ABCA7,Myeloid_Pro,9.77,ABCA7,0.1493
ITGAX,Myeloid_Pro,6.63,ITGAX,0.0942
CD96,FPAC_1,32.77,CD96,0.4623
CD9,FPAC_1,12.42,CD9,0.1719
SUCNR1,FPAC_1,18.0,SUCNR1,0.2316
AMN,FPAC_1,20.77,AMN,0.2564
IL1RAP,FPAC_1,12.75,IL1RAP,0.1469
LMBR1L,FPAC_1,15.66,LMBR1L,0.1835
NRXN2,FPAC_1,16.99,NRXN2,0.2122
FURIN,FPAC_1,18.12,FURIN,0.2116
UMODL1,FPAC_1,7.39,UMODL1,0.0823
CD7,FPAC_1,10.15,CD7,0.1455
CD33,FPAC_1,34.38,CD33,0.4958
IL3RA,FPAC_1,18.43,CD123,0.2243
CLEC12A,FPAC_1,29.67,CLL-1,0.3936
CD38,FPAC_1,31.28,CD38,0.4622
CD70,FPAC_1,3.71,CD70,0.0622
FLT3,FPAC_1,51.61,FLT3,0.7912
TNFRSF4,FPAC_1,8.88,TNFRSF4,0.1236
ABCA7,FPAC_1,10.44,ABCA7,0.1604
ITGAX,FPAC_1,6.76,ITGAX,0.0948
CD96,FPAC_2,84.97,CD96,1.1263
CD9,FPAC_2,1.34,CD9,0.0164
SUCNR1,FPAC_2,40.98,SUCNR1,0.3749
AMN,FPAC_2,47.1,AMN,0.4122
IL1RAP,FPAC_2,17.71,IL1RAP,0.1373
LMBR1L,FPAC_2,26.95,LMBR1L,0.1983
NRXN2,FPAC_2,44.77,NRXN2,0.3773
FURIN,FPAC_2,28.95,FURIN,0.2167
UMODL1,FPAC_2,71.71,UMODL1,0.8029
CD7,FPAC_2,10.13,CD7,0.0748
CD33,FPAC_2,58.8,CD33,0.5772
IL3RA,FPAC_2,26.5,CD123,0.2146
CLEC12A,FPAC_2,81.63,CLL-1,0.9989
CD38,FPAC_2,72.16,CD38,0.7942
CD70,FPAC_2,1.0,CD70,0.0098
FLT3,FPAC_2,85.86,FLT3,1.1374
TNFRSF4,FPAC_2,0.45,TNFRSF4,0.0048
ABCA7,FPAC_2,2.23,ABCA7,0.016
ITGAX,FPAC_2,2.23,ITGAX,0.016
CD96,PPAC_1,33.01,CD96,0.4124
CD9,PPAC_1,28.85,CD9,0.3984
