combo,g1,g2,kind,cd96,toxicity,within,across
CD96,CD96,,single,1,2.95,27.08,60.71
CD9,CD9,,single,0,7.09,24.15,46.43
SUCNR1,SUCNR1,,single,0,6.46,15.95,28.57
IL1RAP,IL1RAP,,single,0,8.35,17.58,32.14
FLT3,FLT3,,single,0,35.51,47.33,89.29
CD33,CD33,,single,0,25.33,31.24,67.86
CD123,CD123,,single,0,9.4,25.75,60.71
CLL-1,CLL-1,,single,0,23.02,30.64,64.29
CD7,CD7,,single,0,5.33,13.4,17.86
TNFRSF4,TNFRSF4,,single,0,0.35,5.93,7.14
ABCA7,ABCA7,,single,0,8.77,12.33,7.14
ITGAX,ITGAX,,single,0,4.42,12.62,21.43
CD96+CD9,CD96,CD9,pair,1,9.54,42.38,75.0
CD96+SUCNR1,CD96,SUCNR1,pair,1,8.7,34.75,67.86
CD96+IL1RAP,CD96,IL1RAP,pair,1,10.88,37.08,67.86
CD96+FLT3,CD96,FLT3,pair,1,36.49,55.56,92.86
CD96+CD33,CD96,CD33,pair,1,26.6,48.21,85.71
CD96+CD123,CD96,CD123,pair,1,11.65,43.32,82.14
CD96+CLL-1,CD96,CLL-1,pair,1,24.42,45.41,75.0
CD96+CD7,CD96,CD7,pair,1,7.65,34.51,64.29
CD96+TNFRSF4,CD96,TNFRSF4,pair,1,3.23,30.63,60.71
CD96+ABCA7,CD96,ABCA7,pair,1,11.23,37.11,75.0
CD96+ITGAX,CD96,ITGAX,pair,1,7.3,37.3,82.14
CD9+SUCNR1,CD9,SUCNR1,pair,0,12.77,34.5,71.43
CD9+IL1RAP,CD9,IL1RAP,pair,0,14.18,34.94,75.0
CD9+FLT3,CD9,FLT3,pair,0,38.81,56.8,92.86
CD9+CD33,CD9,CD33,pair,0,29.75,46.51,89.29
CD9+CD123,CD9,CD123,pair,0,15.09,39.54,78.57
CD9+CLL-1,CD9,CLL-1,pair,0,28.14,46.46,78.57
CD9+CD7,CD9,CD7,pair,0,12.07,32.66,67.86
CD9+TNFRSF4,CD9,TNFRSF4,pair,0,7.37,27.79,53.57
CD9+ABCA7,CD9,ABCA7,pair,0,15.16,33.46,71.43
CD9+ITGAX,CD9,ITGAX,pair,0,11.16,33.33,71.43
SUCNR1+IL1RAP,SUCNR1,IL1RAP,pair,0,13.82,28.61,57.14
SUCNR1+FLT3,SUCNR1,FLT3,pair,0,38.04,51.49,92.86
SUCNR1+CD33,SUCNR1,CD33,pair,0,28.84,40.62,82.14
SUCNR1+CD123,SUCNR1,CD123,pair,0,14.6,35.49,82.14
SUCNR1+CLL-1,SUCNR1,CLL-1,pair,0,26.46,38.33,71.43
SUCNR1+CD7,SUCNR1,CD7,pair,0,11.02,25.25,46.43
SUCNR1+TNFRSF4,SUCNR1,TNFRSF4,pair,0,6.81,20.32,42.86
SUCNR1+ABCA7,SUCNR1,ABCA7,pair,0,14.6,26.76,53.57
SUCNR1+ITGAX,SUCNR1,ITGAX,pair,0,10.53,26.98,60.71
IL1RAP+FLT3,IL1RAP,FLT3,pair,0,39.93,53.05,92.86
IL1RAP+CD33,IL1RAP,CD33,pair,0,30.53,41.5,96.43
IL1RAP+CD123,IL1RAP,CD123,pair,0,17.26,36.42,85.71
IL1RAP+CLL-1,IL1RAP,CLL-1,pair,0,27.86,40.66,75.0
IL1RAP+CD7,IL1RAP,CD7,pair,0,13.33,28.06,57.14
IL1RAP+TNFRSF4,IL1RAP,TNFRSF4,pair,0,8.56,21.68,46.43
IL1RAP+ABCA7,IL1RAP,ABCA7,pair,0,16.42,27.82,71.43
IL1RAP+ITGAX,IL1RAP,ITGAX,pair,0,12.21,27.93,64.29
FLT3+CD33,FLT3,CD33,pair,0,48.98,60.28,96.43
FLT3+CD123,FLT3,CD123,pair,0,39.72,55.95,92.86
FLT3+CLL-1,FLT3,CLL-1,pair,0,48.49,58.32,92.86
FLT3+CD7,FLT3,CD7,pair,0,38.11,52.55,92.86
FLT3+TNFRSF4,FLT3,TNFRSF4,pair,0,35.58,49.26,92.86
FLT3+ABCA7,FLT3,ABCA7,pair,0,41.19,54.14,96.43
FLT3+ITGAX,FLT3,ITGAX,pair,0,38.53,54.08,96.43
CD33+CD123,CD33,CD123,pair,0,31.86,46.19,92.86
CD33+CLL-1,CD33,CLL-1,pair,0,37.89,48.75,100.0
CD33+CD7,CD33,CD7,pair,0,28.98,40.87,82.14
CD33+TNFRSF4,CD33,TNFRSF4,pair,0,25.68,34.21,71.43
CD33+ABCA7,CD33,ABCA7,pair,0,31.3,39.53,89.29
CD33+ITGAX,CD33,ITGAX,pair,0,28.21,38.56,82.14
CD123+CLL-1,CD123,CLL-1,pair,0,29.61,45.67,85.71
CD123+CD7,CD123,CD7,pair,0,14.04,34.37,71.43
CD123+TNFRSF4,CD123,TNFRSF4,pair,0,9.61,28.81,75.0
CD123+ABCA7,CD123,ABCA7,pair,0,17.47,34.29,82.14
CD123+ITGAX,CD123,ITGAX,pair,0,13.54,34.13,75.0
CLL-1+CD7,CLL-1,CD7,pair,0,27.23,39.42,75.0
CLL-1+TNFRSF4,CLL-1,TNFRSF4,pair,0,23.3,34.86,75.0
CLL-1+ABCA7,CLL-1,ABCA7,pair,0,28.7,39.32,85.71
CLL-1+ITGAX,CLL-1,ITGAX,pair,0,25.33,38.59,85.71
CD7+TNFRSF4,CD7,TNFRSF4,pair,0,5.68,18.26,25.0
CD7+ABCA7,CD7,ABCA7,pair,0,13.54,23.85,39.29
CD7+ITGAX,CD7,ITGAX,pair,0,9.61,24.41,46.43
TNFRSF4+ABCA7,TNFRSF4,ABCA7,pair,0,9.12,17.41,21.43
TNFRSF4+ITGAX,TNFRSF4,ITGAX,pair,0,4.77,17.68,32.14
ABCA7+ITGAX,ABCA7,ITGAX,pair,0,12.49,21.83,46.43
