gene,label,group,AML_coverage,Patient_breadth,Marrow_sparing,Immune_sparing,Organ_sparing
CD96,CD96,lead,29.4,60.7,97.0,87.1,79.4
CD9,CD9,lead,23.7,46.4,92.4,95.5,5.1
SUCNR1,SUCNR1,lead,18.1,32.1,92.9,99.3,55.2
IL1RAP,IL1RAP,lead,17.9,32.1,90.3,97.1,24.7
FLT3,FLT3,control,48.2,89.3,46.9,94.5,31.2
CD33,CD33,clinical,30.6,67.9,71.3,88.7,98.2
IL3RA,CD123,clinical,25.5,57.1,87.4,95.1,34.5
CLEC12A,CLL-1,clinical,31.9,64.3,70.3,87.9,95.1
CD7,CD7,ppac,13.2,17.9,90.9,63.6,88.1
TNFRSF4,TNFRSF4,ppac,6.5,7.1,99.4,97.7,54.0
ABCA7,ABCA7,ppac,12.4,7.1,90.2,92.4,39.0
ITGAX,ITGAX,ppac,10.9,17.9,93.4,88.3,97.3
