cell_type,gene,label,group,pct,mean,n
BEST4+ colonocyte,CD96,CD96,lead,0.235,0.0008,1275
BEST4+ colonocyte,CD9,CD9,lead,93.961,1.96226,1275
BEST4+ colonocyte,SUCNR1,SUCNR1,lead,0.0,0.0,1275
BEST4+ colonocyte,IL1RAP,IL1RAP,lead,1.961,0.00954,1275
BEST4+ colonocyte,FLT3,FLT3,control,0.0,0.0,1275
BEST4+ colonocyte,CD33,CD33,clinical,0.392,0.0009,1275
BEST4+ colonocyte,IL3RA,CD123,clinical,30.51,0.25983,1275
BEST4+ colonocyte,CLEC12A,CLL-1,clinical,0.157,0.00117,1275
BEST4+ colonocyte,CD7,CD7,ppac,7.216,0.05199,1275
BEST4+ colonocyte,TNFRSF4,TNFRSF4,ppac,0.078,0.00024,1275
BEST4+ colonocyte,ABCA7,ABCA7,ppac,10.588,0.06123,1275
BEST4+ colonocyte,ITGAX,ITGAX,ppac,0.0,0.0,1275
BEST4+ enterocyte,CD96,CD96,lead,4.398,0.04346,5230
BEST4+ enterocyte,CD9,CD9,lead,72.505,1.05119,5230
BEST4+ enterocyte,SUCNR1,SUCNR1,lead,0.115,0.00049,5230
BEST4+ enterocyte,IL1RAP,IL1RAP,lead,3.556,0.02352,5230
BEST4+ enterocyte,FLT3,FLT3,control,0.268,0.00168,5230
BEST4+ enterocyte,CD33,CD33,clinical,0.115,0.00073,5230
BEST4+ enterocyte,IL3RA,CD123,clinical,2.294,0.01655,5230
BEST4+ enterocyte,CLEC12A,CLL-1,clinical,0.115,0.00081,5230
BEST4+ enterocyte,CD7,CD7,ppac,2.658,0.02096,5230
BEST4+ enterocyte,TNFRSF4,TNFRSF4,ppac,0.249,0.00178,5230
BEST4+ enterocyte,ABCA7,ABCA7,ppac,7.533,0.0555,5230
BEST4+ enterocyte,ITGAX,ITGAX,ppac,0.249,0.00199,5230
Be cell,CD96,CD96,lead,2.515,0.02483,41150
Be cell,CD9,CD9,lead,1.718,0.01898,41150
Be cell,SUCNR1,SUCNR1,lead,0.005,5e-05,41150
Be cell,IL1RAP,IL1RAP,lead,1.781,0.01616,41150
Be cell,FLT3,FLT3,control,0.078,0.00073,41150
Be cell,CD33,CD33,clinical,0.467,0.00449,41150
Be cell,IL3RA,CD123,clinical,1.451,0.01402,41150
Be cell,CLEC12A,CLL-1,clinical,1.128,0.01111,41150
Be cell,CD7,CD7,ppac,1.465,0.0144,41150
Be cell,TNFRSF4,TNFRSF4,ppac,0.411,0.00396,41150
Be cell,ABCA7,ABCA7,ppac,9.733,0.09108,41150
Be cell,ITGAX,ITGAX,ppac,16.522,0.18436,41150
Bergmann glial cell,CD96,CD96,lead,0.942,0.01198,9556
Bergmann glial cell,CD9,CD9,lead,21.452,0.24298,9556
Bergmann glial cell,SUCNR1,SUCNR1,lead,0.0,0.0,9556
Bergmann glial cell,IL1RAP,IL1RAP,lead,1.591,0.01726,9556
Bergmann glial cell,FLT3,FLT3,control,1.005,0.01135,9556
Bergmann glial cell,CD33,CD33,clinical,0.021,0.00027,9556
Bergmann glial cell,IL3RA,CD123,clinical,2.784,0.03562,9556
Bergmann glial cell,CLEC12A,CLL-1,clinical,0.188,0.00267,9556
Bergmann glial cell,CD7,CD7,ppac,0.01,6e-05,9556
Bergmann glial cell,TNFRSF4,TNFRSF4,ppac,0.01,0.0001,9556
Bergmann glial cell,ABCA7,ABCA7,ppac,1.13,0.01152,9556
Bergmann glial cell,ITGAX,ITGAX,ppac,0.199,0.00212,9556
Cajal-Retzius cell,CD96,CD96,lead,0.369,0.00308,4612
Cajal-Retzius cell,CD9,CD9,lead,16.11,0.2399,4612
Cajal-Retzius cell,SUCNR1,SUCNR1,lead,0.065,0.00082,4612
Cajal-Retzius cell,IL1RAP,IL1RAP,lead,1.67,0.01924,4612
Cajal-Retzius cell,FLT3,FLT3,control,0.737,0.00588,4612
Cajal-Retzius cell,CD33,CD33,clinical,0.173,0.00163,4612
Cajal-Retzius cell,IL3RA,CD123,clinical,4.51,0.04598,4612
Cajal-Retzius cell,CLEC12A,CLL-1,clinical,0.0,0.0,4612
Cajal-Retzius cell,CD7,CD7,ppac,0.455,0.00315,4612
Cajal-Retzius cell,TNFRSF4,TNFRSF4,ppac,0.087,0.00059,4612
Cajal-Retzius cell,ABCA7,ABCA7,ppac,5.009,0.04257,4612
Cajal-Retzius cell,ITGAX,ITGAX,ppac,0.087,0.00058,4612
GABAergic amacrine cell,CD96,CD96,lead,0.31,0.00272,351809
GABAergic amacrine cell,CD9,CD9,lead,1.158,0.01058,351809
GABAergic amacrine cell,SUCNR1,SUCNR1,lead,0.016,0.00013,351809
GABAergic amacrine cell,IL1RAP,IL1RAP,lead,6.873,0.07278,351809
GABAergic amacrine cell,FLT3,FLT3,control,4.161,0.03529,351809
GABAergic amacrine cell,CD33,CD33,clinical,0.036,0.0003,351809
GABAergic amacrine cell,IL3RA,CD123,clinical,46.007,0.51017,351809
GABAergic amacrine cell,CLEC12A,CLL-1,clinical,0.089,0.00069,351809
GABAergic amacrine cell,CD7,CD7,ppac,0.053,0.0004,351809
GABAergic amacrine cell,TNFRSF4,TNFRSF4,ppac,0.056,0.00047,351809
GABAergic amacrine cell,ABCA7,ABCA7,ppac,17.314,0.15671,351809
GABAergic amacrine cell,ITGAX,ITGAX,ppac,0.055,0.00045,351809
GABAergic interneuron,CD96,CD96,lead,4.492,0.02112,4096
GABAergic interneuron,CD9,CD9,lead,1.733,0.00708,4096
GABAergic interneuron,SUCNR1,SUCNR1,lead,0.024,5e-05,4096
GABAergic interneuron,IL1RAP,IL1RAP,lead,37.183,0.24225,4096
GABAergic interneuron,FLT3,FLT3,control,26.758,0.17554,4096
GABAergic interneuron,CD33,CD33,clinical,0.122,0.00057,4096
GABAergic interneuron,IL3RA,CD123,clinical,22.314,0.09178,4096
GABAergic interneuron,CLEC12A,CLL-1,clinical,2.954,0.00933,4096
GABAergic interneuron,CD7,CD7,ppac,0.073,0.00052,4096
GABAergic interneuron,TNFRSF4,TNFRSF4,ppac,0.171,0.00071,4096
GABAergic interneuron,ABCA7,ABCA7,ppac,21.582,0.09176,4096
GABAergic interneuron,ITGAX,ITGAX,ppac,0.928,0.00386,4096
GABAergic neuron,CD96,CD96,lead,2.79,0.02027,133710
GABAergic neuron,CD9,CD9,lead,4.119,0.02916,133710
GABAergic neuron,SUCNR1,SUCNR1,lead,0.027,0.00019,133710
GABAergic neuron,IL1RAP,IL1RAP,lead,23.292,0.21938,133710
GABAergic neuron,FLT3,FLT3,control,16.965,0.16472,133710
GABAergic neuron,CD33,CD33,clinical,0.15,0.00086,133710
GABAergic neuron,IL3RA,CD123,clinical,24.364,0.24356,133710
GABAergic neuron,CLEC12A,CLL-1,clinical,1.562,0.00885,133710
GABAergic neuron,CD7,CD7,ppac,0.046,0.00031,133710
GABAergic neuron,TNFRSF4,TNFRSF4,ppac,0.192,0.00102,133710
GABAergic neuron,ABCA7,ABCA7,ppac,12.634,0.07972,133710
GABAergic neuron,ITGAX,ITGAX,ppac,0.837,0.00519,133710
H1 horizontal cell,CD96,CD96,lead,0.648,0.00759,61600
H1 horizontal cell,CD9,CD9,lead,2.847,0.03105,61600
H1 horizontal cell,SUCNR1,SUCNR1,lead,0.0,0.0,61600
H1 horizontal cell,IL1RAP,IL1RAP,lead,0.403,0.00399,61600
H1 horizontal cell,FLT3,FLT3,control,0.284,0.00258,61600
H1 horizontal cell,CD33,CD33,clinical,0.075,0.00067,61600
H1 horizontal cell,IL3RA,CD123,clinical,42.307,0.50366,61600
H1 horizontal cell,CLEC12A,CLL-1,clinical,0.075,0.00066,61600
H1 horizontal cell,CD7,CD7,ppac,0.182,0.00163,61600
H1 horizontal cell,TNFRSF4,TNFRSF4,ppac,0.018,0.00017,61600
H1 horizontal cell,ABCA7,ABCA7,ppac,12.628,0.1266,61600
H1 horizontal cell,ITGAX,ITGAX,ppac,0.039,0.00037,61600
H2 horizontal cell,CD96,CD96,lead,0.37,0.00428,11881
H2 horizontal cell,CD9,CD9,lead,2.247,0.02549,11881
H2 horizontal cell,SUCNR1,SUCNR1,lead,0.0,0.0,11881
H2 horizontal cell,IL1RAP,IL1RAP,lead,0.236,0.00262,11881
H2 horizontal cell,FLT3,FLT3,control,0.236,0.00242,11881
H2 horizontal cell,CD33,CD33,clinical,0.025,0.00028,11881
H2 horizontal cell,IL3RA,CD123,clinical,39.626,0.49231,11881
H2 horizontal cell,CLEC12A,CLL-1,clinical,0.025,0.00025,11881
H2 horizontal cell,CD7,CD7,ppac,0.067,0.00059,11881
H2 horizontal cell,TNFRSF4,TNFRSF4,ppac,0.042,0.00043,11881
H2 horizontal cell,ABCA7,ABCA7,ppac,11.725,0.12746,11881
H2 horizontal cell,ITGAX,ITGAX,ppac,0.059,0.00067,11881
L2/3 intratelencephalic projecting glutamatergic neuron,CD96,CD96,lead,10.313,0.04914,258042
L2/3 intratelencephalic projecting glutamatergic neuron,CD9,CD9,lead,4.687,0.01935,258042
L2/3 intratelencephalic projecting glutamatergic neuron,SUCNR1,SUCNR1,lead,0.253,0.00083,258042
L2/3 intratelencephalic projecting glutamatergic neuron,IL1RAP,IL1RAP,lead,51.087,0.32202,258042
L2/3 intratelencephalic projecting glutamatergic neuron,FLT3,FLT3,control,6.455,0.02361,258042
L2/3 intratelencephalic projecting glutamatergic neuron,CD33,CD33,clinical,0.206,0.00074,258042
L2/3 intratelencephalic projecting glutamatergic neuron,IL3RA,CD123,clinical,31.685,0.14271,258042
L2/3 intratelencephalic projecting glutamatergic neuron,CLEC12A,CLL-1,clinical,2.988,0.00879,258042
L2/3 intratelencephalic projecting glutamatergic neuron,CD7,CD7,ppac,0.056,0.00024,258042
L2/3 intratelencephalic projecting glutamatergic neuron,TNFRSF4,TNFRSF4,ppac,1.46,0.00599,258042
L2/3 intratelencephalic projecting glutamatergic neuron,ABCA7,ABCA7,ppac,22.744,0.08859,258042
L2/3 intratelencephalic projecting glutamatergic neuron,ITGAX,ITGAX,ppac,1.061,0.00387,258042
L2/3-6 intratelencephalic projecting glutamatergic neuron,CD96,CD96,lead,6.281,0.02772,1491898
L2/3-6 intratelencephalic projecting glutamatergic neuron,CD9,CD9,lead,1.95,0.0069,1491898
L2/3-6 intratelencephalic projecting glutamatergic neuron,SUCNR1,SUCNR1,lead,0.12,0.00041,1491898
L2/3-6 intratelencephalic projecting glutamatergic neuron,IL1RAP,IL1RAP,lead,54.944,0.37011,1491898
L2/3-6 intratelencephalic projecting glutamatergic neuron,FLT3,FLT3,control,7.694,0.0291,1491898
L2/3-6 intratelencephalic projecting glutamatergic neuron,CD33,CD33,clinical,0.521,0.00139,1491898
L2/3-6 intratelencephalic projecting glutamatergic neuron,IL3RA,CD123,clinical,27.921,0.11099,1491898
L2/3-6 intratelencephalic projecting glutamatergic neuron,CLEC12A,CLL-1,clinical,1.277,0.004,1491898
L2/3-6 intratelencephalic projecting glutamatergic neuron,CD7,CD7,ppac,0.067,0.00023,1491898
L2/3-6 intratelencephalic projecting glutamatergic neuron,TNFRSF4,TNFRSF4,ppac,2.283,0.00837,1491898
L2/3-6 intratelencephalic projecting glutamatergic neuron,ABCA7,ABCA7,ppac,29.621,0.1077,1491898
L2/3-6 intratelencephalic projecting glutamatergic neuron,ITGAX,ITGAX,ppac,0.744,0.00233,1491898
L4 intratelencephalic projecting glutamatergic neuron,CD96,CD96,lead,3.204,0.02534,20288
L4 intratelencephalic projecting glutamatergic neuron,CD9,CD9,lead,1.543,0.01154,20288
L4 intratelencephalic projecting glutamatergic neuron,SUCNR1,SUCNR1,lead,0.054,0.00027,20288
L4 intratelencephalic projecting glutamatergic neuron,IL1RAP,IL1RAP,lead,52.119,0.56962,20288
L4 intratelencephalic projecting glutamatergic neuron,FLT3,FLT3,control,1.562,0.01197,20288
L4 intratelencephalic projecting glutamatergic neuron,CD33,CD33,clinical,0.212,0.00141,20288
L4 intratelencephalic projecting glutamatergic neuron,IL3RA,CD123,clinical,11.12,0.07888,20288
L4 intratelencephalic projecting glutamatergic neuron,CLEC12A,CLL-1,clinical,0.104,0.00066,20288
L4 intratelencephalic projecting glutamatergic neuron,CD7,CD7,ppac,0.005,2e-05,20288
L4 intratelencephalic projecting glutamatergic neuron,TNFRSF4,TNFRSF4,ppac,0.606,0.00379,20288
L4 intratelencephalic projecting glutamatergic neuron,ABCA7,ABCA7,ppac,7.152,0.0462,20288
L4 intratelencephalic projecting glutamatergic neuron,ITGAX,ITGAX,ppac,0.187,0.00121,20288
L5 extratelencephalic projecting glutamatergic cortical neuron,CD96,CD96,lead,5.478,0.01523,12560
L5 extratelencephalic projecting glutamatergic cortical neuron,CD9,CD9,lead,2.667,0.00715,12560
L5 extratelencephalic projecting glutamatergic cortical neuron,SUCNR1,SUCNR1,lead,0.159,0.00032,12560
L5 extratelencephalic projecting glutamatergic cortical neuron,IL1RAP,IL1RAP,lead,53.726,0.26403,12560
L5 extratelencephalic projecting glutamatergic cortical neuron,FLT3,FLT3,control,45.693,0.17724,12560
L5 extratelencephalic projecting glutamatergic cortical neuron,CD33,CD33,clinical,0.581,0.00102,12560
L5 extratelencephalic projecting glutamatergic cortical neuron,IL3RA,CD123,clinical,33.081,0.10182,12560
L5 extratelencephalic projecting glutamatergic cortical neuron,CLEC12A,CLL-1,clinical,2.285,0.00487,12560
L5 extratelencephalic projecting glutamatergic cortical neuron,CD7,CD7,ppac,0.024,6e-05,12560
L5 extratelencephalic projecting glutamatergic cortical neuron,TNFRSF4,TNFRSF4,ppac,1.417,0.003,12560
L5 extratelencephalic projecting glutamatergic cortical neuron,ABCA7,ABCA7,ppac,52.452,0.17692,12560
L5 extratelencephalic projecting glutamatergic cortical neuron,ITGAX,ITGAX,ppac,1.139,0.00255,12560
L5 intratelencephalic projecting glutamatergic neuron,CD96,CD96,lead,3.393,0.0266,9638
L5 intratelencephalic projecting glutamatergic neuron,CD9,CD9,lead,1.235,0.00814,9638
L5 intratelencephalic projecting glutamatergic neuron,SUCNR1,SUCNR1,lead,0.031,0.00017,9638
L5 intratelencephalic projecting glutamatergic neuron,IL1RAP,IL1RAP,lead,45.507,0.44625,9638
L5 intratelencephalic projecting glutamatergic neuron,FLT3,FLT3,control,4.596,0.03397,9638
