cell,sample,compartment,IL1A,IL1B,IL36A,IL36G,IL1R1,IL1RL1,IL1RL2,IL1RAP
c13163,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13164,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,2
c13165,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13166,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13167,AML335-M5a-FLT3/ITD,AML (leukemic),0,1,0,0,0,0,0,0
c13168,AML335-M5a-FLT3/ITD,NK,0,0,0,0,0,0,0,0
c13169,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,1
c13170,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,2
c13171,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13172,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13173,AML335-M5a-FLT3/ITD,Mature myeloid,0,0,0,0,0,0,0,0
c13174,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13175,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,1
c13176,AML335-M5a-FLT3/ITD,AML (leukemic),0,1,0,0,0,0,0,0
c13177,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,3
c13178,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13179,AML335-M5a-FLT3/ITD,AML (leukemic),0,1,0,0,0,0,0,1
c13180,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,1
c13181,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13182,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13183,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,2
c13184,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13185,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13186,AML335-M5a-FLT3/ITD,AML (leukemic),0,1,0,0,0,0,0,0
c13187,AML335-M5a-FLT3/ITD,AML (leukemic),0,1,0,0,0,0,0,1
c13188,AML335-M5a-FLT3/ITD,T cells,0,0,0,0,0,0,0,0
c13189,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13190,AML335-M5a-FLT3/ITD,AML (leukemic),0,1,0,0,0,0,0,0
c13191,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,1
c13192,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13193,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13194,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13195,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,1
c13196,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13197,AML335-M5a-FLT3/ITD,Mature myeloid,0,0,0,0,0,0,0,0
c13198,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13199,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13200,AML335-M5a-FLT3/ITD,Mature myeloid,0,0,0,0,0,0,0,0
c13201,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13202,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,1
c13203,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,1
c13204,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13205,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,1
c13206,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,1
c13207,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13208,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,4
c13209,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,1
c13210,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,1
c13211,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13212,AML335-M5a-FLT3/ITD,Mature myeloid,0,0,0,0,0,0,0,0
c13213,AML335-M5a-FLT3/ITD,T cells,0,0,0,0,0,0,0,0
c13214,AML335-M5a-FLT3/ITD,AML (leukemic),0,1,0,0,0,0,0,0
c13215,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,1
c13216,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13217,AML335-M5a-FLT3/ITD,T cells,0,0,0,0,0,0,0,0
c13218,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,1
c13219,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,2
c13220,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,1
c13221,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,2
c13222,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13223,AML335-M5a-FLT3/ITD,AML (leukemic),0,2,0,0,0,0,0,1
c13224,AML335-M5a-FLT3/ITD,AML (leukemic),0,1,0,0,0,0,0,1
c13225,AML335-M5a-FLT3/ITD,AML (leukemic),0,1,0,0,0,0,0,0
c13226,AML335-M5a-FLT3/ITD,Myeloid_Pro,0,0,0,0,0,0,0,0
c13227,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13228,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,2
c13229,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13230,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13231,AML335-M5a-FLT3/ITD,AML (leukemic),0,1,0,0,0,0,0,0
c13232,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,2
c13233,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13234,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,1
c13235,AML335-M5a-FLT3/ITD,Erythroid,0,0,0,0,0,0,0,0
c13236,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,1
c13237,AML335-M5a-FLT3/ITD,AML (leukemic),0,1,0,0,0,0,0,0
c13238,AML335-M5a-FLT3/ITD,AML (leukemic),0,1,0,0,0,0,0,0
c13239,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13240,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,1
c13241,AML335-M5a-FLT3/ITD,Myeloid_Pro,0,0,0,0,0,0,0,1
c13242,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13243,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13244,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13245,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13246,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13247,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13248,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13249,AML335-M5a-FLT3/ITD,AML (leukemic),0,1,0,0,0,0,0,0
c13250,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13251,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
c13252,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,1
c13253,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,2
c13254,AML335-M5a-FLT3/ITD,AML (leukemic),0,1,0,0,0,0,0,1
c13255,AML335-M5a-FLT3/ITD,AML (leukemic),0,0,0,0,0,0,0,0
