SampleID,lineage,frac,sample_type
0_HealthyBM1,0_HSPC,0.04062101233517652,HBM
0_HealthyBM1,Myeloid_Pro,0.042960442364951085,HBM
0_HealthyBM1,Erythrocytes,0.04742662696724798,HBM
0_HealthyBM1,Monocyte,0.3543173117822203,HBM
0_HealthyBM1,NK,0.15525308379413016,HBM
0_HealthyBM1,T,0.19502339430029775,HBM
0_HealthyBM1,B,0.04806465333900468,HBM
0_HealthyBM1,PlasmaB,0.008507018290089324,HBM
0_HealthyBM2,0_HSPC,0.03108379624157901,HBM
0_HealthyBM2,Myeloid_Pro,0.029429145491076704,HBM
0_HealthyBM2,Erythrocytes,0.052357877319465784,HBM
0_HealthyBM2,Monocyte,0.27620848599456327,HBM
0_HealthyBM2,NK,0.030492849544971043,HBM
0_HealthyBM2,T,0.3314029074577473,HBM
0_HealthyBM2,B,0.19702162864909586,HBM
0_HealthyBM2,PlasmaB,0.01631012882637986,HBM
AML1355,0_HSPC,0.0017709563164108619,AML
AML1355,Myeloid_Pro,0.0008854781582054309,AML
AML1355,Erythrocytes,0.0029515938606847697,AML
AML1355,Monocyte,0.0008854781582054309,AML
AML1355,NK,0.002656434474616293,AML
AML1355,T,0.007674144037780401,AML
AML1355,B,0.006493506493506494,AML
AML1355,PlasmaB,0.016824085005903187,AML
AML3082,0_HSPC,0.0003068425897514575,AML
AML3082,Myeloid_Pro,0.007977907333537895,AML
AML3082,Erythrocytes,0.005216324025774778,AML
AML3082,Monocyte,0.007671064743786438,AML
AML3082,NK,0.0021478981282602025,AML
AML3082,T,0.0021478981282602025,AML
AML3082,B,0.0021478981282602025,AML
AML3082,PlasmaB,0.0003068425897514575,AML
AML3121,0_HSPC,0.0,AML
AML3121,Myeloid_Pro,0.00035112359550561797,AML
AML3121,Erythrocytes,0.0007022471910112359,AML
AML3121,Monocyte,0.001053370786516854,AML
AML3121,NK,0.0028089887640449437,AML
AML3121,T,0.001053370786516854,AML
AML3121,B,0.0017556179775280898,AML
AML3121,PlasmaB,0.00035112359550561797,AML
AML3210,0_HSPC,0.00029342723004694836,AML
AML3210,Myeloid_Pro,0.0038145539906103286,AML
AML3210,Erythrocytes,0.0,AML
AML3210,Monocyte,0.0011737089201877935,AML
AML3210,NK,0.0,AML
AML3210,T,0.0008802816901408451,AML
AML3210,B,0.0008802816901408451,AML
AML3210,PlasmaB,0.0008802816901408451,AML
AML335,0_HSPC,0.0,AML
AML335,Myeloid_Pro,0.005974842767295598,AML
AML335,Erythrocytes,0.0,AML
AML335,Monocyte,0.01289308176100629,AML
AML335,NK,0.0,AML
AML335,T,0.0006289308176100629,AML
AML335,B,0.0006289308176100629,AML
