group,Vgene,n,frac
AML,TRBV10-1,12,0.004991680532445923
AML,TRBV10-2,19,0.007903494176372712
AML,TRBV10-3,37,0.015391014975041598
AML,TRBV11-1,9,0.0037437603993344427
AML,TRBV11-2,71,0.029534109816971715
AML,TRBV11-3,10,0.004159733777038269
AML,TRBV12-3,62,0.025790349417637273
AML,TRBV12-4,92,0.03826955074875208
AML,TRBV12-5,13,0.005407653910149751
AML,TRBV13,31,0.012895174708818636
AML,TRBV14,33,0.01372712146422629
AML,TRBV15,23,0.00956738768718802
AML,TRBV16,3,0.0012479201331114808
AML,TRBV18,29,0.012063227953410981
AML,TRBV19,71,0.029534109816971715
AML,TRBV2,84,0.03494176372712146
AML,TRBV20-1,235,0.09775374376039933
AML,TRBV24-1,35,0.014559068219633943
AML,TRBV25-1,29,0.012063227953410981
AML,TRBV27,99,0.04118136439267887
AML,TRBV28,108,0.04492512479201331
AML,TRBV29-1,61,0.025374376039933443
AML,TRBV3-1,77,0.032029950083194675
AML,TRBV30,35,0.014559068219633943
AML,TRBV4-1,77,0.032029950083194675
AML,TRBV4-2,25,0.010399334442595673
AML,TRBV4-3,39,0.01622296173044925
AML,TRBV5-1,111,0.04617304492512479
AML,TRBV5-4,21,0.008735440931780365
AML,TRBV5-5,17,0.007071547420965058
AML,TRBV5-6,43,0.01788685524126456
AML,TRBV5-8,3,0.0012479201331114808
AML,TRBV6-1,57,0.023710482529118136
AML,TRBV6-2,63,0.0262063227953411
AML,TRBV6-4,15,0.006239600665557404
AML,TRBV6-5,109,0.04534109816971714
AML,TRBV6-6,51,0.021214642262895173
AML,TRBV7-2,81,0.03369384359400998
AML,TRBV7-3,59,0.02454242928452579
AML,TRBV7-6,38,0.015806988352745424
AML,TRBV7-7,6,0.0024958402662229617
AML,TRBV7-8,45,0.018718801996672214
AML,TRBV7-9,160,0.06655574043261231
AML,TRBV9,106,0.04409317803660566
HBM,TRBV10-1,3,0.003171247357293869
HBM,TRBV10-2,7,0.007399577167019027
HBM,TRBV10-3,29,0.0306553911205074
HBM,TRBV11-1,6,0.006342494714587738
HBM,TRBV11-2,33,0.03488372093023256
HBM,TRBV11-3,4,0.004228329809725159
HBM,TRBV12-3,28,0.02959830866807611
HBM,TRBV12-4,46,0.048625792811839326
HBM,TRBV12-5,3,0.003171247357293869
HBM,TRBV13,11,0.011627906976744186
HBM,TRBV14,13,0.013742071881606765
HBM,TRBV15,6,0.006342494714587738
HBM,TRBV16,3,0.003171247357293869
HBM,TRBV18,12,0.012684989429175475
HBM,TRBV19,14,0.014799154334038054
HBM,TRBV2,26,0.02748414376321353
HBM,TRBV20-1,89,0.09408033826638477
HBM,TRBV24-1,16,0.016913319238900635
HBM,TRBV25-1,15,0.015856236786469344
HBM,TRBV27,16,0.016913319238900635
HBM,TRBV28,12,0.012684989429175475
HBM,TRBV29-1,11,0.011627906976744186
HBM,TRBV3-1,29,0.0306553911205074
HBM,TRBV30,18,0.019027484143763214
HBM,TRBV4-1,34,0.035940803382663845
HBM,TRBV4-2,16,0.016913319238900635
HBM,TRBV4-3,22,0.023255813953488372
HBM,TRBV5-1,65,0.06871035940803383
HBM,TRBV5-4,5,0.005285412262156448
HBM,TRBV5-5,11,0.011627906976744186
HBM,TRBV5-6,14,0.014799154334038054
HBM,TRBV5-8,1,0.0010570824524312897
HBM,TRBV6-1,24,0.02536997885835095
HBM,TRBV6-2,33,0.03488372093023256
HBM,TRBV6-4,2,0.0021141649048625794
HBM,TRBV6-5,33,0.03488372093023256
HBM,TRBV6-6,9,0.009513742071881607
HBM,TRBV6-7,1,0.0010570824524312897
HBM,TRBV7-2,79,0.08350951374207188
HBM,TRBV7-3,11,0.011627906976744186
HBM,TRBV7-6,14,0.014799154334038054
HBM,TRBV7-7,2,0.0021141649048625794
HBM,TRBV7-8,19,0.0200845665961945
HBM,TRBV7-9,71,0.07505285412262157
HBM,TRBV9,30,0.03171247357293869
