group,gene,label,cov_pct,rec_pct,HSPC,Myeloid,n_contrib_patients,clinical
All poor LS,ABCA1,ABCA1,5.61,3.57,2.41,2.03,28,False
All poor LS,ABCA12,ABCA12,0.03,0.0,0.19,0.0,28,False
All poor LS,ABCA13,ABCA13,0.86,0.0,3.52,0.68,28,False
All poor LS,ABCA3,ABCA3,1.0,0.0,1.11,0.56,28,False
All poor LS,ABCA4,ABCA4,0.04,0.0,0.0,0.0,28,False
All poor LS,ABCA5,ABCA5,2.49,0.0,5.74,0.9,28,False
All poor LS,ABCA6,ABCA6,0.8,0.0,0.19,0.68,28,False
All poor LS,ABCA8,ABCA8,0.0,0.0,0.0,0.0,28,False
All poor LS,ABCA9,ABCA9,0.38,0.0,0.0,0.11,28,False
All poor LS,ABCB11,ABCB11,0.95,3.57,0.19,0.0,28,False
All poor LS,ABCB4,ABCB4,0.11,0.0,0.19,0.23,28,False
All poor LS,ABCB5,ABCB5,0.01,0.0,0.0,0.0,28,False
All poor LS,ABCB9,ABCB9,3.06,0.0,2.96,1.69,28,False
All poor LS,ABCC10,ABCC10,6.21,0.0,4.26,2.71,28,False
All poor LS,ABCC11,ABCC11,0.52,0.0,0.0,0.34,28,False
All poor LS,ABCC2,ABCC2,0.33,0.0,0.19,0.23,28,False
All poor LS,ABCC3,ABCC3,0.07,0.0,0.0,0.34,28,False
All poor LS,ABCC5,ABCC5,10.88,10.71,7.96,4.07,28,False
All poor LS,ABCC9,ABCC9,0.01,0.0,0.0,0.0,28,False
All poor LS,ABCG2,ABCG2,0.19,0.0,0.56,0.11,28,False
All poor LS,ABCG4,ABCG4,0.0,0.0,0.0,0.0,28,False
All poor LS,ACE,ACE,1.26,0.0,1.11,0.34,28,False
All poor LS,ACE2,ACE2,0.01,0.0,0.0,0.0,28,False
All poor LS,ACHE,ACHE,0.07,0.0,0.37,0.0,28,False
All poor LS,ACKR1,ACKR1,0.09,0.0,0.0,0.11,28,False
All poor LS,ACKR2,ACKR2,0.18,0.0,0.0,0.0,28,False
All poor LS,ACKR3,ACKR3,1.41,0.0,1.3,1.36,28,False
All poor LS,ACKR4,ACKR4,0.27,0.0,0.0,0.11,28,False
All poor LS,ACVR1,ACVR1,4.1,0.0,2.22,1.24,28,False
All poor LS,ACVR1B,ACVR1B,6.96,7.14,4.44,4.97,28,False
All poor LS,ACVR1C,ACVR1C,0.07,0.0,0.19,0.0,28,False
All poor LS,ACVR2A,ACVR2A,0.16,0.0,1.67,0.11,28,False
All poor LS,ACVR2B,ACVR2B,2.18,0.0,2.59,1.47,28,False
All poor LS,ACVRL1,ACVRL1,0.22,0.0,0.19,2.49,28,False
All poor LS,ADAM11,ADAM11,0.56,0.0,0.74,0.11,28,False
All poor LS,ADAM12,ADAM12,0.28,0.0,0.37,0.23,28,False
All poor LS,ADAM19,ADAM19,0.3,0.0,1.11,0.11,28,False
All poor LS,ADAM20,ADAM20,0.11,0.0,0.0,0.0,28,False
All poor LS,ADAM21,ADAM21,0.08,0.0,0.19,0.0,28,False
All poor LS,ADAM22,ADAM22,1.73,0.0,8.89,0.56,28,False
All poor LS,ADAM23,ADAM23,2.1,3.57,0.0,0.23,28,False
All poor LS,ADAM30,ADAM30,0.0,0.0,0.0,0.0,28,False
All poor LS,ADAM32,ADAM32,0.09,0.0,1.3,0.23,28,False
All poor LS,ADAM33,ADAM33,0.04,0.0,0.0,0.0,28,False
All poor LS,ADAM9,ADAM9,4.5,10.71,4.81,6.55,28,False
All poor LS,ADCY2,ADCY2,0.73,0.0,0.0,0.0,28,False
All poor LS,ADCY5,ADCY5,0.01,0.0,0.0,0.0,28,False
All poor LS,ADCY6,ADCY6,3.15,0.0,1.11,1.02,28,False
All poor LS,ADCY9,ADCY9,7.51,10.71,1.67,5.99,28,False
All poor LS,ADORA1,ADORA1,0.03,0.0,0.0,0.0,28,False
All poor LS,ADORA2A,ADORA2A,2.51,3.57,1.85,1.58,28,False
All poor LS,ADORA2B,ADORA2B,4.55,3.57,2.59,2.26,28,False
All poor LS,ADORA3,ADORA3,0.06,0.0,0.0,0.11,28,False
All poor LS,ADRA1B,ADRA1B,0.12,0.0,0.0,0.0,28,False
All poor LS,ADRA1D,ADRA1D,0.0,0.0,0.0,0.0,28,False
All poor LS,ADRA2A,ADRA2A,3.26,0.0,3.7,0.0,28,False
All poor LS,ADRA2B,ADRA2B,0.07,0.0,0.0,0.11,28,False
All poor LS,ADRA2C,ADRA2C,0.24,0.0,0.0,0.0,28,False
All poor LS,ADRB1,ADRB1,1.55,0.0,0.74,1.81,28,False
All poor LS,ADRB3,ADRB3,0.0,0.0,0.0,0.0,28,False
All poor LS,AGER,AGER,3.7,0.0,3.52,2.71,28,False
All poor LS,AGTR1,AGTR1,0.0,0.0,0.0,0.0,28,False
All poor LS,AJAP1,AJAP1,0.09,0.0,0.0,0.0,28,False
All poor LS,ALK,ALK,0.02,0.0,0.0,0.0,28,False
All poor LS,ALPL,ALPL,0.0,0.0,0.0,0.0,28,False
All poor LS,ALPP,ALPP,0.0,0.0,0.0,0.0,28,False
