modality,marker,label,pearson,spearman,n
single_cell,ABCA7,ABCA7,-0.4442,-0.474,945
single_cell,IL3RA,CD123,0.1749,0.2021,945
single_cell,CD33,CD33,-0.1884,-0.1508,945
single_cell,CD7,CD7,0.2697,0.2243,945
single_cell,CD9,CD9,0.19,0.2319,945
single_cell,CLEC12A,CLL-1,-0.0371,-0.0109,945
single_cell,FLT3,FLT3,0.4503,0.4448,945
single_cell,IL1RAP,IL1RAP,0.2673,0.2901,945
single_cell,ITGAX,ITGAX,-0.4384,-0.428,945
single_cell,SUCNR1,SUCNR1,0.433,0.5102,945
single_cell,TNFRSF4,TNFRSF4,0.2074,0.2768,945
bulk,CD9,CD9,-0.2115,-0.2093,1330
bulk,SUCNR1,SUCNR1,0.4307,0.431,1330
bulk,IL1RAP,IL1RAP,0.2331,0.2185,1330
bulk,FLT3,FLT3,0.0288,0.0612,1330
bulk,CD33,CD33,-0.1298,-0.0945,1330
bulk,IL3RA,CD123,-0.0931,-0.1236,1330
bulk,CLEC12A,CLL-1,0.1699,0.1817,1330
bulk,CD7,CD7,0.2802,0.2597,1330
bulk,TNFRSF4,TNFRSF4,0.1156,0.0674,1330
bulk,ABCA7,ABCA7,-0.1648,-0.18,1330
bulk,ITGAX,ITGAX,-0.2573,-0.2892,1330
