sample,P-value,Correlation,RMSE
TARGET.20.PAUPTI.09A,0.0,0.986210939013717,0.167393850964641
TARGET.20.PATJVL.09A,0.0,0.988020747715896,0.193054224028185
TARGET.20.PAXDMP.09A,0.0,0.944399772543491,0.652029265817835
TARGET.20.PAWWEE.09A,0.0,0.931805181033883,0.710901988019891
TARGET.20.PAUJMC.09A,0.0,0.765942954402072,0.887180927348557
TARGET.20.PAVENG.09A,0.0,0.959892489298339,0.579170626391314
TARGET.20.PASPYW.09A,0.0,0.66375039739919,0.871521681854368
TARGET.20.PAWFZT.09A,0.0,0.948441911155755,0.626011046227645
TARGET.20.PARCEV.09A,0.0,0.682578058410707,0.83563527677546
TARGET.20.PAULDS.09A,0.0,0.976860032416711,0.506113249184303
TARGET.20.PAEHXE.09A,0.0,0.914580569840532,0.689636991281333
TARGET.20.PAVXSH.09A,0.0,0.710024451159509,0.863974851932055
TARGET.20.PASWGL.09A,0.0,0.828627198323822,0.792180376099812
TARGET.20.PAWESF.09A,0.0,0.914537156823601,0.634233831108668
TARGET.20.PASCCS.09A,0.0,0.738185385904398,0.885050910700929
TARGET.20.PASRSY.09A,0.0,0.509369119658478,0.902164941012452
TARGET.20.PAVAZN.09A,0.0,0.863535424322475,0.53470508141756
TARGET.20.PAEIKD.09A,0.0,0.698001029267536,0.831244703751847
TARGET.20.PAVUJA.09A,0.0,0.485846910670723,0.898195176549076
TARGET.20.PAWNBB.09A,0.0,0.546515740410416,0.913094463106196
TARGET.20.PAVTIP.09A,0.0,0.944953569554651,0.58206057515452
TARGET.20.PARTYV.09A,0.0,0.989101845440854,0.404252771390625
TARGET.20.PAVAGA.09A,0.0,0.553575836161779,0.883639073000242
TARGET.20.PAXHPH.09A,0.0,0.67688539059929,0.871128761992017
TARGET.20.PATHIW.09A,0.0,0.841568683342656,0.824793709292137
TARGET.20.PAUXYG.09A,0.0,0.643178844512642,0.869495331705324
TARGET.20.PASYWA.09A,0.0,0.661557928648409,0.906839265078187
TARGET.20.PAWJGZ.09A,0.0,0.510435090755169,0.916540769923059
TARGET.20.PAXJZX.09A,0.0,0.804667895561468,0.821500602766737
TARGET.20.PARERV.09A,0.0,0.671482029350851,0.905777781459446
TARGET.20.PAWTBX.09A,0.0,0.532784935235088,0.908365155246692
TARGET.20.PAXJTM.09A,0.0,0.949146956526853,0.769814014592996
TARGET.20.PAUYIB.09A,0.0,0.610824328530388,0.915098227991197
TARGET.20.PASTHA.09A,0.0,0.728196831164713,0.856641424650837
TARGET.20.PAWRUF.09A,0.0,0.902075262415555,0.77542540481198
TARGET.20.PANKEF.09A,0.0,0.656483467754087,0.855601161820623
TARGET.20.PARFAL.09A,0.0,0.683771872314419,0.898341730454679
TARGET.20.PAURJK.09A,0.0,0.795846769121662,0.853282900417953
TARGET.20.PAUZJJ.09A,0.0,0.532635839475297,0.914634697818405
TARGET.20.PATAML.09A,0.0,0.549407993107501,0.893494566730002
TARGET.20.PAWIUS.09A,0.0,0.727602773458401,0.805603319431526
TARGET.20.PAVSCL.09A,0.0,0.751800899360173,0.87509146570086
TARGET.20.PAVHFP.09A,0.0,0.984439092441923,0.556119708069802
TARGET.20.PANTRL.09A,0.0,0.842445575306273,0.695660457061881
TARGET.20.PAURYA.09A,0.0,0.98888848816449,0.166481764987227
TARGET.20.PAXKIB.09A,0.0,0.971044569727452,0.649482527573043
TARGET.20.PAWGVW.09A,0.0,0.553963749160895,0.896876394223214
TARGET.20.PAXJWS.09A,0.0,0.7812410904649,0.869089982067459
TARGET.20.PANRIK.09A,0.0,0.801043619651171,0.872448261753579
TARGET.20.PAUWZR.09A,0.0,0.987048225574586,0.206081437093487
TARGET.20.PAWLUE.09A,0.0,0.943878386689001,0.719491648326041
TARGET.20.PASPTM.09A,0.0,0.602204305473559,0.877078184529652
TARGET.20.PASBHI.09A,0.0,0.507559097768346,0.908256400799937
TARGET.20.PAUURD.09A,0.0,0.869114075968414,0.801216669927957
TARGET.20.PAWVVR.09A,0.0,0.953044692045178,0.674267122105935
TARGET.20.PAWZWN.09A,0.0,0.972881405665784,0.64862063041602
TARGET.20.PAVMZL.09A,0.0,0.990424196924823,0.438275696305047
TARGET.20.PAUSXS.09A,0.0,0.89641701988015,0.756568723117662
TARGET.20.PASVYL.09A,0.0,0.609599753766577,0.844777260742596
TARGET.20.PAKRUP.09A,0.0,0.750142381142146,0.831026664081788
TARGET.20.PASVYA.09A,0.0,0.725939768090281,0.797757496773257
TARGET.20.PAXEPC.09A,0.0,0.363596945849401,0.946691655209857
TARGET.20.PARJCR.09A,0.0,0.537950628319727,0.92936287175849
TARGET.20.PARIAP.09A,0.0,0.679393126220025,0.909684543868803
TARGET.20.PAWWUN.09A,0.0,0.948343426804074,0.682342802756955
TARGET.20.PAESVN.09A,0.0,0.819978031860402,0.847433227768774
TARGET.20.PABZKY.09A,0.0,0.546981743566619,0.919479303206717
TARGET.20.PATRME.09A,0.0,0.850448607745751,0.629321851119343
TARGET.20.PASPMI.09A,0.0,0.929097310002954,0.744974874710387
TARGET.20.PABGKN.09A,0.0,0.828325935271603,0.771365416524156
TARGET.20.PAWWMZ.09A,0.0,0.961917413259978,0.544881024214961
TARGET.20.PAVGIV.09A,0.0,0.956874820321576,0.71533563287719
TARGET.20.PASUVD.09A,0.0,0.978774933750107,0.59502592741444
TARGET.20.PATAPC.09A,0.0,0.972110037397807,0.378494255268489
