"LS","HR","ci_lo","ci_hi","p","fdr","dir"
"LS_10",1.214,1.138,1.296,5.14076448927836e-09,2.5189745997464e-07,"poor"
"LS_33",0.757,0.684,0.837,6.96523293426941e-08,1.70648206889601e-06,"favorable"
"LS_45",0.813,0.75,0.882,5.15034013296507e-07,8.41222221717628e-06,"favorable"
"LS_41",1.147,1.079,1.218,8.85819929057816e-06,0.000108512941309582,"poor"
"LS_20",1.138,1.065,1.215,0.000120837664812499,0.00118420911516249,"poor"
"LS_28",0.862,0.798,0.931,0.000168417537762816,0.00137540989172966,"favorable"
"LS_46",0.864,0.793,0.941,0.000762782824925928,0.00533947977448149,"favorable"
"LS_38",1.114,1.043,1.19,0.00135519086851019,0.00830054406962491,"poor"
"LS_11",0.889,0.824,0.96,0.00257110933019097,0.0139982619088175,"favorable"
"LS_17",0.897,0.829,0.971,0.00725576126261464,0.0355532301868117,"favorable"
"LS_19",1.096,1.021,1.175,0.011043331101162,0.0491930203597217,"poor"
"LS_23",1.083,1.012,1.158,0.0202299886435206,0.0826057869610423,"poor"
"LS_27",1.076,1.01,1.146,0.0237961523526057,0.0896931896367447,"poor"
"LS_21",1.083,1.009,1.163,0.0275098729010144,0.0962845551535503,"poor"
"LS_43",0.922,0.855,0.994,0.0351138573535849,0.104633357151171,"favorable"
"LS_48",1.078,1.004,1.156,0.0373862215754337,0.104633357151171,"poor"
"LS_49",0.921,0.852,0.995,0.0375457560686555,0.104633357151171,"favorable"
"LS_35",1.075,1.004,1.151,0.0384367434432872,0.104633357151171,"poor"
"LS_12",1.067,1.003,1.136,0.0406599056386091,0.104859756646939,"poor"
"LS_18",1.073,1.001,1.15,0.0480841708742617,0.117806218641941,"poor"
"LS_47",1.059,0.991,1.132,0.0892873382540303,0.208337122592737,"poor"
"LS_40",1.061,0.988,1.14,0.100770519807332,0.216324203611405,"poor"
"LS_13",1.059,0.989,1.135,0.101539932307394,0.216324203611405,"poor"
"LS_31",1.058,0.986,1.136,0.117229735113491,0.239344042523377,"poor"
"LS_34",1.052,0.982,1.127,0.146216505258642,0.268518107720872,"poor"
"LS_26",1.056,0.981,1.136,0.146948943210812,0.268518107720872,"poor"
"LS_29",0.946,0.876,1.02,0.148877146169696,0.268518107720872,"favorable"
"LS_15",1.052,0.981,1.127,0.153438918697641,0.268518107720872,"poor"
"LS_4",0.948,0.878,1.023,0.171101039289306,0.286108737056145,"favorable"
"LS_25",1.048,0.98,1.12,0.17516861452417,0.286108737056145,"poor"
"LS_6",1.047,0.977,1.123,0.192817249187197,0.304775651941054,"poor"
"LS_42",0.952,0.881,1.029,0.211476017786182,0.319904846056318,"favorable"
"LS_30",0.954,0.885,1.028,0.215446120813438,0.319904846056318,"favorable"
"LS_8",0.957,0.888,1.03,0.242702484954303,0.349777110669437,"favorable"
"LS_1",1.041,0.968,1.118,0.279495370997496,0.391293519396494,"poor"
"LS_16",1.035,0.969,1.105,0.30591879304227,0.416389468307534,"poor"
"LS_24",1.033,0.963,1.108,0.36878685887778,0.488393407703006,"poor"
"LS_14",0.971,0.9,1.047,0.445118913845014,0.573969125747518,"favorable"
"LS_39",1.014,0.94,1.093,0.719824085371819,0.885814441131649,"poor"
"LS_37",0.987,0.918,1.062,0.731037218702552,0.885814441131649,"favorable"
"LS_36",1.012,0.942,1.088,0.741191675232604,0.885814441131649,"poor"
"LS_2",0.989,0.919,1.065,0.772473636587121,0.901219242684975,"favorable"
"LS_22",1.009,0.936,1.087,0.819452742069795,0.933794985149302,"poor"
"LS_5",0.992,0.922,1.069,0.841131498725888,0.936714623581103,"favorable"
"LS_44",0.993,0.92,1.072,0.861775945063792,0.938378251291684,"favorable"
"LS_32",1.005,0.934,1.081,0.898436839334627,0.957030546247755,"poor"
"LS_3",0.998,0.927,1.075,0.956526470627343,0.981005442691964,"favorable"
"LS_7",1.002,0.932,1.077,0.960984923453352,0.981005442691964,"poor"
"LS_9",1,0.931,1.075,0.990447598750662,0.990447598750662,"favorable"
