"","normalized_mcc","f1","thresholds","Factor"
"1",NA,NA,Inf,"NOC2L"
"2",0.573787904496464,0.467415251982332,1,"NOC2L"
"3",NA,0.81399245144067,0,"NOC2L"
"4",NA,NA,Inf,"ISG15"
"5",0.517872354637001,0.361670706273604,1,"ISG15"
"6",NA,0.81399245144067,0,"ISG15"
"7",NA,NA,Inf,"SDF4"
"8",0.569090027813092,0.566766592038857,1,"SDF4"
"9",NA,0.81399245144067,0,"SDF4"
"10",NA,NA,Inf,"UBE2J2"
"11",0.53239063035231,0.380716629890568,1,"UBE2J2"
"12",NA,0.81399245144067,0,"UBE2J2"
"13",NA,NA,Inf,"INTS11"
"14",0.570001513765442,0.498491162523351,1,"INTS11"
"15",NA,0.81399245144067,0,"INTS11"
"16",NA,NA,Inf,"AURKAIP1"
"17",0.541502597510653,0.599252396052935,1,"AURKAIP1"
"18",NA,0.81399245144067,0,"AURKAIP1"
"19",NA,NA,Inf,"CCNL2"
"20",0.562863324183391,0.445620540237567,1,"CCNL2"
"21",NA,0.81399245144067,0,"CCNL2"
"22",NA,NA,Inf,"MRPL20"
"23",0.557565570823406,0.562326765343641,1,"MRPL20"
"24",NA,0.81399245144067,0,"MRPL20"
"25",NA,NA,Inf,"SSU72"
"26",0.549395744988019,0.578230169646951,1,"SSU72"
"27",NA,0.81399245144067,0,"SSU72"
"28",NA,NA,Inf,"NADK"
"29",0.493200361231474,0.310774906892831,1,"NADK"
"30",NA,0.81399245144067,0,"NADK"
"31",NA,NA,Inf,"GNB1"
"32",0.561662743037937,0.603203167176534,1,"GNB1"
"33",NA,0.81399245144067,0,"GNB1"
"34",NA,NA,Inf,"FAAP20"
"35",0.565730978632987,0.570998570246068,1,"FAAP20"
"36",NA,0.81399245144067,0,"FAAP20"
"37",NA,NA,Inf,"RER1"
"38",0.537757384860408,0.491024456849123,1,"RER1"
"39",NA,0.81399245144067,0,"RER1"
"40",NA,NA,Inf,"TNFRSF14"
"41",0.51768770782495,0.434325340707918,1,"TNFRSF14"
"42",NA,0.81399245144067,0,"TNFRSF14"
"43",NA,NA,Inf,"LRRC47"
"44",0.549667370710098,0.367838826153952,1,"LRRC47"
"45",NA,0.81399245144067,0,"LRRC47"
"46",NA,NA,Inf,"KCNAB2"
"47",0.602522862963949,0.561760063141279,1,"KCNAB2"
"48",NA,0.81399245144067,0,"KCNAB2"
"49",NA,NA,Inf,"CAMTA1"
"50",0.55310156166012,0.42590815926039,1,"CAMTA1"
"51",NA,0.81399245144067,0,"CAMTA1"
"52",NA,NA,Inf,"PARK7"
"53",0.5470671686826,0.641045518124674,1,"PARK7"
"54",NA,0.81399245144067,0,"PARK7"
"55",NA,NA,Inf,"RERE"
"56",0.575419207322581,0.454833032832018,1,"RERE"
"57",NA,0.81399245144067,0,"RERE"
"58",NA,NA,Inf,"ENO1"
"59",0.626350767587951,0.733397282174261,1,"ENO1"
"60",NA,0.81399245144067,0,"ENO1"
"61",NA,NA,Inf,"PIK3CD"
"62",0.515621305512217,0.338090743767409,1,"PIK3CD"
"63",NA,0.81399245144067,0,"PIK3CD"
"64",NA,NA,Inf,"CLSTN1"
"65",0.56802825173996,0.344549125168237,1,"CLSTN1"
"66",NA,0.81399245144067,0,"CLSTN1"
"67",NA,NA,Inf,"CTNNBIP1"
"68",0.592399477175315,0.434358899853597,1,"CTNNBIP1"
"69",NA,0.81399245144067,0,"CTNNBIP1"
"70",NA,NA,Inf,"UBE4B"
"71",0.555535226496254,0.347042824005934,1,"UBE4B"
"72",NA,0.81399245144067,0,"UBE4B"
"73",NA,NA,Inf,"PGD"
"74",0.590109487825609,0.632877078781934,1,"PGD"
"75",NA,0.81399245144067,0,"PGD"
"76",NA,NA,Inf,"DFFA"
"77",0.56861325146103,0.342923284369295,1,"DFFA"
"78",NA,0.81399245144067,0,"DFFA"
"79",NA,NA,Inf,"TARDBP"
