"","normalized_mcc","f1","thresholds","Factor"
"1",NA,NA,Inf,"NOC2L"
"2",0.520588137025307,0.332333911945716,1,"NOC2L"
"3",NA,0.462060070020269,0,"NOC2L"
"4",NA,NA,Inf,"ISG15"
"5",0.485859505118191,0.248844681131992,1,"ISG15"
"6",NA,0.462060070020269,0,"ISG15"
"7",NA,NA,Inf,"SDF4"
"8",0.512686320085428,0.367566316068003,1,"SDF4"
"9",NA,0.462060070020269,0,"SDF4"
"10",NA,NA,Inf,"UBE2J2"
"11",0.510193402592752,0.286786688488816,1,"UBE2J2"
"12",NA,0.462060070020269,0,"UBE2J2"
"13",NA,NA,Inf,"INTS11"
"14",0.518236594733118,0.344291981704471,1,"INTS11"
"15",NA,0.462060070020269,0,"INTS11"
"16",NA,NA,Inf,"AURKAIP1"
"17",0.512637299336361,0.388810347420665,1,"AURKAIP1"
"18",NA,0.462060070020269,0,"AURKAIP1"
"19",NA,NA,Inf,"CCNL2"
"20",0.515873125041106,0.319034257221875,1,"CCNL2"
"21",NA,0.462060070020269,0,"CCNL2"
"22",NA,NA,Inf,"MRPL20"
"23",0.520188921949217,0.379282685917268,1,"MRPL20"
"24",NA,0.462060070020269,0,"MRPL20"
"25",NA,NA,Inf,"SSU72"
"26",0.516773514131462,0.383448449869114,1,"SSU72"
"27",NA,0.462060070020269,0,"SSU72"
"28",NA,NA,Inf,"NADK"
"29",0.519499015557147,0.276664481693042,1,"NADK"
"30",NA,0.462060070020269,0,"NADK"
"31",NA,NA,Inf,"GNB1"
"32",0.519233047373626,0.39240098744231,1,"GNB1"
"33",NA,0.462060070020269,0,"GNB1"
"34",NA,NA,Inf,"FAAP20"
"35",0.523973687988247,0.384238064094179,1,"FAAP20"
"36",NA,0.462060070020269,0,"FAAP20"
"37",NA,NA,Inf,"RER1"
"38",0.507886318484734,0.338731566090654,1,"RER1"
"39",NA,0.462060070020269,0,"RER1"
"40",NA,NA,Inf,"TNFRSF14"
"41",0.567000876952075,0.398249367063765,1,"TNFRSF14"
"42",NA,0.462060070020269,0,"TNFRSF14"
"43",NA,NA,Inf,"LRRC47"
"44",0.510995179270169,0.273822263712744,1,"LRRC47"
"45",NA,0.462060070020269,0,"LRRC47"
"46",NA,NA,Inf,"KCNAB2"
"47",0.541968804077954,0.393057344799972,1,"KCNAB2"
"48",NA,0.462060070020269,0,"KCNAB2"
"49",NA,NA,Inf,"CAMTA1"
"50",0.508386669791551,0.301789436750531,1,"CAMTA1"
"51",NA,0.462060070020269,0,"CAMTA1"
"52",NA,NA,Inf,"PARK7"
"53",0.498080934422962,0.387619501527937,1,"PARK7"
"54",NA,0.462060070020269,0,"PARK7"
"55",NA,NA,Inf,"RERE"
"56",0.529023618486167,0.336707425702486,1,"RERE"
"57",NA,0.462060070020269,0,"RERE"
"58",NA,NA,Inf,"ENO1"
"59",0.499748166744831,0.404702149516911,1,"ENO1"
"60",NA,0.462060070020269,0,"ENO1"
"61",NA,NA,Inf,"PIK3CD"
"62",0.515748834249006,0.276404390738862,1,"PIK3CD"
"63",NA,0.462060070020269,0,"PIK3CD"
"64",NA,NA,Inf,"CLSTN1"
"65",0.532860045297228,0.28498248157545,1,"CLSTN1"
"66",NA,0.462060070020269,0,"CLSTN1"
"67",NA,NA,Inf,"CTNNBIP1"
"68",0.524417759409481,0.313114648726244,1,"CTNNBIP1"
"69",NA,0.462060070020269,0,"CTNNBIP1"
"70",NA,NA,Inf,"UBE4B"
"71",0.51879761827901,0.272864558754129,1,"UBE4B"
"72",NA,0.462060070020269,0,"UBE4B"
"73",NA,NA,Inf,"PGD"
"74",0.528331353004625,0.408962418543756,1,"PGD"
"75",NA,0.462060070020269,0,"PGD"
"76",NA,NA,Inf,"DFFA"
"77",0.512258228718475,0.255201042622001,1,"DFFA"
"78",NA,0.462060070020269,0,"DFFA"
"79",NA,NA,Inf,"TARDBP"
"80",0.517491784413588,0.321553915042963,1,"TARDBP"
"81",NA,0.462060070020269,0,"TARDBP"
"82",NA,NA,Inf,"SRM"
"83",0.506902543829614,0.368175126416181,1,"SRM"
"84",NA,0.462060070020269,0,"SRM"
"85",NA,NA,Inf,"EXOSC10"
"86",0.503642493734782,0.262961275626424,1,"EXOSC10"
"87",NA,0.462060070020269,0,"EXOSC10"
"88",NA,NA,Inf,"MAD2L2"
"89",0.498067279003452,0.268344457818142,1,"MAD2L2"
"90",NA,0.462060070020269,0,"MAD2L2"
"91",NA,NA,Inf,"AGTRAP"
"92",0.500283405326673,0.299761871410562,1,"AGTRAP"
"93",NA,0.462060070020269,0,"AGTRAP"
"94",NA,NA,Inf,"KIAA2013"
"95",0.511327642424323,0.255371304974766,1,"KIAA2013"
"96",NA,0.462060070020269,0,"KIAA2013"
"97",NA,NA,Inf,"MIIP"
"98",0.493405432850159,0.238360655737705,1,"MIIP"
"99",NA,0.462060070020269,0,"MIIP"
"100",NA,NA,Inf,"PRDM2"
"101",0.508578047276344,0.271321876915394,1,"PRDM2"
"102",NA,0.462060070020269,0,"PRDM2"
"103",NA,NA,Inf,"EFHD2"
"104",0.515195447509824,0.36851944583542,1,"EFHD2"
"105",NA,0.462060070020269,0,"EFHD2"
"106",NA,NA,Inf,"AL450998.2"
"107",0.513233553286848,0.251041513502916,1,"AL450998.2"
"108",NA,0.462060070020269,0,"AL450998.2"
"109",NA,NA,Inf,"SPEN"
"110",0.526446994101924,0.365476767350455,1,"SPEN"
"111",NA,0.462060070020269,0,"SPEN"
"112",NA,NA,Inf,"SZRD1"
"113",0.51102582733737,0.303796417377587,1,"SZRD1"
"114",NA,0.462060070020269,0,"SZRD1"
"115",NA,NA,Inf,"NECAP2"
"116",0.503295459878773,0.274402040098488,1,"NECAP2"
"117",NA,0.462060070020269,0,"NECAP2"
"118",NA,NA,Inf,"SDHB"
